Sample,Rep,Set,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B2R1,2,1st point,17.186,C3G,50,53,5.99,54.9,60
B2R1,3,1st point,21.069,C3G,50,52,5.92,55.1,60
B2R2,1,1st point,48.228,C3G,54,52.5,6.6,59.6,60
B2R2,2,1st point,41.393,C3G,54,52,7.08,59.2,60
B2R2,3,1st point,33.104,C3G,54,54,6.92,59.3,60
B2R3,1,1st point,20.236,C3G,44,52,5.74,47,60
B2R3,2,1st point,14.605,C3G,44,51,5.77,47,60
B2R3,3,1st point,12.738,C3G,44,51.5,6.3,46.9,60
B3R1,1,1st point,37.130,C3G,48,57,6.38,51.9,60
B3R1,2,1st point,33.198,C3G,48,56,6.52,51.9,60
B3R1,3,1st point,48.794,C3G,48,57,5.99,51.9,60
B3R2,1,1st point,35.720,C3G,44,56,6.03,49.4,60
B3R2,2,1st point,34.286,C3G,44,52.5,5.42,49.4,60
B3R2,3,1st point,33.390,C3G,45,54,6.38,49.7,60
B3R3,1,1st point,62.718,C3G,46,52.5,6.39,51.1,60
B3R3,2,1st point,56.732,C3G,46,53.5,6.05,51.4,60
B3R3,3,1st point,65.902,C3G,46,54,6.25,51.3,60
B1R2,1,Harvest,172.709,Pet3G,69,54.5,10.67,75.33,60
B1R2,2,Harvest,140.688,Pet3G,69,57,11.24,75.67,60
B1R2,3,Harvest,171.008,Pet3G,69,51.5,10.58,75.98,60
B1R3,1,Harvest,170.618,Pet3G,47,52,8.71,52.66,60
B1R3,2,Harvest,152.129,Pet3G,47,57,8.71,52.89,60
B1R3,3,Harvest,125.999,Pet3G,47,57,8.76,52.14,60
B1R4,1,Harvest,158.663,Pet3G,47,53,8.05,51.76,60
B1R4,2,Harvest,163.353,Pet3G,47,52,7.04,51.59,60
B1R4,3,Harvest,157.241,Pet3G,47,54.5,8.19,51.77,60
B2R1,1,Harvest,199.567,Pet3G,60,50.5,9.79,67.05,60
B2R1,2,Harvest,166.104,Pet3G,60,53.5,10.54,67.21,60
B2R1,3,Harvest,195.384,Pet3G,61,50.5,10.56,67.11,60
B2R2,1,Harvest,204.376,Pet3G,58,51,10.42,64.16,60
B2R2,2,Harvest,173.490,Pet3G,58,53,10.23,64.18,60
B2R2,3,Harvest,179.664,Pet3G,58,54.5,10.71,64.23,60
B2R3,1,Harvest,152.490,Pet3G,52,53.5,7.54,57.23,60
B2R3,2,Harvest,139.481,Pet3G,52,59,7.01,56.82,60
B2R3,3,Harvest,138.234,Pet3G,52,54,7.31,57.06,60
B3R1,1,Harvest,150.268,Pet3G,56,57.5,8.93,62.67,60
B3R1,2,Harvest,128.484,Pet3G,56,55.5,9.59,62.56,60
B3R1,3,Harvest,134.442,Pet3G,56,52.5,8.9,62.95,60
B3R2,1,Harvest,153.504,Pet3G,55,56.5,9.17,61.52,60
B3R2,2,Harvest,178.260,Pet3G,55,52.5,9.66,61.82,60
B3R2,3,Harvest,155.142,Pet3G,55,59,8.45,61.45,60
B3R3,1,Harvest,198.781,Pet3G,54,54,8.69,60.68,60
B3R3,2,Harvest,181.748,Pet3G,54,51,8.82,60.48,60
B3R3,3,Harvest,164.273,Pet3G,54,54,8.45,60.31,60
B1R2,1,1st point,73.643,Pet3G,56,55.5,6.57,60.8,60
B1R2,2,1st point,66.559,Pet3G,56,54.5,6.69,60.8,60
B1R2,3,1st point,55.140,Pet3G,56,55,5.95,60.5,60
B1R3,1,1st point,89.492,Pet3G,34,52.5,4.94,42,60
B1R3,2,1st point,74.804,Pet3G,34,53,5.25,42,60
B1R3,3,1st point,71.650,Pet3G,34,54.5,5.1,42.3,60
B1R4,1,1st point,84.690,Pet3G,36,51.5,5.8,44.8,60
B1R4,2,1st point,90.269,Pet3G,36,50,5.66,44.7,60
B1R4,3,1st point,65.418,Pet3G,36,54,6.27,45,60
B2R1,1,1st point,69.416,Pet3G,50,50,6.32,54.9,60
B2R1,2,1st point,66.695,Pet3G,50,53,5.99,54.9,60
B2R1,3,1st point,75.154,Pet3G,50,52,5.92,55.1,60
B2R2,1,1st point,135.605,Pet3G,54,52.5,6.6,59.6,60
B2R2,2,1st point,125.557,Pet3G,54,52,7.08,59.2,60
B2R2,3,1st point,102.674,Pet3G,54,54,6.92,59.3,60
B2R3,1,1st point,64.562,Pet3G,44,52,5.74,47,60
B2R3,2,1st point,47.365,Pet3G,44,51,5.77,47,60
B2R3,3,1st point,42.282,Pet3G,44,51.5,6.3,46.9,60
B3R1,1,1st point,86.402,Pet3G,48,57,6.38,51.9,60
B3R1,2,1st point,67.316,Pet3G,48,56,6.52,51.9,60
B3R1,3,1st point,103.493,Pet3G,48,57,5.99,51.9,60
B3R2,1,1st point,83.358,Pet3G,44,56,6.03,49.4,60
B3R2,2,1st point,79.734,Pet3G,44,52.5,5.42,49.4,60
B3R2,3,1st point,82.460,Pet3G,45,54,6.38,49.7,60
B3R3,1,1st point,102.017,Pet3G,46,52.5,6.39,51.1,60
B3R3,2,1st point,97.238,Pet3G,46,53.5,6.05,51.4,60
