Sample,Rep,Set,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B3R1,3,1st point,13.674,C3Gac,48,57,5.99,51.9,60
B3R2,1,1st point,10.734,C3Gac,44,56,6.03,49.4,60
B3R2,2,1st point,9.860,C3Gac,44,52.5,5.42,49.4,60
B3R2,3,1st point,9.928,C3Gac,45,54,6.38,49.7,60
B3R3,1,1st point,16.743,C3Gac,46,52.5,6.39,51.1,60
B3R3,2,1st point,15.044,C3Gac,46,53.5,6.05,51.4,60
B3R3,3,1st point,17.899,C3Gac,46,54,6.25,51.3,60
B1R2,1,Harvest,62.400,Pet3Gac,69,54.5,10.67,75.33,60
B1R2,2,Harvest,51.340,Pet3Gac,69,57,11.24,75.67,60
B1R2,3,Harvest,63.852,Pet3Gac,69,51.5,10.58,75.98,60
B1R3,1,Harvest,62.719,Pet3Gac,47,52,8.71,52.66,60
B1R3,2,Harvest,58.405,Pet3Gac,47,57,8.71,52.89,60
B1R3,3,Harvest,47.284,Pet3Gac,47,57,8.76,52.14,60
B1R4,1,Harvest,59.713,Pet3Gac,47,53,8.05,51.76,60
B1R4,2,Harvest,64.610,Pet3Gac,47,52,7.04,51.59,60
B1R4,3,Harvest,59.932,Pet3Gac,47,54.5,8.19,51.77,60
B2R1,1,Harvest,72.004,Pet3Gac,60,50.5,9.79,67.05,60
B2R1,2,Harvest,59.980,Pet3Gac,60,53.5,10.54,67.21,60
B2R1,3,Harvest,71.687,Pet3Gac,61,50.5,10.56,67.11,60
B2R2,1,Harvest,67.280,Pet3Gac,58,51,10.42,64.16,60
B2R2,2,Harvest,57.840,Pet3Gac,58,53,10.23,64.18,60
B2R2,3,Harvest,59.100,Pet3Gac,58,54.5,10.71,64.23,60
B2R3,1,Harvest,54.555,Pet3Gac,52,53.5,7.54,57.23,60
B2R3,2,Harvest,49.532,Pet3Gac,52,59,7.01,56.82,60
B2R3,3,Harvest,50.059,Pet3Gac,52,54,7.31,57.06,60
B3R1,1,Harvest,53.109,Pet3Gac,56,57.5,8.93,62.67,60
B3R1,2,Harvest,45.196,Pet3Gac,56,55.5,9.59,62.56,60
B3R1,3,Harvest,47.174,Pet3Gac,56,52.5,8.9,62.95,60
B3R2,1,Harvest,51.814,Pet3Gac,55,56.5,9.17,61.52,60
B3R2,2,Harvest,61.015,Pet3Gac,55,52.5,9.66,61.82,60
B3R2,3,Harvest,52.896,Pet3Gac,55,59,8.45,61.45,60
B3R3,1,Harvest,68.457,Pet3Gac,54,54,8.69,60.68,60
B3R3,2,Harvest,60.466,Pet3Gac,54,51,8.82,60.48,60
B3R3,3,Harvest,57.125,Pet3Gac,54,54,8.45,60.31,60
B1R2,1,1st point,32.817,Pet3Gac,56,55.5,6.57,60.8,60
B1R2,2,1st point,32.239,Pet3Gac,56,54.5,6.69,60.8,60
B1R2,3,1st point,26.638,Pet3Gac,56,55,5.95,60.5,60
B1R3,1,1st point,46.495,Pet3Gac,34,52.5,4.94,42,60
B1R3,2,1st point,37.584,Pet3Gac,34,53,5.25,42,60
B1R3,3,1st point,36.756,Pet3Gac,34,54.5,5.1,42.3,60
B1R4,1,1st point,42.337,Pet3Gac,36,51.5,5.8,44.8,60
B1R4,2,1st point,47.315,Pet3Gac,36,50,5.66,44.7,60
B1R4,3,1st point,35.710,Pet3Gac,36,54,6.27,45,60
B2R1,1,1st point,34.937,Pet3Gac,50,50,6.32,54.9,60
B2R1,2,1st point,34.725,Pet3Gac,50,53,5.99,54.9,60
B2R1,3,1st point,39.059,Pet3Gac,50,52,5.92,55.1,60
B2R2,1,1st point,67.029,Pet3Gac,54,52.5,6.6,59.6,60
B2R2,2,1st point,62.382,Pet3Gac,54,52,7.08,59.2,60
B2R2,3,1st point,48.743,Pet3Gac,54,54,6.92,59.3,60
B2R3,1,1st point,33.724,Pet3Gac,44,52,5.74,47,60
B2R3,2,1st point,25.840,Pet3Gac,44,51,5.77,47,60
B2R3,3,1st point,21.497,Pet3Gac,44,51.5,6.3,46.9,60
B3R1,1,1st point,41.208,Pet3Gac,48,57,6.38,51.9,60
B3R1,2,1st point,33.536,Pet3Gac,48,56,6.52,51.9,60
B3R1,3,1st point,53.080,Pet3Gac,48,57,5.99,51.9,60
B3R2,1,1st point,44.846,Pet3Gac,44,56,6.03,49.4,60
B3R2,2,1st point,40.284,Pet3Gac,44,52.5,5.42,49.4,60
B3R2,3,1st point,41.829,Pet3Gac,45,54,6.38,49.7,60
B3R3,1,1st point,50.728,Pet3Gac,46,52.5,6.39,51.1,60
B3R3,2,1st point,47.224,Pet3Gac,46,53.5,6.05,51.4,60
B3R3,3,1st point,55.065,Pet3Gac,46,54,6.25,51.3,60
B1R2,1,Harvest,93.600,Peo3Gac,69,54.5,10.67,75.33,60
B1R2,2,Harvest,78.471,Peo3Gac,69,57,11.24,75.67,60
B1R2,3,Harvest,92.416,Peo3Gac,69,51.5,10.58,75.98,60
B1R3,1,Harvest,62.818,Peo3Gac,47,52,8.71,52.66,60
B1R3,2,Harvest,62.309,Peo3Gac,47,57,8.71,52.89,60
B1R3,3,Harvest,50.905,Peo3Gac,47,57,8.76,52.14,60
B1R4,1,Harvest,64.039,Peo3Gac,47,53,8.05,51.76,60
B1R4,2,Harvest,74.501,Peo3Gac,47,52,7.04,51.59,60
B1R4,3,Harvest,69.459,Peo3Gac,47,54.5,8.19,51.77,60
B2R1,1,Harvest,93.079,Peo3Gac,60,50.5,9.79,67.05,60
B2R1,2,Harvest,79.007,Peo3Gac,60,53.5,10.54,67.21,60
B2R1,3,Harvest,90.322,Peo3Gac,61,50.5,10.56,67.11,60
B2R2,1,Harvest,91.946,Peo3Gac,58,51,10.42,64.16,60
B2R2,2,Harvest,78.630,Peo3Gac,58,53,10.23,64.18,60
B2R2,3,Harvest,79.130,Peo3Gac,58,54.5,10.71,64.23,60
B2R3,1,Harvest,69.490,Peo3Gac,52,53.5,7.54,57.23,60
B2R3,2,Harvest,63.357,Peo3Gac,52,59,7.01,56.82,60
B2R3,3,Harvest,62.688,Peo3Gac,52,54,7.31,57.06,60
B3R1,1,Harvest,71.049,Peo3Gac,56,57.5,8.93,62.67,60
B3R1,2,Harvest,59.201,Peo3Gac,56,55.5,9.59,62.56,60
B3R1,3,Harvest,64.945,Peo3Gac,56,52.5,8.9,62.95,60
B3R2,1,Harvest,70.836,Peo3Gac,55,56.5,9.17,61.52,60
B3R2,2,Harvest,81.110,Peo3Gac,55,52.5,9.66,61.82,60
B3R2,3,Harvest,71.867,Peo3Gac,55,59,8.45,61.45,60
B3R3,1,Harvest,88.366,Peo3Gac,54,54,8.69,60.68,60
B3R3,2,Harvest,80.574,Peo3Gac,54,51,8.82,60.48,60
B3R3,3,Harvest,79.127,Peo3Gac,54,54,8.45,60.31,60
B1R2,1,1st point,53.014,Peo3Gac,56,55.5,6.57,60.8,60
B1R2,2,1st point,52.080,Peo3Gac,56,54.5,6.69,60.8,60
B1R2,3,1st point,45.537,Peo3Gac,56,55,5.95,60.5,60
B1R3,1,1st point,53.118,Peo3Gac,34,52.5,4.94,42,60
B1R3,2,1st point,44.032,Peo3Gac,34,53,5.25,42,60
B1R3,3,1st point,43.492,Peo3Gac,34,54.5,5.1,42.3,60
B1R4,1,1st point,50.070,Peo3Gac,36,51.5,5.8,44.8,60
B1R4,2,1st point,53.515,Peo3Gac,36,50,5.66,44.7,60
B1R4,3,1st point,41.973,Peo3Gac,36,54,6.27,45,60
B2R1,1,1st point,46.526,Peo3Gac,50,50,6.32,54.9,60
B2R1,2,1st point,50.376,Peo3Gac,50,53,5.99,54.9,60
B2R1,3,1st point,54.712,Peo3Gac,50,52,5.92,55.1,60
B2R2,1,1st point,90.409,Peo3Gac,54,52.5,6.6,59.6,60
B2R2,2,1st point,74.902,Peo3Gac,54,52,7.08,59.2,60
B2R2,3,1st point,68.409,Peo3Gac,54,54,6.92,59.3,60
B2R3,1,1st point,41.966,Peo3Gac,44,52,5.74,47,60
B2R3,2,1st point,36.627,Peo3Gac,44,51,5.77,47,60
B2R3,3,1st point,30.983,Peo3Gac,44,51.5,6.3,46.9,60
B3R1,1,1st point,51.020,Peo3Gac,48,57,6.38,51.9,60
B3R1,2,1st point,45.589,Peo3Gac,48,56,6.52,51.9,60
B3R1,3,1st point,64.983,Peo3Gac,48,57,5.99,51.9,60
B3R2,1,1st point,53.213,Peo3Gac,44,56,6.03,49.4,60
B3R2,2,1st point,49.974,Peo3Gac,44,52.5,5.42,49.4,60
B3R2,3,1st point,51.460,Peo3Gac,45,54,6.38,49.7,60
B3R3,1,1st point,68.223,Peo3Gac,46,52.5,6.39,51.1,60
B3R3,2,1st point,60.884,Peo3Gac,46,53.5,6.05,51.4,60
B3R3,3,1st point,68.595,Peo3Gac,46,54,6.25,51.3,60
B1R2,1,Harvest,1073.700,M3Gac,69,54.5,10.67,75.33,60
B1R2,2,Harvest,861.266,M3Gac,69,57,11.24,75.67,60
B1R2,3,Harvest,984.588,M3Gac,69,51.5,10.58,75.98,60
B1R3,1,Harvest,629.801,M3Gac,47,52,8.71,52.66,60
B1R3,2,Harvest,610.816,M3Gac,47,57,8.71,52.89,60
B1R3,3,Harvest,517.236,M3Gac,47,57,8.76,52.14,60
B1R4,1,Harvest,627.904,M3Gac,47,53,8.05,51.76,60
B1R4,2,Harvest,673.963,M3Gac,47,52,7.04,51.59,60
B1R4,3,Harvest,630.047,M3Gac,47,54.5,8.19,51.77,60
B2R1,1,Harvest,983.913,M3Gac,60,50.5,9.79,67.05,60
B2R1,2,Harvest,872.987,M3Gac,60,53.5,10.54,67.21,60
B2R1,3,Harvest,946.535,M3Gac,61,50.5,10.56,67.11,60
B2R2,1,Harvest,793.253,M3Gac,58,51,10.42,64.16,60
B2R2,2,Harvest,708.974,M3Gac,58,53,10.23,64.18,60
B2R2,3,Harvest,668.494,M3Gac,58,54.5,10.71,64.23,60
B2R3,1,Harvest,766.916,M3Gac,52,53.5,7.54,57.23,60
B2R3,2,Harvest,649.780,M3Gac,52,59,7.01,56.82,60
B2R3,3,Harvest,671.911,M3Gac,52,54,7.31,57.06,60
B3R1,1,Harvest,698.644,M3Gac,56,57.5,8.93,62.67,60
B3R1,2,Harvest,579.157,M3Gac,56,55.5,9.59,62.56,60
B3R1,3,Harvest,635.221,M3Gac,56,52.5,8.9,62.95,60
B3R2,1,Harvest,626.214,M3Gac,55,56.5,9.17,61.52,60
B3R2,2,Harvest,698.182,M3Gac,55,52.5,9.66,61.82,60
B3R2,3,Harvest,642.084,M3Gac,55,59,8.45,61.45,60
B3R3,1,Harvest,745.450,M3Gac,54,54,8.69,60.68,60
B3R3,2,Harvest,690.365,M3Gac,54,51,8.82,60.48,60
B3R3,3,Harvest,672.142,M3Gac,54,54,8.45,60.31,60
B1R2,1,1st point,399.690,M3Gac,56,55.5,6.57,60.8,60
B1R2,2,1st point,381.787,M3Gac,56,54.5,6.69,60.8,60
B1R2,3,1st point,341.788,M3Gac,56,55,5.95,60.5,60
B1R3,1,1st point,304.744,M3Gac,34,52.5,4.94,42,60
B1R3,2,1st point,259.838,M3Gac,34,53,5.25,42,60
B1R3,3,1st point,273.364,M3Gac,34,54.5,5.1,42.3,60
B1R4,1,1st point,295.498,M3Gac,36,51.5,5.8,44.8,60
B1R4,2,1st point,315.876,M3Gac,36,50,5.66,44.7,60
B1R4,3,1st point,245.835,M3Gac,36,54,6.27,45,60
B2R1,1,1st point,337.873,M3Gac,50,50,6.32,54.9,60
B2R1,2,1st point,348.510,M3Gac,50,53,5.99,54.9,60
B2R1,3,1st point,369.472,M3Gac,50,52,5.92,55.1,60
B2R2,1,1st point,458.643,M3Gac,54,52.5,6.6,59.6,60
B2R2,2,1st point,426.963,M3Gac,54,52,7.08,59.2,60
B2R2,3,1st point,404.916,M3Gac,54,54,6.92,59.3,60
B2R3,1,1st point,275.935,M3Gac,44,52,5.74,47,60
B2R3,2,1st point,236.746,M3Gac,44,51,5.77,47,60
B2R3,3,1st point,204.630,M3Gac,44,51.5,6.3,46.9,60
B3R1,1,1st point,285.542,M3Gac,48,57,6.38,51.9,60
B3R1,2,1st point,259.592,M3Gac,48,56,6.52,51.9,60
B3R1,3,1st point,334.588,M3Gac,48,57,5.99,51.9,60
B3R2,1,1st point,306.685,M3Gac,44,56,6.03,49.4,60
B3R2,2,1st point,284.944,M3Gac,44,52.5,5.42,49.4,60
B3R2,3,1st point,302.282,M3Gac,45,54,6.38,49.7,60
B3R3,1,1st point,288.171,M3Gac,46,52.5,6.39,51.1,60
B3R3,2,1st point,273.148,M3Gac,46,53.5,6.05,51.4,60
B3R3,3,1st point,307.540,M3Gac,46,54,6.25,51.3,60
B1R2,1,Harvest,55.084,Peo3Gpc,69,54.5,10.67,75.33,60
B1R2,2,Harvest,42.071,Peo3Gpc,69,57,11.24,75.67,60
B1R2,3,Harvest,49.834,Peo3Gpc,69,51.5,10.58,75.98,60
B1R3,1,Harvest,28.833,Peo3Gpc,47,52,8.71,52.66,60
B1R3,2,Harvest,26.919,Peo3Gpc,47,57,8.71,52.89,60
B1R3,3,Harvest,21.732,Peo3Gpc,47,57,8.76,52.14,60
B1R4,1,Harvest,27.631,Peo3Gpc,47,53,8.05,51.76,60
B1R4,2,Harvest,35.123,Peo3Gpc,47,52,7.04,51.59,60
B1R4,3,Harvest,31.726,Peo3Gpc,47,54.5,8.19,51.77,60
B2R1,1,Harvest,43.546,Peo3Gpc,60,50.5,9.79,67.05,60
B2R1,2,Harvest,37.568,Peo3Gpc,60,53.5,10.54,67.21,60
B2R1,3,Harvest,44.335,Peo3Gpc,61,50.5,10.56,67.11,60
B2R2,1,Harvest,43.451,Peo3Gpc,58,51,10.42,64.16,60
B2R2,2,Harvest,35.551,Peo3Gpc,58,53,10.23,64.18,60
B2R2,3,Harvest,38.744,Peo3Gpc,58,54.5,10.71,64.23,60
B2R3,1,Harvest,34.436,Peo3Gpc,52,53.5,7.54,57.23,60
B2R3,2,Harvest,28.103,Peo3Gpc,52,59,7.01,56.82,60
B2R3,3,Harvest,28.549,Peo3Gpc,52,54,7.31,57.06,60
B3R1,1,Harvest,30.027,Peo3Gpc,56,57.5,8.93,62.67,60
B3R1,2,Harvest,23.927,Peo3Gpc,56,55.5,9.59,62.56,60
B3R1,3,Harvest,24.810,Peo3Gpc,56,52.5,8.9,62.95,60
B3R2,1,Harvest,36.292,Peo3Gpc,55,56.5,9.17,61.52,60
B3R2,2,Harvest,40.365,Peo3Gpc,55,52.5,9.66,61.82,60
B3R2,3,Harvest,36.179,Peo3Gpc,55,59,8.45,61.45,60
B3R3,1,Harvest,38.765,Peo3Gpc,54,54,8.69,60.68,60
B3R3,2,Harvest,40.378,Peo3Gpc,54,51,8.82,60.48,60
B3R3,3,Harvest,38.106,Peo3Gpc,54,54,8.45,60.31,60
B1R2,1,1st point,33.976,Peo3Gpc,56,55.5,6.57,60.8,60
B1R2,2,1st point,32.940,Peo3Gpc,56,54.5,6.69,60.8,60
B1R2,3,1st point,26.155,Peo3Gpc,56,55,5.95,60.5,60
B1R3,1,1st point,27.538,Peo3Gpc,34,52.5,4.94,42,60
B1R3,2,1st point,22.264,Peo3Gpc,34,53,5.25,42,60
B1R3,3,1st point,22.661,Peo3Gpc,34,54.5,5.1,42.3,60
B1R4,1,1st point,25.121,Peo3Gpc,36,51.5,5.8,44.8,60
B1R4,2,1st point,26.440,Peo3Gpc,36,50,5.66,44.7,60
B1R4,3,1st point,19.588,Peo3Gpc,36,54,6.27,45,60
B2R1,1,1st point,28.700,Peo3Gpc,50,50,6.32,54.9,60
B2R1,2,1st point,29.050,Peo3Gpc,50,53,5.99,54.9,60
B2R1,3,1st point,30.224,Peo3Gpc,50,52,5.92,55.1,60
B2R2,1,1st point,58.918,Peo3Gpc,54,52.5,6.6,59.6,60
B2R2,2,1st point,48.394,Peo3Gpc,54,52,7.08,59.2,60
B2R2,3,1st point,41.608,Peo3Gpc,54,54,6.92,59.3,60
B2R3,1,1st point,21.223,Peo3Gpc,44,52,5.74,47,60
B2R3,2,1st point,16.367,Peo3Gpc,44,51,5.77,47,60
B2R3,3,1st point,15.385,Peo3Gpc,44,51.5,6.3,46.9,60
B3R1,1,1st point,22.285,Peo3Gpc,48,57,6.38,51.9,60
B3R1,2,1st point,19.093,Peo3Gpc,48,56,6.52,51.9,60
B3R1,3,1st point,26.727,Peo3Gpc,48,57,5.99,51.9,60
B3R2,1,1st point,26.102,Peo3Gpc,44,56,6.03,49.4,60
B3R2,2,1st point,23.213,Peo3Gpc,44,52.5,5.42,49.4,60
B3R2,3,1st point,24.322,Peo3Gpc,45,54,6.38,49.7,60
B3R3,1,1st point,28.239,Peo3Gpc,46,52.5,6.39,51.1,60
B3R3,2,1st point,26.173,Peo3Gpc,46,53.5,6.05,51.4,60
B3R3,3,1st point,31.544,Peo3Gpc,46,54,6.25,51.3,60
B1R2,1,Harvest,255.097,M3Gpc,69,54.5,10.67,75.33,60
B1R2,2,Harvest,196.507,M3Gpc,69,57,11.24,75.67,60
B1R2,3,Harvest,226.070,M3Gpc,69,51.5,10.58,75.98,60
B1R3,1,Harvest,128.779,M3Gpc,47,52,8.71,52.66,60
B1R3,2,Harvest,126.547,M3Gpc,47,57,8.71,52.89,60
B1R3,3,Harvest,106.931,M3Gpc,47,57,8.76,52.14,60
B1R4,1,Harvest,129.725,M3Gpc,47,53,8.05,51.76,60
B1R4,2,Harvest,151.334,M3Gpc,47,52,7.04,51.59,60
B1R4,3,Harvest,135.041,M3Gpc,47,54.5,8.19,51.77,60
B2R1,1,Harvest,230.617,M3Gpc,60,50.5,9.79,67.05,60
B2R1,2,Harvest,194.917,M3Gpc,60,53.5,10.54,67.21,60
B2R1,3,Harvest,221.336,M3Gpc,61,50.5,10.56,67.11,60
B2R2,1,Harvest,197.104,M3Gpc,58,51,10.42,64.16,60
B2R2,2,Harvest,167.268,M3Gpc,58,53,10.23,64.18,60
B2R2,3,Harvest,166.092,M3Gpc,58,54.5,10.71,64.23,60
B2R3,1,Harvest,185.355,M3Gpc,52,53.5,7.54,57.23,60
B2R3,2,Harvest,143.979,M3Gpc,52,59,7.01,56.82,60
B2R3,3,Harvest,156.319,M3Gpc,52,54,7.31,57.06,60
B3R1,1,Harvest,155.423,M3Gpc,56,57.5,8.93,62.67,60
B3R1,2,Harvest,121.653,M3Gpc,56,55.5,9.59,62.56,60
B3R1,3,Harvest,128.300,M3Gpc,56,52.5,8.9,62.95,60
B3R2,1,Harvest,159.090,M3Gpc,55,56.5,9.17,61.52,60
B3R2,2,Harvest,174.853,M3Gpc,55,52.5,9.66,61.82,60
B3R2,3,Harvest,168.178,M3Gpc,55,59,8.45,61.45,60
B3R3,1,Harvest,176.593,M3Gpc,54,54,8.69,60.68,60
B3R3,2,Harvest,177.671,M3Gpc,54,51,8.82,60.48,60
B3R3,3,Harvest,166.649,M3Gpc,54,54,8.45,60.31,60
B1R2,1,1st point,83.955,M3Gpc,56,55.5,6.57,60.8,60
B1R2,2,1st point,78.328,M3Gpc,56,54.5,6.69,60.8,60
B1R2,3,1st point,67.301,M3Gpc,56,55,5.95,60.5,60
B1R3,1,1st point,51.086,M3Gpc,34,52.5,4.94,42,60
B1R3,2,1st point,42.549,M3Gpc,34,53,5.25,42,60
B1R3,3,1st point,46.023,M3Gpc,34,54.5,5.1,42.3,60
B1R4,1,1st point,49.579,M3Gpc,36,51.5,5.8,44.8,60
B1R4,2,1st point,52.081,M3Gpc,36,50,5.66,44.7,60
B1R4,3,1st point,39.015,M3Gpc,36,54,6.27,45,60
B2R1,1,1st point,68.394,M3Gpc,50,50,6.32,54.9,60
B2R1,2,1st point,66.477,M3Gpc,50,53,5.99,54.9,60
B2R1,3,1st point,68.513,M3Gpc,50,52,5.92,55.1,60
B2R2,1,1st point,98.206,M3Gpc,54,52.5,6.6,59.6,60
B2R2,2,1st point,89.666,M3Gpc,54,52,7.08,59.2,60
B2R2,3,1st point,82.974,M3Gpc,54,54,6.92,59.3,60
B2R3,1,1st point,47.155,M3Gpc,44,52,5.74,47,60
B2R3,2,1st point,37.130,M3Gpc,44,51,5.77,47,60
B2R3,3,1st point,33.600,M3Gpc,44,51.5,6.3,46.9,60
B3R1,1,1st point,45.181,M3Gpc,48,57,6.38,51.9,60
B3R1,2,1st point,39.795,M3Gpc,48,56,6.52,51.9,60
B3R1,3,1st point,50.456,M3Gpc,48,57,5.99,51.9,60
B3R2,1,1st point,50.847,M3Gpc,44,56,6.03,49.4,60
B3R2,2,1st point,45.020,M3Gpc,44,52.5,5.42,49.4,60
B3R2,3,1st point,49.921,M3Gpc,45,54,6.38,49.7,60
B3R3,1,1st point,44.314,M3Gpc,46,52.5,6.39,51.1,60
B3R3,2,1st point,43.641,M3Gpc,46,53.5,6.05,51.4,60
B3R3,3,1st point,51.784,M3Gpc,46,54,6.25,51.3,60
