Sample,Rep,Set,mAU Sample Delphinidin-3-glucoside,mAU Sample Cyanidin-3-glucoside,mAU Sample Petunidin-3-glucoside,mAU Sample Peonidin-3-glucoside,mAU Sample Malvidin-3-glucoside,mAU Delphinidin-3-glu-ac,mAU Sample Cyanidin-3-glu-ac,mAU Sample Petunidin-3-glu-ac,mAU Sample Peonidin-3-glu-ac,mAU Sample Malvidin-3-glu-ac,mAU Sample Peonidin-3-glu-p-coum,mAU Sample Malvidin-3-glu-p-coum,Concentration Delphinidin-3-glucoside Sample (mg/L),dephiglu_mg_berry,delphiglu_mg_ 60 berries,delphiglu_mg_g skin,delphiglu_mg_g berry,Concentration Cyanidin-3-glucoside Sample (mg/L),cyaniglu_mg_berry,cyaniglu_mg_60 berries,cyaniglu_mg_g skin,cyaniglu_mg_g berry,Concentration Petunidin-3-glucoside Sample (mg/L),petuglu_mg_berry,petuglu_mg_60 berries,petuglu_mg_g skin,petuglu_mg_g berry,Concentration Peonidin-3-glucoside Sample (mg/L),peoni_glu_mg_berry,peoni_glu_mg_60 berries,peoni_glu_mg_g skin,peoni_glu_mg_g berry,Concentration Malvidin Sample (mg/L)*10,malvi_glu_mg_berry,malvi_glu_mg_60 berries,malvi_glu_mg_g skin,malvi_glu_mg_g berry,Concentration Delphinidin-3-glu-ac Sample (mg/L),delphi_ac_mg_berry,delphi_ac_mg_60 berries,delphi_ac_mg_g skin,delphi_ac_mg_g berry,Concentration Cyanidin-3-glu-ac Sample (mg/L),cyani_ac_mg_berry,cyani_ac_mg_60 berries,cyani_ac_mg_g skin,cyani_ac_mg_g berry,Concentration Petunidin-3-glu-ac Sample (mg/L),petu_ac_mg_berry,petu_ac_mg_60 berries,petu_ac_mg_g skin,petu_ac_mg_g berry,Concentration Peonidin-3-glu-ac Sample (mg/L),peoni_ac_mg_berry,peoni_ac_mg_60 berries,peoni_ac_mg_g skin,peoni_ac_mg_g berry,Concentration Malvidin-3-glu-ac Sample (mg/L),malvi_ac_mg_berry,malvi_ac_mg_60 berries,malvi_ac_mg_g skin,malvi_ac_mg_g berry,Concentration Peonidin-3-glu-p-coum Sample (mg/L),peoni_coum_mg_berry,peoni_coum_mg_60 berries,peoni_coum_mg_g skin,peoni_coum_mg_g berry,Concentration Malvidin-3-glu-p-coum Sample (mg/L),malvi_coum_mg_berry,malvi_coum_mg_60 berries,malvi_coum_mg_g skin,malvi_coum_mg_g berry,Total Anthocyanins mg_60 berry,Mg_b,Extract_ini_vol,Extract_final_vol,dilution_factor,Total_antho_mg_L_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,treatment
B2R1,2,Harvest,207.991,25.987,166.104,157.421,1381.632,44.756,7.344,59.98,79.007,872.987,37.568,194.917,35.42303258,0.035423033,2.125381955,0.201649142,0.031623002,5.909627946,0.005909628,0.354577677,0.033641146,0.005275668,28.63072043,0.02863072,1.717843226,0.162983228,0.02555934,27.22270252,0.027222703,1.633362151,0.154967946,0.024302368,225.7383099,0.22573831,13.54429859,1.285037817,0.201522074,8.953171448,0.008953171,0.537190287,0.05096682,0.007992714,2.886516352,0.002886516,0.173190981,0.016431782,0.002576863,11.42186484,0.011421865,0.68531189,0.065020103,0.010196576,14.50724511,0.014507245,0.870434706,0.082583938,0.01295097,143.2574539,0.143257454,8.595447237,0.815507328,0.12788941,7.787579744,0.00778758,0.467254785,0.044331573,0.006952162,33.30297889,0.033302979,1.998178733,0.189580525,0.029730378,32.70247222,0.545041204,60,53.5,0.89,698,10.54,67.21,60,2
B2R1,3,Harvest,249.46,27.395,195.384,176.395,1539.578,53.399,7.76,71.687,90.322,946.535,44.335,221.336,39.30615396,0.039961257,2.397675392,0.227052594,0.035727543,5.72415227,0.005819555,0.349173288,0.033065652,0.005202999,31.12845678,0.031647264,1.898835864,0.179814002,0.02829438,28.25682627,0.028727773,1.723666402,0.163225985,0.025684196,234.4055386,0.238312298,14.29873786,1.354047145,0.213064191,9.656633174,0.009817577,0.589054624,0.055781688,0.008777449,2.75482976,0.002800744,0.168044615,0.015913316,0.002504018,12.42225426,0.012629292,0.75775751,0.07175734,0.011291276,15.24035077,0.015494357,0.929661397,0.088036117,0.0138528,144.7220179,0.147134052,8.828043093,0.835988929,0.131545866,8.28592071,0.008424019,0.505441163,0.047863747,0.007531533,35.05307394,0.035637292,2.13823751,0.202484613,0.031861682,34.58432871,0.576405479,61,50.5,0.83,723,10.56,67.11,60,2
B2R2,1,Harvest,263.14,42.65,204.376,223.059,1484.595,54.771,10.67,67.28,91.946,793.253,43.451,197.104,43.86739104,0.042405145,2.54430868,0.244175497,0.039655684,8.5149064,0.008231076,0.493864571,0.047395832,0.00769739,34.44540634,0.033297226,1.997833567,0.191730669,0.031138304,37.44096382,0.036192932,2.171575902,0.208404597,0.033846258,239.7105999,0.231720247,13.9032148,1.33428165,0.216695991,10.45833906,0.010109728,0.606583665,0.058213404,0.009454234,3.38736112,0.003274449,0.196466945,0.018854793,0.003062141,12.46398208,0.012048516,0.722910961,0.069377252,0.011267315,16.41882986,0.015871536,0.952292132,0.0913908,0.014842458,128.863589,0.124568136,7.474088162,0.717282933,0.116491399,8.643335536,0.008355224,0.501313461,0.048110697,0.007813489,33.27944294,0.032170128,1.930207691,0.185240661,0.030084284,33.49466053,0.558244342,58,51,0.88,775,10.42,64.16,60,2
B2R2,2,Harvest,220.833,30.631,173.49,182.808,1318.878,44.381,7.249,57.84,78.63,708.974,35.551,167.268,38.34828507,0.037070009,2.224200534,0.217419407,0.034655664,6.812413062,0.006585333,0.395119958,0.038623652,0.006156434,30.49872098,0.029482097,1.768925817,0.172915525,0.027561948,32.04366402,0.030975542,1.858532513,0.181674732,0.028958126,220.4063422,0.213059464,12.78356785,1.249615625,0.199183045,9.092190562,0.008789118,0.527347053,0.051549077,0.008216688,2.935630698,0.002837776,0.17026658,0.01664385,0.002652954,11.32371968,0.010946262,0.656775741,0.064200952,0.01023334,14.77074326,0.014278385,0.856703109,0.083744194,0.013348444,119.2830391,0.115306938,6.918416271,0.676287025,0.107797075,7.628158902,0.007373887,0.442433216,0.043248604,0.006893631,29.46710094,0.028484864,1.709091854,0.167066652,0.026629664,30.31138049,0.505189675,58,53,0.91,684,10.23,64.18,60,2
B2R2,3,Harvest,234.218,38.924,179.664,192.734,1262.58,44.658,8.63,59.1,79.13,668.494,38.744,166.092,41.90493642,0.040508105,2.430486313,0.226936164,0.03784036,8.457323632,0.008175413,0.490524771,0.045800632,0.007637004,32.56158195,0.031476196,1.888571753,0.176337232,0.029403266,34.80005471,0.033640053,2.018403173,0.18845968,0.031424617,218.0304394,0.210762758,12.64576549,1.180743743,0.196882539,9.439374344,0.009124729,0.547483712,0.051118927,0.008523801,3.26893084,0.003159966,0.189597989,0.017702893,0.00295186,11.9128268,0.011515733,0.690943954,0.064513908,0.01075734,15.34332484,0.014831881,0.889912841,0.083091769,0.013855096,116.2825184,0.112406434,6.744386067,0.629727924,0.105003675,8.426495392,0.008145612,0.488736733,0.045633682,0.007609166,30.23713266,0.029229228,1.753753694,0.163749178,0.027304277,30.77856649,0.512976108,58,54.5,0.94,698,10.71,64.23,60,2
B2R3,1,Harvest,184.11,21.174,152.49,137.637,1272.393,38.922,6.995,54.555,69.49,766.916,34.436,185.355,36.51354326,0.031645071,1.89870425,0.25181754,0.03317673,5.935995884,0.00514453,0.308671786,0.040937903,0.005393531,30.57954434,0.026502272,1.590136306,0.210893409,0.027785013,27.79214124,0.024086522,1.445191345,0.19166994,0.025252339,240.7472607,0.208647626,12.51885756,1.660325936,0.218746419,9.266692052,0.008031133,0.481867987,0.063908221,0.008419849,3.27507967,0.002838402,0.170304143,0.022586756,0.002975784,12.20047463,0.010573745,0.634424681,0.084141204,0.011085526,15.00326634,0.013002831,0.78016985,0.103470802,0.013632183,145.8864141,0.126434892,7.586093531,1.0061132,0.132554491,8.424822376,0.007301513,0.438090764,0.058102223,0.007654915,36.74718743,0.031847562,1.910853746,0.253428879,0.033389022,29.76336594,0.496056099,52,53.5,1.03,527,7.54,57.23,60,2
B2R3,2,Harvest,174.386,22.656,139.481,130.015,1091.078,37.065,5.613,49.532,63.357,649.78,28.103,143.979,38.056512,0.03298231,1.978938624,0.282302229,0.034828205,6.817429216,0.005908439,0.354506319,0.050571515,0.006239112,30.87006117,0.026754053,1.605243181,0.228993321,0.028251376,28.92114429,0.025064992,1.503899503,0.214536306,0.026467784,226.7905611,0.19655182,11.79310918,1.682326559,0.20755208,9.78404059,0.008479502,0.508770111,0.072577762,0.008954067,3.308514118,0.002867379,0.172042734,0.024542473,0.003027855,12.35082135,0.010704045,0.64224271,0.091618076,0.01130311,15.1971953,0.013170903,0.790254156,0.112732405,0.013908028,135.9334811,0.117809017,7.068541016,1.008351072,0.124402341,7.938890258,0.006880372,0.412822293,0.058890484,0.00726544,31.79613639,0.027556652,1.653399092,0.235862923,0.029098893,28.48376892,0.474729482,52,59,1.13,641,7.01,56.82,60,2
B2R3,3,Harvest,164.918,20.543,138.234,129.76,1122.037,34.469,5.33,50.059,62.688,671.911,28.549,156.319,33.23138998,0.028800538,1.728032279,0.236392925,0.030284477,5.874059984,0.005090852,0.305451119,0.041785379,0.005353157,28.17509219,0.024418413,1.465104794,0.200424732,0.025676565,26.56937088,0.023026788,1.381607286,0.189002365,0.024213237,214.5939551,0.185981428,11.15888566,1.526523346,0.195564067,8.512869872,0.007377821,0.442669233,0.060556667,0.007757961,2.99137904,0.002592529,0.15555171,0.021279304,0.002726108,11.46698779,0.009938056,0.596283365,0.081570912,0.010450112,13.86003174,0.012012028,0.720721651,0.098593933,0.012630944,129.3004796,0.112060416,6.723624938,0.919784533,0.117834296,7.391100912,0.006405621,0.384337247,0.052576915,0.006735669,31.60198267,0.027388385,1.643303099,0.224802066,0.028799564,26.70557238,0.445092873,52,54,1.04,505,7.31,57.06,60,2
B3R1,1,Harvest,185.384,27.109,150.268,149.362,1183.416,38.566,6.902,53.109,71.049,698.644,30.027,155.423,36.75262974,0.034302454,2.058147266,0.230475618,0.032841029,7.049793594,0.006579807,0.394788441,0.044209232,0.00629948,30.16255049,0.028151714,1.689102827,0.189149253,0.026952335,29.99252509,0.027993023,1.679581405,0.188083024,0.026800405,224.0493031,0.209112683,12.54676097,1.405012427,0.200203622,9.199882956,0.008586557,0.515193446,0.057692435,0.008220735,3.257626732,0.003040452,0.182427097,0.020428566,0.002910916,11.92910959,0.011133836,0.668030137,0.074807406,0.010659488,15.29583763,0.014276115,0.856566908,0.095920146,0.013667894,133.0740809,0.124202476,7.452148531,0.834507114,0.118910939,7.597402982,0.007090909,0.425454567,0.047643289,0.006788808,31.12996872,0.029054637,1.743278248,0.195215929,0.02781679,30.21147984,0.503524664,56,57.5,1.03,642,8.93,62.67,60,3
B3R1,2,Harvest,154.197,22.255,128.484,129.151,996.672,31.748,6.277,45.196,59.201,579.157,23.927,121.653,29.69989447,0.027719902,1.66319409,0.173430041,0.026585583,5.90046039,0.005507096,0.330425782,0.034455243,0.005281742,25.06183495,0.023391046,1.403462757,0.146346481,0.022433868,25.18214708,0.023503337,1.410200236,0.147049034,0.022541564,181.66385,0.169552927,10.1731756,1.060810803,0.1626147,7.612788744,0.007105269,0.42631617,0.044454241,0.006814517,3.018380706,0.002817155,0.16902932,0.017625581,0.002701875,10.03851209,0.009369278,0.562156677,0.058619049,0.00898588,12.56470598,0.011727059,0.703623535,0.073370546,0.011247179,106.3533293,0.099263107,5.955786443,0.621041339,0.09520119,6.202052406,0.005788582,0.347314935,0.036216364,0.005551709,23.82967283,0.022241028,1.334461679,0.139151374,0.021330909,24.47914722,0.407985787,56,55.5,0.99,538,9.59,62.56,60,3
B3R1,3,Harvest,161.966,25.238,134.442,140.106,1062.983,34.548,7.334,47.174,64.945,635.221,24.81,128.3,29.53048089,0.027561782,1.65370693,0.185809767,0.026270166,6.113349784,0.005705793,0.342347588,0.038466021,0.005438405,24.81650046,0.023162067,1.389724026,0.156148767,0.022076633,25.78656241,0.024067458,1.444047495,0.162252528,0.022939595,183.8458604,0.17158947,10.29536818,1.156782942,0.163548343,7.707854864,0.007193998,0.431639872,0.048498862,0.006856869,3.046967512,0.002843836,0.170630181,0.01917193,0.002710567,9.870284632,0.009212266,0.552735939,0.062105162,0.008780555,12.91388826,0.012052962,0.723177743,0.081255926,0.011488129,110.5839182,0.103211657,6.192699421,0.695808924,0.098374892,6.04004708,0.005637377,0.338242636,0.038004791,0.005373195,23.7645724,0.022180268,1.330816054,0.149529894,0.021140843,24.86513607,0.414418934,56,52.5,0.94,644,8.9,62.95,60,3
