Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Conc_mg_l,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,con_mg_g_skin,conc_mg_g_berry_weight,con_mg_berry,treatment
1/14/2020,9/12/2019,B1R2,2,1.91,0.653,1.257,3834,69,57,0.83,3167,11.24,75.67,60,19.44,2.89,3.64,1
1/14/2020,9/12/2019,B1R2,3,2.099,0.815,1.284,3918,69,51.5,0.75,2924,10.58,75.98,60,19.07,2.66,3.36,1
1/14/2020,9/12/2019,B1R3,1,1.229,0.541,0.688,2057,47,52,1.11,2276,8.71,52.66,60,12.28,2.03,1.78,1
1/14/2020,9/12/2019,B1R3,2,1.207,0.5,0.707,2117,47,57,1.21,2567,8.71,52.89,60,13.85,2.28,2.01,1
1/14/2020,9/12/2019,B1R3,3,1.032,0.419,0.613,1823,47,57,1.21,2211,8.76,52.14,60,11.86,1.99,1.73,1
1/14/2020,9/12/2019,B1R4,1,1.245,0.544,0.701,2098,47,53,1.13,2366,8.05,51.76,60,13.81,2.15,1.85,1
1/14/2020,9/12/2019,B1R4,2,1.244,0.549,0.695,2079,47,52,1.11,2300,7.04,51.59,60,15.36,2.1,1.8,1
1/14/2020,9/12/2019,B1R4,3,1.262,0.513,0.749,2248,47,54.5,1.16,2607,8.19,51.77,60,14.96,2.37,2.04,1
1/14/2020,9/12/2019,B1R2,1,2.117,0.798,1.319,4027,69,54.5,0.79,3181,10.67,75.33,60,20.57,2.91,3.66,1
1/14/2020,9/12/2019,B1R2,2,1.915,0.676,1.239,3778,69,57,0.83,3121,11.24,75.67,60,19.16,2.85,3.59,1
1/14/2020,9/12/2019,B1R2,3,2.011,0.759,1.252,3818,69,51.5,0.75,2850,10.58,75.98,60,18.59,2.59,3.28,1
1/14/2020,9/12/2019,B1R3,1,1.221,0.537,0.684,2045,47,52,1.11,2262,8.71,52.66,60,12.21,2.02,1.77,1
1/14/2020,9/12/2019,B1R3,2,1.099,0.521,0.578,1714,47,57,1.21,2079,8.71,52.89,60,11.22,1.85,1.63,1
1/14/2020,9/12/2019,B1R3,3,1.016,0.432,0.584,1733,47,57,1.21,2101,8.76,52.14,60,11.27,1.89,1.65,1
1/14/2020,9/12/2019,B1R4,1,1.233,0.526,0.707,2117,47,53,1.13,2387,8.05,51.76,60,13.94,2.17,1.87,1
1/14/2020,9/12/2019,B1R4,2,1.266,0.55,0.716,2145,47,52,1.11,2373,7.04,51.59,60,15.84,2.16,1.86,1
1/14/2020,9/12/2019,B1R4,3,1.269,0.524,0.745,2235,47,54.5,1.16,2592,8.19,51.77,60,14.88,2.35,2.03,1
1/15/2020,9/16/2019,B2R1,1,1.728,0.773,0.955,2891,60,50.5,0.84,2433,9.79,67.05,60,14.91,2.18,2.43,2
1/15/2020,9/16/2019,B2R1,2,1.752,0.672,1.08,3281,61,50.5,0.83,2716,10.56,67.11,60,15.69,2.47,2.76,2
1/15/2020,9/16/2019,B2R1,3,1.976,0.731,1.245,3796,60,53.5,0.89,3385,10.54,67.21,60,19.27,3.02,3.39,2
1/15/2020,9/19/2019,B2R2,1,2,0.789,1.211,3690,58,51,0.88,3245,10.42,64.16,60,18.06,2.93,3.14,2
1/15/2020,9/19/2019,B2R2,2,1.822,0.71,1.112,3381,58,53,0.91,3090,10.23,64.18,60,17.52,2.79,2.99,2
1/15/2020,9/19/2019,B2R2,3,1.862,0.726,1.136,3456,58,54.5,0.94,3247,10.71,64.23,60,17.59,2.93,3.14,2
1/15/2020,9/19/2019,B2R3,1,1.477,0.624,0.853,2573,52,53.5,1.03,2647,7.54,57.23,60,18.25,2.4,2.29,2
1/15/2020,9/19/2019,B2R3,2,1.299,0.597,0.702,2101,52,54,1.04,2182,7.31,57.06,60,15.52,1.99,1.89,2
1/15/2020,9/19/2019,B2R3,3,1.389,0.551,0.838,2526,52,59,1.13,2866,7.01,56.82,60,21.26,2.62,2.48,2
1/15/2020,9/16/2019,B2R1,1,1.815,0.752,1.063,3228,60,50.5,0.84,2717,9.79,67.05,60,16.65,2.43,2.72,2
1/15/2020,9/16/2019,B2R1,2,1.695,0.695,1,3031,61,50.5,0.83,2510,10.56,67.11,60,14.5,2.28,2.55,2
1/15/2020,9/16/2019,B2R1,3,1.995,0.759,1.236,3768,60,53.5,0.89,3360,10.54,67.21,60,19.13,3,3.36,2
1/15/2020,9/19/2019,B2R2,1,2.022,0.758,1.264,3856,58,51,0.88,3390,10.42,64.16,60,18.87,3.06,3.28,2
1/15/2020,9/19/2019,B2R2,2,1.921,0.651,1.27,3874,58,53,0.91,3540,10.23,64.18,60,20.07,3.2,3.42,2
1/15/2020,9/19/2019,B2R2,3,1.821,0.628,1.193,3634,58,54.5,0.94,3415,10.71,64.23,60,18.49,3.08,3.3,2
1/15/2020,9/19/2019,B2R3,1,1.532,0.625,0.907,2741,52,53.5,1.03,2820,7.54,57.23,60,19.45,2.56,2.44,2
1/15/2020,9/19/2019,B2R3,2,1.306,0.577,0.729,2185,52,54,1.04,2269,7.31,57.06,60,16.14,2.07,1.97,2
1/15/2020,9/19/2019,B2R3,3,1.355,0.578,0.777,2335,52,59,1.13,2650,7.01,56.82,60,19.65,2.42,2.3,2
1/15/2020,9/16/2019,B2R1,1,1.919,0.783,1.136,3456,60,50.5,0.84,2909,9.79,67.05,60,17.83,2.6,2.91,2
1/15/2020,9/16/2019,B2R1,2,1.758,0.715,1.043,3166,61,50.5,0.83,2621,10.56,67.11,60,15.14,2.38,2.66,2
