SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1564324534,4391.6,20190728 07:35:34,9:35:34,2,6,B1_R3,1564324526,0.003386694,8.887076136,387.751871,251.7463826,25.4516742,39.20189116,0.120232937,2.274182736,0.116809935,0.073305635,115.6281344,37.54427716,34.50603871,5.495690625,40.75695384,2.683028048,6.582994545,2.812662577,-149.3532195,403.0117898,41.85253796,411.1392427,-0.041837976,0.046966793,3.498549112,39,8,1,0,51497.46761,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2647-20190728-07_35_36,1201.111154,2287.64,0.47495622,0.5,590.0680789,8.887076136,140.128252,1,0.012650415,-0.999518281,-,0,2287.64,0.47495622,-2074.898367,0.475751209,840.4250615,2647,300,300,300,10516.2,2086.24,-0.00814668,-49.2296,699.979871,590.0680789,0.842978639,0.195957278,6,0.5,0: Broadleaf,1564324526,387.751871,399.9918387,26.53823871,22.58217419,500.0147097,100.9004194,0.200037129,37.79309355,34.50603871,999.9,0,0,9999.394839,0,0.00191117,699.979871,0.899997871,0.100002052,0,1201.056774,4.99961,8429.849677,5743.604839,47.812,50.59858065,49.274,50.153,50.125,625.4816129,69.49967742,0,79.20000005,1201.111154,4.584957251,28.62803414,8430.025,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-11.63170049,-10.62024794,1.117768704,0,1201.328529,-2.233875047,0.716269471,0,3.567780244,6.92931784,0.714189566,0,0,3,0/3,100,100,4.393,0.137,2,459.556,483.056,37.1797,37.3832,30.0005,37.1297,37.0533,19.8144,0,100,-999.9,400,27.9498,100.061,99.024
30,1564324619,4476.1,20190728 07:36:58,9:36:58,3,6,B1_R3,1564324611,0.003083802,6.613514216,390.6175161,247.1220539,24.98363857,39.4907969,0.086231818,2.274268804,0.08445574,0.052941364,115.6311739,37.53489372,36.57426129,6.159835857,40.16793064,2.628800763,6.544526247,3.531035093,-135.9956739,136.2062888,14.27900889,130.1207977,-0.041840316,0.04696942,3.498703658,31,6,1,0,51518.0804,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2648-20190728-07_37_00,1623.295385,2274.57,0.286328675,0.5,590.0823132,6.613514216,84.47874358,1,0.008797152,-0.999515513,-,0,2274.57,0.286328675,-2063.038113,0.286810696,835.6211372,2648,300,300,300,10579.7,2208.28,-0.00819333,-11.1082,699.9965806,590.0823132,0.842978851,0.195957702,6,0.5,0: Broadleaf,1564324611,390.6175161,399.9985484,26.00240323,22.39832903,500.0367419,100.8983548,0.200022129,37.68514839,36.57426129,999.9,0,0,10000.15871,0,0.00191117,699.9965806,0.899990129,0.1000099,0,1628.35129,4.99961,11367.65806,5743.729355,47.875,50.562,49.375,50.187,50.23780645,625.4903226,69.50612903,0,84,1623.295385,-407.9220513,-2747.552137,11333.80385,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-9.160358293,-4.470532474,0.460070568,0,1642.404412,-389.0663829,38.15572328,0,3.415637805,3.894409338,0.395127635,0,0,3,0/3,100,100,4.393,0.137,2,469.607,482.601,37.1609,37.4361,30.0002,37.2089,37.1391,19.8163,0,100,-999.9,400,27.9498,100.055,99.0117
31,1564324802,4659.1,20190728 07:40:01,9:40:01,1,3,B1_R3,1564324794,0.004025127,9.242295211,386.9914516,267.6410849,27.05869946,39.12510438,0.145872963,2.274022639,0.140866737,0.088477187,115.6279326,37.33191443,34.55282581,5.509996759,41.6175921,2.738998481,6.581347797,2.770998278,-177.5080906,396.6823229,41.20652209,376.008687,-0.041833624,0.046961907,3.498261645,19,4,1,0,51493.09828,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2649-20190728-07_40_03,1594.750385,2633.16,0.394358723,0.5,590.0685563,9.242295211,116.3493412,1,0.013252401,-0.999581491,-,0,2633.16,0.394358723,-2388.437387,0.394932066,967.4221493,2649,300,300,300,10535.2,2525.95,-0.00816011,-17.5608,699.9806452,590.0685563,0.842978389,0.195956777,6,0.5,0: Broadleaf,1564324794,386.9914516,399.9509677,27.0917871,22.39266129,500.0179677,100.9006774,0.20001671,37.78848387,34.55282581,999.9,0,0,9998.329032,0,0.00191117,699.9806452,0.900003194,0.099996777,0,1595.822903,4.99961,11172.8129,5743.619677,47.937,50.542,49.425,50.062,50.258,625.4848387,69.49354839,0,182.3999999,1594.750385,-139.8519658,-956.9538462,11165.78846,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-12.67619268,-5.288358188,0.567071974,0,1601.791765,-140.2248056,13.78043487,0,4.514604146,3.861895192,0.389963665,0,0,3,0/3,100,100,4.393,0.137,2,483.585,481.861,37.2415,37.4468,30.0001,37.2768,37.2142,19.8406,0,100,-999.9,400,27.9498,100.049,99.0094
32,1564324889,4746.1,20190728 07:41:28,9:41:28,2,3,B1_R3,1564324881,0.004839893,11.37781666,384.1128387,265.8819525,26.88100005,38.83429147,0.181907198,2.27502977,0.174195768,0.109537954,115.6319747,36.96602641,34.48977742,5.490725963,42.73017938,2.796838151,6.545346151,2.693887812,-213.4393009,392.199628,40.69039933,335.0827011,-0.041861008,0.046992649,3.500070173,40,8,1,0,51542.19379,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2650-20190728-07_41_30,1238.796154,2476.61,0.499801683,0.5,590.0881469,11.37781666,147.4635245,1,0.016870948,-0.999555037,-,0,2476.61,0.499801683,-2246.377495,0.500574329,909.8816478,2650,300,300,300,10513.1,2254.01,-0.00814459,-48.7158,700.0037419,590.0881469,0.842978561,0.195957121,6,0.5,0: Broadleaf,1564324881,384.1128387,399.9968387,27.66373226,22.01661935,500.008129,100.9012581,0.200000613,37.68745484,34.48977742,999.9,0,0,10004.81645,0,0.00191117,700.0037419,0.900000645,0.099999065,0,1239.306774,4.99961,8689.014194,5743.805161,47.937,50.671,49.437,50.062,50.262,625.5029032,69.5,0,86,1238.796154,-127.982906,-877.6116238,8685.366923,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-15.28056341,-11.71298885,1.223723014,0,1244.698824,-139.4552498,13.71439599,0,5.337741463,6.312055192,0.643994524,0,0,3,0/3,100,100,4.393,0.137,2,457.789,482.407,37.2415,37.4255,29.9999,37.275,37.2077,19.8486,0,100,-999.9,400,27.9498,100.057,99.0213
33,1564324931,4788.6,20190728 07:42:11,9:42:11,3,3,B1_R3,1564324923,0.002471134,5.351602015,392.4017742,238.6069724,24.12387238,39.67298284,0.064647977,2.274184368,0.063644118,0.039866468,115.6308615,37.93307047,36.86540323,6.258706426,37.83889047,2.503245816,6.615537045,3.755460609,-108.9770016,124.883923,13.12357481,144.6613578,-0.04183802,0.046966843,3.498552044,17,3,1,0,51482.51727,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2651-20190728-07_42_13,1631.379615,2446.3,0.33312365,0.5,590.0810022,5.351602015,98.28496857,1,0.006658631,-0.999549524,-,0,2446.3,0.33312365,-2218.872958,0.333645018,898.741101,2651,300,300,300,10493.1,2387.94,-0.00812683,8.16309,699.9950645,590.0810022,0.842978804,0.195957608,6,0.5,0: Broadleaf,1564324923,392.4017742,399.9873226,24.75937097,21.86742581,499.999129,100.9029677,0.199997258,37.88398387,36.86540323,999.9,0,0,9999.152903,0,0.00191117,699.9950645,0.89999271,0.100007174,0,1633.443871,4.99961,11414.76129,5743.722581,48,50.81409677,49.44512903,50.151,50.31606452,625.4896774,69.50483871,0,41.60000014,1631.379615,-512.8482051,-3540.317949,11400.62692,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-6.187566366,-24.35705655,2.561167838,0,1660.059412,-557.9657143,54.85170076,0,2.505470488,6.944069268,0.711363219,0,0,3,0/3,100,100,4.393,0.137,2,486.933,482.692,37.3046,37.4184,29.9999,37.2645,37.2112,19.852,0,100,-999.9,400,27.9498,100.057,99.0219
34,1564325126,4983.1,20190728 07:45:25,9:45:25,1,2,B1_R3,1564325118,0.003917921,7.578665034,389.0624516,250.5948561,25.33522122,39.33434003,0.104272914,2.274350642,0.101688017,0.063781916,115.6301897,37.71418764,37.16512581,6.361927455,39.3665047,2.640067338,6.706379848,3.721860117,-172.780336,119.0027974,12.53798524,74.39063633,-0.041842541,0.046971918,3.498850612,26,5,1,0,51446.14798,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2652-20190728-07_45_27,2077.277308,3117.19,0.333605809,0.5,590.0786232,7.578665034,98.42682828,1,0.010432838,-0.999646476,-,0,3117.19,0.333605809,-2827.666062,0.334015421,1145.329073,2652,300,300,300,10413.3,2863.31,-0.00808286,-933.845,699.9923871,590.0786232,0.84297863,0.195957259,6,0.5,0: Broadleaf,1564325118,389.0624516,399.9855484,26.11334194,21.53480968,500.022,100.9003226,0.20000171,38.13566774,37.16512581,999.9,0,0,10000.49548,0,0.00191117,699.9923871,0.899998516,0.100001687,0,2091.150968,4.99961,14799.22581,5743.70871,48.141,50.937,49.635,50.33232258,50.5,625.4925806,69.50064516,0,194,2077.277308,-1274.649232,-8908.488895,14701.95,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-9.570291951,-26.12712418,2.743078449,0,2145.141471,-1334.572654,131.237226,0,4.349888049,4.675984599,0.476479474,0,0,3,0/3,100,100,4.393,0.137,2,475.266,480.733,37.5081,37.497,30.0005,37.3452,37.2884,19.8633,0,100,-999.9,400,27.9498,100.037,99.001
35,1564325196,5053.1,20190728 07:46:35,9:46:35,2,2,B1_R3,1564325188,0.001960779,3.759852488,394.5465161,260.7533019,26.36328912,39.89036304,0.053231482,2.275064404,0.052549111,0.032903774,115.6324936,38.31498657,36.11470968,6.006533736,35.71656899,2.390663526,6.693429949,3.61587021,-86.4703686,243.4987933,25.5126114,298.1735297,-0.04186195,0.046993706,3.500132372,24,5,1,0,51475.02475,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2653-20190728-07_46_37,1748.235769,2.1168,-824.8861344,0.5,590.0934411,3.759852488,-243379.9488,1,0.003961038,-0.479402872,-,0,2.1168,-824.8861344,-0.920871143,1023.581009,0.372993299,2653,300,300,300,10250.6,2.1168,-0.00791587,1.25492,700.0103871,590.0934411,0.842978121,0.195956243,6,0.5,0: Broadleaf,1564325188,394.5465161,399.9868065,23.64550968,21.34815806,499.9885161,100.9043548,0.199979903,38.09997097,36.11470968,999.9,0,0,10004.73452,0,0.00191117,700.0103871,0.900016161,0.099983839,0,1756.932258,4.99961,12292.65161,5743.883871,48.19512903,50.889,49.687,50.312,50.526,625.5212903,69.49064516,0,69.39999986,1748.235769,-805.5654706,-5592.584619,12232.22692,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-5.222209268,-4.358721533,0.450805032,0,1789.488235,-820.2930592,80.60735051,0,2.189913171,2.199450105,0.224040555,0,0,3,0/3,100,100,4.393,0.137,2,477.408,481.273,37.5104,37.5462,30.0004,37.3843,37.331,19.8613,0,100,-999.9,400,27.9498,100.025,98.9877
36,1564325276,5133.6,20190728 07:47:56,9:47:56,3,2,B1_R3,1564325268,0.006466,12.64116444,381.8696774,258.3470367,26.12006729,38.60877137,0.198437143,2.274043197,0.18929463,0.119095456,115.6286751,36.73107428,36.7057871,6.204332207,43.70046967,2.906365805,6.650651189,3.297966402,-285.150617,156.4151553,16.43319406,3.326407403,-0.041834182,0.046962535,3.498298557,45,9,1,0,51461.8579,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2654-20190728-07_47_58,1752.781923,2965.55,0.40895216,0.5,590.0707292,12.64116444,120.6553495,1,0.019012457,-0.999628399,-,0,2965.55,0.40895216,-2690.061706,0.409479993,1089.59326,2654,300,300,300,10377.9,2857.42,-0.00803792,3.98633,699.983,590.0707292,0.842978657,0.195957314,6,0.5,0: Broadleaf,1564325268,381.8696774,400.0014839,28.74613548,21.21022903,500.0163871,100.9045484,0.200026419,37.98162258,36.7057871,999.9,0,0,9998.079032,0,0.00191117,699.983,0.899998258,0.100001806,0,1755.899677,4.99961,12535.99677,5743.631613,48.25,50.794,49.72967742,50.252,50.562,625.4832258,69.50032258,0,79.79999995,1752.781923,-519.4273497,-3692.697431,12513.82308,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-17.71270732,-7.561567944,0.771690399,0,1781.676176,-564.8875072,55.48664805,0,7.301639512,4.250036655,0.432783019,0,0,3,0/3,100,100,4.393,0.137,2,452.893,480.223,37.4897,37.5633,30.0003,37.4231,37.3569,19.8589,0,100,-999.9,400,27.9498,100.014,98.9817
39,1564326819,6676,20190728 08:13:38,10:13:38,1,5,B3_R1,1564326811,0.008479404,12.07910989,381.6351613,302.6803245,30.59752404,38.57895632,0.324040889,2.274596884,0.300406801,0.189733833,115.6295126,37.11513112,35.57191613,5.829740948,44.1086811,3.102435243,7.033615981,2.727305705,-373.9417353,422.6396114,44.37265601,208.7000448,-0.041849236,0.046979434,3.499292789,52,10,1,0,51308.22204,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2657-20190728-08_13_40,1272.878846,2779.49,0.542045898,0.5,590.075535,12.07910989,159.9240117,1,0.018059789,-0.999603524,-,0,2779.49,0.542045898,-2521.22323,0.542792412,1021.206254,2657,300,300,300,10454.5,2557.72,-0.00809901,-29.8779,699.9887742,590.075535,0.842978569,0.195957137,6,0.5,0: Broadleaf,1564326811,381.6351613,400.0141935,30.69026452,20.82680323,499.9767742,100.8884516,0.200127839,39.01843226,35.57191613,999.9,0,0,10003.27258,0,0.00191117,699.9887742,0.900002194,0.099997865,0,1273.905484,4.99961,8840.695484,5743.683871,46.129,48.887,47.437,48.5,48.69106452,625.4922581,69.49903226,0,767.8999999,1272.878846,-90.68205135,-566.4721371,8834.371154,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-16.02063488,-40.71468606,4.316185189,0,1279.847353,-113.6404057,11.31320917,0,9.516222683,6.277648223,0.640271984,0,0,3,0/3,100,100,4.393,0.137,2,443.42,471.023,38.6592,38.9086,30.0002,38.7579,38.6882,19.9007,0,100,-999.9,400,27.9498,99.7825,98.7807
40,1564326891,6748,20190728 08:14:50,10:14:50,2,5,B3_R1,1564326883,0.009530023,14.25270056,378.5728387,293.1696697,29.6369788,38.27051825,0.350851971,2.274050107,0.323317034,0.204366672,115.6335579,36.6879126,36.3402,6.081335939,46.26110358,3.238944184,7.001441671,2.842391755,-420.2740315,317.9024925,33.49431054,46.75632943,-0.04183437,0.046962746,3.498310965,25,5,1,0,51304.81586,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2658-20190728-08_14_52,1417.270769,2841.91,0.501296392,0.5,590.0995123,14.25270056,147.9073783,1,0.021742486,-0.999612233,-,0,2841.91,0.501296392,-2577.865699,0.501971601,1044.148944,2658,300,300,300,10450.7,2642.76,-0.00809563,-22.1147,700.0176774,590.0995123,0.842978015,0.19595603,6,0.5,0: Broadleaf,1564326883,378.5728387,400.0044839,32.03970968,20.9705871,500.0225161,100.8916129,0.199945548,38.93323548,36.3402,999.9,0,0,9999.405806,0,0.00191117,700.0176774,0.900017645,0.09998249,0,1419.23129,4.99961,9885.574516,5743.947419,46.125,48.897,47.427,48.399,48.687,625.5287097,69.48870968,0,71.4000001,1417.270769,-212.3384617,-1470.6653,9871.723077,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-21.14280976,-4.931759582,0.518643525,0,1431.844706,-239.5593984,23.70648909,0,10.88198537,3.380623693,0.344785222,0,0,3,0/3,100,100,4.393,0.137,2,476.24,471.099,38.6833,38.9086,29.9999,38.7579,38.6919,19.8993,0,100,-999.9,400,27.9498,99.7849,98.786
41,1564326940,6797,20190728 08:15:39,10:15:39,3,5,B3_R1,1564326932,0.009436866,14.54480718,378.2705806,295.4038166,29.86321655,38.24045468,0.368417809,2.274833483,0.33819341,0.213879413,115.631362,36.53088658,35.8595129,5.922842209,46.59709199,3.229666413,6.931047144,2.693175796,-416.1658069,353.9572391,37.16019086,90.5829851,-0.04185567,0.046986657,3.499717671,2,0,1,0,51360.78319,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2659-20190728-08_15_42,1373.494615,2790.37,0.507773301,0.5,590.0882842,14.54480718,149.8155378,1,0.022237922,-0.99960507,-,0,2790.37,0.507773301,-2531.096189,0.508469883,1025.205236,2659,300,300,300,10435.1,2590.87,-0.00808359,-20.667,700.0043548,590.0882842,0.842978019,0.195956038,6,0.5,0: Broadleaf,1564326932,378.2705806,400.0066452,31.94752258,20.98573548,500.0306129,100.8929032,0.199956323,38.74564194,35.8595129,999.9,0,0,10004.36903,0,0.00191117,700.0043548,0.900015774,0.099984365,0,1374.200323,4.99961,9570.415161,5743.833548,46.08232258,48.891,47.375,48.25,48.61280645,625.516129,69.48741935,0,48.39999986,1373.494615,-68.23111117,-460.9835901,9565.400385,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-21.43693171,-5.146994425,0.548150768,0,1378.496765,-82.48858833,8.190812543,0,10.71460878,4.440478955,0.454975299,0,0,3,0/3,100,100,4.393,0.137,2,504.309,470.144,38.6251,38.8855,29.9998,38.7451,38.6854,19.9024,0,100,-999.9,400,27.9498,99.7924,98.7955
42,1564327040,6897,20190728 08:17:19,10:17:19,1,4,B3_R1,1564327032,0.009148979,15.39382929,377.3645484,298.0903199,30.13509599,38.1492324,0.404407245,2.274778878,0.368298282,0.233161403,115.6291131,36.49913273,34.89246129,5.614821451,46.67275028,3.213176162,6.884480007,2.401645289,-403.46996,457.2153751,47.74963585,217.124164,-0.041854185,0.04698499,3.49961961,34,7,1,0,51379.65652,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2660-20190728-08_17_22,1203.596538,2698.4,0.553959184,0.5,590.0757611,15.39382929,163.4389435,1,0.023677229,-0.99959161,-,0,2698.4,0.553959184,-2447.638838,0.554745064,991.4013402,2660,300,300,300,10405,2374.41,-0.00806143,-56.3655,699.9893548,590.0757611,0.842978193,0.195956385,6,0.5,0: Broadleaf,1564327032,377.3645484,399.9801613,31.78409355,21.15426129,499.9996129,100.8937742,0.200068774,38.62063548,34.89246129,999.9,0,0,10003.92774,0,0.00191117,699.9893548,0.900012,0.0999875,0,1204.953226,4.99961,8400.322581,5743.705161,46,48.8506129,47.312,48.23577419,48.5,625.4987097,69.49,0,99.4000001,1203.596538,-110.5596581,-750.4092306,8391.049615,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-22.00995366,-10.51509199,1.108405749,0,1211.98,-136.9270962,13.62834222,0,10.25138585,6.83456007,0.698053772,0,0,3,0/3,100,100,4.393,0.137,2,465.61,469.547,38.5533,38.8559,30.0001,38.7424,38.6807,19.8985,0,100,-999.9,400,27.9498,99.795,98.8012
43,1564327087,6944.5,20190728 08:18:07,10:18:07,2,4,B3_R1,1564327079,0.009166045,10.79502876,382.830129,311.2683458,31.46717557,38.70159959,0.334206552,2.274612817,0.309127974,0.195301137,115.6317401,36.51561138,36.30347419,6.069097967,46.5580369,3.209103038,6.892694048,2.859994928,-404.2225764,286.8614957,30.16852721,28.43918665,-0.04184967,0.04697992,3.499321402,0,0,1,0,51370.68775,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2661-20190728-08_18_09,1201.148077,2521.51,0.523639376,0.5,590.0853181,10.79502876,154.4959539,1,0.015883396,-0.99956296,-,0,2521.51,0.523639376,-2287.121597,0.524434436,926.3848002,2661,300,300,300,10373.4,2140.48,-0.00803632,-96.1567,700.0001613,590.0853181,0.842978832,0.195957663,6,0.5,0: Broadleaf,1564327079,382.830129,399.9950968,31.74394194,21.09379355,499.9974516,100.8933548,0.200045742,38.64273871,36.30347419,999.9,0,0,10002.89,0,0.00191117,700.0001613,0.899992032,0.100007955,0,1202.34871,4.99961,8375.958387,5743.761935,45.9756129,48.83232258,47.25,48.19716129,48.4756129,625.4948387,69.50612903,0,46.70000005,1201.148077,-127.55453,-860.0704278,8367.770769,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-13.90379573,-62.63969247,6.613056879,0,1209.872353,-162.6707523,16.28903855,0,10.38557439,5.31254676,0.546150676,0,0,3,0/3,100,100,4.393,0.137,2,511.477,470.543,38.5256,38.8559,30.0002,38.7317,38.6807,19.9031,0,100,-999.9,400,27.9498,99.7901,98.7957
44,1564327146,7003,20190728 08:19:05,10:19:05,3,4,B3_R1,1564327138,0.005093937,7.150942423,389.036871,272.3719799,27.53541158,39.32963429,0.124318329,2.274973178,0.120663792,0.075734267,115.6306416,38.02459587,38.37825484,6.794961633,39.18745357,2.72815872,6.961816785,4.066802913,-224.6426298,55.14111737,5.861595008,-48.00927574,-0.041859469,0.046990921,3.499968541,35,7,1,0,51351.75463,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2662-20190728-08_19_07,1161.406154,2035.87,0.429528332,0.5,590.0821278,7.150942423,126.7284962,1,0.009707924,-0.999458708,-,0,2035.87,0.429528332,-1846.431942,0.430336362,747.886115,2662,300,300,300,10456.2,1873.33,-0.00809876,-33.1509,699.9967097,590.0821278,0.842978431,0.195956861,6,0.5,0: Broadleaf,1564327138,389.036871,399.9964194,26.98612258,21.03817097,499.9843871,100.894871,0.200005194,38.82784194,38.37825484,999.9,0,0,10005.08194,0,0.00191117,699.9967097,0.900005613,0.099994248,0,1162.127419,4.99961,8059.330323,5743.754194,45.937,48.875,47.19106452,48.25,48.437,625.5012903,69.49645161,0,57.60000014,1161.406154,-178.5989744,-1209.636581,8054.461154,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-10.66478,-5.15716662,0.536353928,0,1170.738824,-184.9647728,18.13465139,0,5.859613902,1.622419024,0.164043038,0,0,3,0/3,100,100,4.393,0.137,2,464.288,470.39,38.5352,38.8446,30,38.7205,38.6733,19.9067,0,100,-999.9,400,27.9498,99.7893,98.7957
45,1564327272,7129.5,20190728 08:21:12,10:21:12,1,2,B3_R1,1564327264,0.009158032,5.436313384,389.1754839,349.6406824,35.34713782,39.34393266,0.385529075,2.274597737,0.352563247,0.223078501,115.6321342,36.44235745,35.19032903,5.70817737,46.58438514,3.19783055,6.864597526,2.51034682,-403.8691906,414.0795365,43.29905061,169.1415307,-0.04184926,0.04697946,3.499294321,70,14,1,0,51382.7319,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2663-20190728-08_21_14,1204.543846,2656.25,0.54652467,0.5,590.0890356,5.436313384,161.2491076,1,0.006802098,-0.999585129,-,0,2656.25,0.54652467,-2409.3902,0.547312324,975.9089598,2663,300,300,300,10424.9,2347.32,-0.00807644,-61.4734,700.0048065,590.0890356,0.842978548,0.195957097,6,0.5,0: Broadleaf,1564327264,389.1754839,399.9764516,31.63174516,20.98924194,499.977129,100.8955484,0.200060903,38.56703871,35.19032903,999.9,0,0,10002.57452,0,0.00191117,700.0048065,0.900001677,0.099997839,0,1205.776129,4.99961,8384.623548,5743.817742,45.82825806,48.687,47.125,48.062,48.32419355,625.5058065,69.5,0,126,1204.543846,-93.45709399,-648.3818801,8376.091154,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-2.186883195,-164.2942698,17.40504871,0,1211.797647,-132.351406,13.41754121,0,10.39315951,5.077237003,0.518398877,0,0,3,0/3,100,100,4.393,0.137,2,421.458,469.399,38.409,38.7919,29.9999,38.6906,38.6223,19.912,0,100,-999.9,400,27.9498,99.7984,98.7965
46,1564327330,7187.5,20190728 08:22:10,10:22:10,2,2,B3_R1,1564327322,0.007766053,9.628620145,384.8583871,318.168961,32.16602641,38.90814805,0.315996558,2.274854551,0.293479997,0.185314144,115.6242541,36.77477121,34.81138065,5.58964059,44.40350865,3.028434197,6.820258778,2.561206393,-342.4829295,445.8830388,46.50709872,265.5314621,-0.041856243,0.0469873,3.499755505,4,1,1,0,51410.79396,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2664-20190728-08_22_12,1674.827692,2384.33,0.297568838,0.5,590.0482819,9.628620145,87.78999083,1,0.013907591,-0.999537816,-,0,2384.33,0.297568838,-2162.638838,0.298046683,875.9638101,2664,300,300,300,10422.8,2375.49,-0.00807133,48.3171,699.9563871,590.0482819,0.842978638,0.195957276,6,0.5,0: Broadleaf,1564327322,384.8583871,400.0000645,29.95563548,20.91509677,499.9756774,100.8972903,0.200020677,38.44702903,34.81138065,999.9,0,0,10004.07097,0,0.00191117,699.9563871,0.899996516,0.100003268,0,1679.553548,4.99961,11760.75484,5743.40871,45.812,48.683,47.125,48,48.302,625.4583871,69.49709677,0,57,1674.827692,-1161.108376,-8089.182905,11727.83846,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-14.05550463,-21.33692843,2.219475988,0,1729.675882,-1283.714446,126.4237464,0,8.660559512,7.708591986,0.788682153,0,0,3,0/3,100,100,4.393,0.137,2,501.829,469.106,38.3353,38.761,29.9998,38.6523,38.599,19.9149,0,100,-999.9,400,27.9498,99.7942,98.7981
47,1564327380,7237,20190728 08:22:59,10:22:59,3,2,B3_R1,1564327372,0.007963557,12.94339214,380.8203871,281.0907075,28.41753477,38.49994433,0.263664494,2.274337941,0.247783995,0.156212028,115.6290602,36.75861388,36.54328065,6.149395245,44.57417981,3.048013683,6.838070147,3.101381562,-351.1928596,239.3474834,25.18576593,28.96944995,-0.041842196,0.04697153,3.498827805,21,4,1,0,51386.27986,MPF-2617-20190728-04_39_41,3.822692308,1.102,-2.720692308,-2.468867793,1.422470141,MPF-2665-20190728-08_23_01,1505.349231,2930.48,0.486313085,0.5,590.077414,12.94339214,143.4811838,1,0.019524425,-0.999623952,-,0,2930.48,0.486313085,-2658.23775,0.486948289,1076.703158,2665,300,300,300,10456.2,2739.23,-0.00809944,-31.6843,699.9915806,590.077414,0.842977873,0.195955747,6,0.5,0: Broadleaf,1564327372,380.8203871,399.9919355,30.14928387,20.88100645,499.9933226,100.8973548,0.200027645,38.49531935,36.54328065,999.9,0,0,10000.7071,0,0.00191117,699.9915806,0.900023387,0.099977019,0,1506.671935,4.99961,10487.12903,5743.740323,45.812,48.70529032,47.06606452,48.062,48.312,625.5093548,69.48290323,0,48.5999999,1505.349231,-222.9381194,-1501.381195,10477.92308,15,1564319063,6:04:23,1,4.393,0.137,400,17,0.12,0.15,-18.29319268,-15.17631429,1.600128537,0,1517.282353,-235.2244147,23.0706901,0,9.010866341,4.670696655,0.475304533,0,0,3,0/3,100,100,4.393,0.137,2,481.21,469.367,38.3209,38.7419,29.9998,38.6347,38.5841,19.9224,0,100,-999.9,400,27.9498,99.8,98.8074
