SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1561986811,0,20190701 08:13:30,6:13:30,1,B1_R2,1,1561986803,0.00025807,-0.484060691,398.7602581,420.7719233,42.55778921,40.33148142,0.027658009,2.275069622,0.027472562,0.017186909,0.001993935,17.54796787,17.04077097,1.949590874,50.0693805,1.013405907,2.024003286,0.936184967,-11.38087267,72.68489144,6.249835629,67.55584833,-0.041862092,0.046993866,3.500141744,71,14,1,0,55100.95469,RECT-342-20190701-08_12_14,722.1261538,3733.78,3011.653846,0.806596491,-0.484060691,-,0,0,#DIV/0!,0.5,0.020992525,-0.484060691,#DIV/0!,#DIV/0!,2.26E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.239777275,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561986803,398.7602581,398.3029032,10.0196171,9.713055484,500.031129,100.9421613,0.200017774,17.63337419,17.04077097,999.9,0,0,10001.02129,0,737.4233548,0.0499911,0,0,0,722.2448387,0.0499911,-26.26580645,-5.957741935,26.75,31.25,29.187,31.437,29.062,0,0,0,1561986733,722.1261538,0.447863247,0.86427355,-26.27076923,15,1561986828,8:13:48,1,-1.267,0.06,398,10,0.34,0.17,1.706116098,0.318458258,0.044622984,1,722.2891429,-3.040156556,1.772225996,0,0.246983439,-0.007173742,0.00100674,1,2,3,3-Feb,1.88662,1.89279,1.89041,1.89064,1.88764,1.89025,1.88354,1.8904,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.267,0.06,2,409.573,594.491,17.2089,17.1439,30.0002,17.1238,17.1149,20.6477,36.9352,94.4134,-999.9,398.289,9.75586,102.849,103.21
2,1561987071,260,20190701 08:17:50,6:17:50,1,B1_R2,2,1561987063,0.000408606,-0.098587549,399.3892581,397.1285023,40.16453353,40.39318043,0.045830531,2.275721995,0.045323884,0.028372481,0.001993935,17.23800853,16.63055161,1.899496901,50.26491421,1.00079287,1.991036662,0.898704031,-18.01950606,91.11893661,7.805556226,80.90698072,-0.041879837,0.047013786,3.501313411,74,15,1,0,55172.6322,RECT-343-20190701-08_16_34,687.4461538,3424.19,2736.743846,0.799238315,-0.098587549,-,0,0,#DIV/0!,0.5,0.020992525,-0.098587549,#DIV/0!,#DIV/0!,-1.13E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.251191267,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561987063,399.3892581,399.4667742,9.89538129,9.409969355,500.0646774,100.9374194,0.199953806,17.37323548,16.63055161,999.9,0,0,10005.73065,0,761.7136452,0.0499911,0,0,0,687.5703226,0.0499911,-23.92870968,-6.12483871,26.69309677,31.062,29.141,31.304,28.97967742,0,0,0,258.8999999,687.4461538,-8.767863185,13.55829052,-24.06076923,15,1561987092,8:18:11,3,-1.225,0.074,400,9,0.38,0.14,-0.097056322,0.120579702,0.070712644,1,687.6897143,-5.075225049,2.299937248,0,0.479170341,0.167962139,0.017908594,0,1,3,3-Jan,1.88667,1.89278,1.8904,1.89064,1.8876,1.89025,1.88353,1.89041,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.225,0.074,2,406.572,595.007,17.0071,17.1155,30.0001,17.12,17.1104,20.6822,38.7544,91.8001,-999.9,399.615,9.36758,102.809,103.208
3,1561987412,601.5,20190701 08:23:32,6:23:32,1,B1_R2,3,1561987404,0.000421695,-0.474176274,399.3830323,410.0359223,41.47348719,40.39599014,0.046024256,2.273995817,0.04551296,0.028491064,0.001993935,17.11874601,16.67054839,1.904330885,49.60641955,0.980538575,1.976636459,0.92379231,-18.59676435,72.07003529,6.176054796,59.65131967,-0.041832894,0.046961089,3.498213485,73,15,1,0,55135.30888,RECT-344-20190701-08_22_15,726.3892308,2892.53,2166.140769,0.748874089,-0.474176274,-,0,0,#DIV/0!,0.5,0.020992525,-0.474176274,#DIV/0!,#DIV/0!,2.93E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.335337962,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561987404,399.3830323,399.0161613,9.694290645,9.193215161,500.0531613,100.946,0.199984871,17.25841613,16.67054839,999.9,0,0,9993.665806,0,697.3895806,0.0499911,0,0,0,726.7058065,0.0499911,-14.13258065,-6.182258065,26.74593548,31.12093548,29.187,31.312,28.98577419,0,0,0,340.7,726.3892308,-14.40752141,1.829401723,-14.26730769,15,1561987431,8:23:50,4,-1.361,0.074,399,9,0.69,0.21,0.60638278,-1.489913519,0.207024907,0,727.0822857,-13.86742359,2.365795651,0,0.505007683,-0.083722495,0.009029178,1,1,3,3-Jan,1.88675,1.89283,1.89041,1.89072,1.88766,1.89026,1.88354,1.89041,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.361,0.074,2,407.368,589.559,16.8548,16.9892,29.9999,17.0129,17.0052,20.6543,38.6639,88.066,-999.9,399.176,9.30348,102.819,103.226
4,1561987711,900,20190701 08:28:30,6:28:30,1,B1_R2,4,1561987703,0.000310181,-0.790136167,401.7750323,432.7046642,43.76485074,40.63654906,0.03442492,2.275262783,0.03413816,0.021361915,0.001993935,17.01966783,16.45428065,1.878321013,49.61416583,0.972284324,1.959690962,0.906036689,-13.67899594,81.94902663,7.00594381,75.27796843,-0.041867346,0.046999763,3.500488648,67,13,1,0,55204.66165,RECT-345-20190701-08_27_14,737.9180769,3973.66,3235.741923,0.814297631,-0.790136167,-,0,0,#DIV/0!,0.5,0.020992525,-0.790136167,#DIV/0!,#DIV/0!,3.16E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.228052204,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561987703,401.7750323,400.9764839,9.613010323,9.244401935,500.042129,100.9425806,0.199963806,17.12235806,16.45428065,999.9,0,0,10002.23484,0,752.6255161,0.0499911,0,0,0,738.4448387,0.0499911,3.716774194,-6.1,26.71748387,31.125,29.179,31.312,28.94106452,0,0,0,297.8999999,737.9180769,-5.750085611,-0.519658064,4.015384615,15,1561987730,8:28:50,6,-1.295,0.075,401,9,0.46,0.14,0.959791976,-3.899175073,0.388730166,0,738.7457143,-6.442291295,2.160793883,0,0.364491537,0.025047868,0.003823495,1,1,3,3-Jan,1.88674,1.89276,1.89041,1.89071,1.88764,1.89026,1.88354,1.89039,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.295,0.075,2,415.338,587.67,16.6977,16.932,30.0003,16.956,16.9528,20.7059,37.9409,85.0728,-999.9,400.414,9.2692,102.817,103.212
5,1561987995,1184.5,20190701 08:33:15,6:33:15,1,B1_R2,5,1561987987,0.000486003,0.050992477,398.4048065,390.9889163,39.54663388,40.29671522,0.052967922,2.275482337,0.052292367,0.032742708,0.001993935,17.13075845,16.70626452,1.908656637,49.57869637,0.982051084,1.980792469,0.926605553,-21.43273065,71.81006251,6.151949306,56.53127511,-0.041873318,0.047006467,3.500882967,69,14,1,0,55180.07674,RECT-346-20190701-08_31_58,692.2680769,3389.31,2697.041923,0.795749555,0.050992477,-,0,0,#DIV/0!,0.5,0.020992525,0.050992477,#DIV/0!,#DIV/0!,-1.58E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.256676795,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561987987,398.4048065,398.6983226,9.709324194,9.131834194,500.0441935,100.9451613,0.199992,17.29162903,16.70626452,999.9,0,0,10003.40581,0,778.4341613,0.0499911,0,0,0,692.2283871,0.0499911,9.216451613,-6.161290323,26.812,31.187,29.25,31.393,29.054,0,0,0,283.6999998,692.2680769,-1.866324756,-9.021880394,9.185769231,15,1561988014,8:33:34,7,-1.333,0.072,399,9,0.5,0.2,-0.35766378,2.168200704,0.221015991,0,692.4205714,0.769549902,2.049334307,1,0.578973634,0.036388787,0.00365091,1,2,3,3-Feb,1.88673,1.89281,1.89041,1.89072,1.88762,1.89026,1.88354,1.89038,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.333,0.072,2,412.929,585.302,16.7805,17.0664,30.0003,17.044,17.032,20.6508,37.9117,81.7149,-999.9,399.087,9.18852,102.776,103.173
6,1561988170,1359.6,20190701 08:36:10,6:36:10,1,B1_R2,6,1561988162,0.000435621,-0.261803194,399.9845806,402.8403281,40.74702443,40.45816752,0.049210646,2.275454796,0.048626957,0.030443713,0.001993935,17.20672288,16.4836129,1.881830332,49.72006558,0.98854899,1.988229458,0.893281342,-19.21087957,106.3950411,9.107256623,96.2934121,-0.041872568,0.047005626,3.500833503,70,14,1,0,55167.95791,RECT-347-20190701-08_34_53,685.2546154,3485.62,2800.365385,0.803405243,-0.261803194,-,0,0,#DIV/0!,0.5,0.020992525,-0.261803194,#DIV/0!,#DIV/0!,6.79E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.244701859,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561988162,399.9845806,399.8795161,9.773165161,9.255575161,500.0445806,100.9493548,0.199963097,17.35090968,16.4836129,999.9,0,0,10002.81129,0,704.3700323,0.0499911,0,0,0,685.2729032,0.0499911,-15.70225806,-5.990967742,26.875,31.312,29.312,31.5,29.147,0,0,0,174.3,685.2546154,-5.004444234,12.15452973,-15.61846154,15,1561988189,8:36:28,8,-1.318,0.074,400,9,0.26,0.15,0.079269744,0.118068159,0.046734217,1,685.442,-1.327514677,2.059621047,0,0.51485639,0.015169902,0.001628213,1,2,3,3-Feb,1.88674,1.89281,1.89042,1.89072,1.88763,1.89026,1.88354,1.89041,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.318,0.074,2,412.048,584.988,16.8875,17.146,30.0001,17.1077,17.094,20.6792,36.3057,79.8589,-999.9,399.88,9.2969,102.76,103.158
7,1561988555,1744.6,20190701 08:42:35,6:42:35,1,B1_R3,1,1561988547,0.000436003,-0.368374766,399.7960323,406.3840625,41.09023133,40.42410361,0.04724394,2.274687773,0.046705518,0.029238812,0.001993935,17.28859665,16.84455806,1.9254875,49.79709488,0.995225587,1.99856154,0.930261913,-19.22774492,72.15565555,6.192663077,59.12256765,-0.041851708,0.046982208,3.499456005,71,14,1,0,55125.18361,RECT-348-20190701-08_41_19,699.145,3478.84,2779.695,0.799029274,-0.368374766,-,0,0,#DIV/0!,0.5,0.020992525,-0.368374766,#DIV/0!,#DIV/0!,3.61E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.251518602,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561988547,399.7960323,399.5631613,9.842821613,9.324776129,500.0083548,100.9118065,0.200011452,17.43294516,16.84455806,999.9,0,0,10001.54806,0,733.1689032,0.0499911,0,0,0,699.1387097,0.0499911,39.26419355,-5.873870968,26.937,31.375,29.375,31.49187097,29.21341935,0,0,0,384.0999999,699.145,-8.561709348,-8.533675209,39.105,15,1561988573,8:42:53,10,-1.24,0.075,400,9,0.31,0.15,0.108155092,1.106205879,0.134202008,0,699.178,-2.471157275,1.920410373,0,0.518086585,-0.015469213,0.002023171,1,1,3,3-Jan,1.88673,1.89279,1.89042,1.89072,1.88765,1.89026,1.88354,1.89041,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.24,0.075,2,410.416,586.19,16.9136,17.2317,30.0004,17.2249,17.2189,20.6674,35.3144,77.1917,-999.9,399.659,9.29808,102.728,103.116
8,1561988803,1992.1,20190701 08:46:42,6:46:42,1,B1_R3,2,1561988795,0.000579275,-0.391471933,399.5822903,403.741637,40.82318059,40.40262015,0.061876098,2.273992515,0.06095574,0.038178888,0.001993935,17.48532354,17.08590323,1.955172368,49.68304958,1.008364488,2.029594592,0.946807881,-25.54602408,72.48121871,6.23813849,53.17532706,-0.041832805,0.046960988,3.498207556,69,14,1,0,55055.02208,RECT-349-20190701-08_45_26,734.4415385,3601.75,2867.308462,0.796087586,-0.391471933,-,0,0,#DIV/0!,0.5,0.020992525,-0.391471933,#DIV/0!,#DIV/0!,-4.51E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.256143191,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561988795,399.5822903,399.3902903,9.972734194,9.284553548,500.0122903,100.912129,0.200010129,17.67712581,17.08590323,999.9,0,0,9996.99871,0,711.9269032,0.0499911,0,0,0,734.0422581,0.0499911,37.21903226,-5.777419355,27.062,31.526,29.508,31.675,29.32622581,0,0,0,246.4000001,734.4415385,-7.410598279,3.449572486,37.13615385,15,1561988821,8:47:01,11,-1.133,0.074,400,9,0.28,0.16,0.036293556,0.833298502,0.096441922,1,734.5674286,-6.415553309,2.188444122,0,0.685241537,0.072519951,0.007249004,1,2,3,3-Feb,1.88675,1.89285,1.89044,1.89072,1.88765,1.89028,1.88354,1.89041,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.133,0.074,2,412.182,582.926,17.1005,17.5018,30.0008,17.4565,17.4487,20.6642,35.2288,74.588,-999.9,399.496,9.29116,102.673,103.06
9,1561988981,2170.1,20190701 08:49:40,6:49:40,1,B1_R3,3,1561988973,0.000437196,-0.19419534,399.9720645,400.6396105,40.51314193,40.44563891,0.046425061,2.274250366,0.045904933,0.028736829,0.001993935,17.61304684,17.13870323,1.961719927,49.64917353,1.012811918,2.039937115,0.948908008,-19.28035185,75.9043066,6.536512469,63.16246115,-0.041839815,0.046968857,3.498670551,75,15,1,0,55048.79773,RECT-350-20190701-08_48_24,679.2638462,3293.02,2613.756154,0.79372617,-0.19419534,-,0,0,#DIV/0!,0.5,0.020992525,-0.19419534,#DIV/0!,#DIV/0!,2.26E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.259880343,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561988973,399.9720645,399.948871,10.01582581,9.496475161,500.029,100.921129,0.200030419,17.75777742,17.13870323,999.9,0,0,9997.782258,0,690.5304839,0.0499911,0,0,0,679.1912903,0.0499911,68.66774194,-5.622258065,27.187,31.683,29.643,31.75,29.5,0,0,0,177.0999999,679.2638462,0.705641115,-17.74632484,68.56307692,15,1561988998,8:49:58,12,-1.153,0.077,400,10,0.55,0.15,0.036022653,0.101606885,0.034246602,1,679.6468571,-6.385831703,2.081705031,0,0.517574829,-0.00014216,0.005267138,1,2,3,3-Feb,1.88675,1.89282,1.89041,1.89072,1.88759,1.89026,1.88353,1.8904,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.153,0.077,2,405.5,583.496,17.2469,17.7409,30.0005,17.6814,17.6665,20.6794,33.3659,73.4722,-999.9,399.952,9.54856,102.627,103.006
10,1561989148,2337.6,20190701 08:52:28,6:52:28,1,B1_R3,4,1561989140,0.00044059,-0.406812413,400.0760645,408.0656241,41.25787902,40.45008668,0.046259348,2.274108733,0.045742872,0.028635218,0.001993935,17.73164851,17.27844839,1.979142226,49.61349447,1.019743276,2.055374827,0.95939895,-19.43002555,73.44438059,6.333548253,60.34989723,-0.041835964,0.046964535,3.498416232,69,14,1,0,55020.94587,RECT-351-20190701-08_51_11,721.0411538,3365.95,2644.908846,0.78578376,-0.406812413,-,0,0,#DIV/0!,0.5,0.020992525,-0.406812413,#DIV/0!,#DIV/0!,1.80E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.272614746,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561989140,400.0760645,399.7994194,10.08588387,9.56252,500.0112903,100.9059677,0.200022516,17.87749677,17.27844839,999.9,0,0,9998.364194,0,703.8688387,0.0499911,0,0,0,721.2677419,0.0499911,38.75064516,-5.810967742,27.39906452,31.87093548,29.78380645,31.96964516,29.641,0,0,0,166.9000001,721.0411538,-13.62632477,1.826324759,38.86923077,15,1561989167,8:52:46,13,-1.156,0.077,400,10,0.36,0.17,0.267302756,0.260374725,0.044365399,1,721.7385714,-11.48580761,1.927549359,0,0.524450585,-0.020669226,0.002380933,1,2,3,3-Feb,1.88675,1.89284,1.89042,1.89072,1.88763,1.89026,1.88354,1.89041,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.156,0.077,2,413.182,582.362,17.388,17.9252,30.0004,17.8787,17.868,20.6686,33.0568,72.3588,-999.9,399.768,9.63003,102.595,102.981
11,1561989387,2576.6,20190701 08:56:27,6:56:27,1,B1_R3,5,1561989379,0.000580583,-0.288840517,399.7534839,401.2744282,40.57404378,40.42025661,0.059978269,2.274311357,0.059113197,0.037022432,0.001993935,17.97249871,17.57198387,2.0161806,49.60268352,1.038094433,2.092819096,0.978086167,-25.60369552,72.66620342,6.284683667,53.3491855,-0.041841473,0.046970719,3.498780069,70,14,1,0,54973.78425,RECT-352-20190701-08_55_11,715.2626923,3547.95,2832.687308,0.798401135,-0.288840517,-,0,0,#DIV/0!,0.5,0.020992525,-0.288840517,#DIV/0!,#DIV/0!,-2.03E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.252503229,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561989379,399.7534839,399.6853871,10.26668065,9.577173871,500.0287419,100.9129677,0.19998871,18.16463226,17.57198387,999.9,0,0,9998.987097,0,785.9055484,0.0499911,0,0,0,715.3074194,0.0499911,34.28483871,-5.555483871,27.562,32.062,30.004,32.258,29.84045161,0,0,0,238.0999999,715.2626923,-5.312478672,18.20000017,34.28807692,15,1561989406,8:56:45,14,-1.104,0.077,400,10,0.44,0.16,-0.031124215,0.81105596,0.101730914,1,715.542,-6.339569472,2.198729243,0,0.686026171,0.094980544,0.009756577,1,2,3,3-Feb,1.88676,1.89285,1.89042,1.89072,1.88766,1.89027,1.88354,1.89041,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.104,0.077,2,411.136,583.493,17.6001,18.1361,30.0004,18.0966,18.0875,20.6722,32.9245,70.7651,-999.9,399.77,9.66954,102.555,102.951
12,1561989651,2840.1,20190701 09:00:50,7:00:50,1,B1_R3,6,1561989643,0.000630067,-0.653118422,400.0199677,410.0786813,41.46294505,40.44591123,0.064142145,2.274666267,0.06315401,0.039558768,0.001993935,18.31074459,17.8859129,2.056463926,49.68920911,1.063287867,2.139876819,0.993176058,-27.78594255,77.65679008,6.738433391,56.61127486,-0.041851123,0.046981552,3.499417385,74,15,1,0,54919.00091,RECT-353-20190701-08_59_34,730.1423077,3414.85,2684.707692,0.786186126,-0.653118422,-,0,0,#DIV/0!,0.5,0.020992525,-0.653118422,#DIV/0!,#DIV/0!,-5.29E-15,#DIV/0!,-,0,0,#DIV/0!,1,0,1.271963428,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561989643,400.0199677,399.5387097,10.51617742,9.768105806,500.0383548,100.9097097,0.200021065,18.51916452,17.8859129,999.9,0,0,10001.61613,0,756.2125484,0.0499911,0,0,0,730.0425806,0.0499911,52.6716129,-5.645483871,27.812,32.312,30.25,32.508,30.133,0,0,0,262.2,730.1423077,-9.496752178,-4.116239389,52.04538462,15,1561989669,9:01:09,15,-1.071,0.079,400,10,0.36,0.09,0.414038634,0.749278808,0.077065654,1,730.1702857,-7.782387476,2.182166009,0,0.744373634,0.024796913,0.003989947,1,2,3,3-Feb,1.88675,1.89284,1.89047,1.89072,1.88766,1.89027,1.88355,1.89041,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.071,0.079,2,406.904,580.396,17.9262,18.3973,30.0002,18.3645,18.3557,20.6667,32.12,69.2514,-999.9,399.61,9.79257,102.505,102.891
13,1561990095,3284,20190701 09:08:14,7:08:14,1,B1_R1,1,1561990087,0.008770115,4.390281078,385.8892258,375.4884936,37.97757885,39.02952754,1.571590021,2.274894416,1.143153709,0.743117497,0.001993935,15.75460573,16.80074839,1.92014165,53.56326326,1.155995862,2.158187892,0.764145788,-386.7620671,227.4466628,19.63787913,-139.6755312,-0.041857327,0.046988517,3.499827096,68,14,1,0,54901.8894,RECT-354-20190701-09_06_58,717.1226923,3206.72,2489.597308,0.776368784,4.390281078,-,0,0,#DIV/0!,0.5,0.020992525,4.390281078,#DIV/0!,#DIV/0!,-3.16E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.288047665,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561990087,385.8892258,395.2179032,11.42945806,1.026510097,500.0434839,100.9417742,0.200017097,18.65527419,16.80074839,999.9,0,0,9999.92129,0,650.2659355,0.0499911,0,0,0,717.1470968,0.0499911,112.1045161,-5.070967742,28.32825806,32.806,30.788,32.96545161,30.562,0,0,0,443.0999999,717.1226923,-6.886495734,-105.317265,111.6173077,15,1561990135,9:08:55,16,-1.04,0.001,399,1,0.6,0.02,-10.59480537,27.76455345,2.759412187,0,717.8628571,-9.996434385,2.294163491,0,10.53527561,-1.54136446,0.155661217,0,0,3,0/3,1.88675,1.89285,1.89048,1.89072,1.88766,1.89028,1.88355,1.89042,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.04,0.001,2,414.173,568.061,18.3888,19.0043,30.0005,18.9523,18.9284,20.5212,97.7264,61.5168,-999.9,399.434,0.789797,102.395,102.778
14,1561990265,3454,20190701 09:11:04,7:11:04,1,B1_R1,2,1561990257,0.000783007,-0.302088193,399.8122258,399.5692232,40.42066569,40.44524798,0.072674873,2.275317561,0.071409503,0.044742793,0.001993935,18.80294671,18.22478065,2.100738181,45.55981003,1.008555699,2.213696016,1.092182482,-34.53062778,102.6718166,8.946996081,77.09017888,-0.041868836,0.047001436,3.500587028,72,14,1,0,54840.34926,RECT-355-20190701-09_09_48,724.2903846,3072.11,2347.819615,0.764236832,-0.302088193,-,0,0,#DIV/0!,0.5,0.020992525,-0.302088193,#DIV/0!,#DIV/0!,-2.03E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.308494903,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561990257,399.8122258,399.8253871,9.969846129,9.039605806,500.0004516,100.9605484,0.200059935,19.06177742,18.22478065,999.9,0,0,10000.81065,0,550.0206129,0.0499911,0,0,0,723.803871,0.0499911,146.9770968,-4.891612903,28.60264516,33.141,31.062,33.286,30.875,0,0,0,169.1000001,724.2903846,3.257777732,9.956239326,146.7692308,15,1561990287,9:11:27,17,-0.939,0.085,400,9,0.31,0.14,-0.200071737,2.097430532,0.212930538,0,724.4277143,-4.630059685,2.004304063,0,0.817544293,0.678652098,0.067000817,0,0,3,0/3,1.88676,1.89285,1.89056,1.89072,1.88766,1.89028,1.8836,1.89044,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.939,0.085,2,409.696,576.767,18.5765,19.197,30.0004,19.154,19.1457,20.6547,32.3064,59.602,-999.9,399.671,9.46409,102.357,102.745
15,1561990530,3719,20190701 09:15:29,7:15:29,1,B1_R1,3,1561990522,0.001333996,-0.112849249,399.3103871,394.0871773,39.86600492,40.39438676,0.131023411,2.275090857,0.126971149,0.079710608,0.001993935,19.11120474,18.87875161,2.188550787,50.09118313,1.143232928,2.282303704,1.045317859,-58.82921165,82.58222136,7.239505212,30.99450886,-0.04186267,0.046994514,3.500179879,68,14,1,0,54740.71135,RECT-356-20190701-09_14_13,742.0423077,2674.67,1932.627692,0.722566781,-0.112849249,-,0,0,#DIV/0!,0.5,0.020992525,-0.112849249,#DIV/0!,#DIV/0!,6.77E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.383955125,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561990522,399.3103871,399.8140645,11.30119355,9.71885871,500.1166452,100.9604516,0.199919032,19.55204194,18.87875161,999.9,0,0,9999.347419,0,573.2156452,0.0499911,0,0,0,742.2954839,0.0499911,199.2458065,-4.529677419,29,33.687,31.44512903,33.69512903,31.266,0,0,0,264.2,742.0423077,-0.740512825,10.88923103,199.3688462,15,1561990560,9:16:00,18,-0.852,0.078,400,10,0.61,0.06,-0.717327537,3.029207415,0.305864987,0,742.1122857,1.805627471,1.261412101,0,1.592562195,-0.068496167,0.006958492,1,1,3,3-Jan,1.88688,1.89285,1.89056,1.89079,1.88766,1.89039,1.88364,1.89051,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.852,0.078,2,413.931,577.173,18.9376,19.5164,30.0006,19.4725,19.4637,20.659,32.981,59.602,-999.9,399.876,9.65116,102.291,102.675
16,1561990734,3923,20190701 09:18:53,7:18:53,1,B1_R1,4,1561990726,0.000683098,-0.749619225,399.9351613,412.2004017,41.70502169,40.46406677,0.062405828,2.275688797,0.061470459,0.038501908,0.001993935,19.75680009,19.44026774,2.266500138,49.53842982,1.161208685,2.3440563,1.105291453,-30.12461877,66.51214904,5.85892985,42.24845406,-0.041878934,0.047012772,3.501253784,81,16,1,0,54681.02976,RECT-357-20190701-09_17_37,628.6096154,2360.64,1732.030385,0.733712207,-0.749619225,-,0,0,#DIV/0!,0.5,0.020992525,-0.749619225,#DIV/0!,#DIV/0!,-4.51E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.36293221,-,-,-,-,-,-,-,-,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1561990726,399.9351613,399.3634839,11.47705161,10.6667871,500.0278065,100.9766129,0.199954419,19.98239677,19.44026774,999.9,0,0,10001.63129,0,546.4758387,0.0499911,0,0,0,628.3474194,0.0499911,144.1587097,-4.358064516,29.375,34.008,31.84451613,34.125,31.687,0,0,0,202.9000001,628.6096154,1.37675223,-16.51008556,143.9384615,15,1561990754,9:19:13,19,-0.862,0.087,399,11,0.27,0.16,0.564264854,0.302559805,0.048770763,1,628.6828571,-0.287436399,1.999743657,1,0.803867683,-0.036433944,0.006642137,1,3,3,3-Mar,1.88689,1.89285,1.89056,1.89086,1.88767,1.89039,1.88368,1.89052,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.862,0.087,2,398.088,576.974,19.3191,19.9135,30.0007,19.8408,19.8241,20.6479,27.5587,59.602,-999.9,399.372,10.7202,102.21,102.605
