Sample,Rep,Set,Concentration_mg_berry,Antho_type,Antho_short_name,treatment
B1R2,3,1st point,0.012958487,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R3,1,Harvest,0.036604346,Delphinidin-3-glucoside,D3G,1
B1R3,2,Harvest,0.034243158,Delphinidin-3-glucoside,D3G,1
B1R3,3,Harvest,0.02866113,Delphinidin-3-glucoside,D3G,1
B1R3,1,1st point,0.021917439,Delphinidin-3-glucoside,D3G,1
B1R3,2,1st point,0.018090257,Delphinidin-3-glucoside,D3G,1
B1R3,3,1st point,0.017511236,Delphinidin-3-glucoside,D3G,1
B1R3,1,Harvest,0.005097358,Cyanindin-3-glucoside,C3G,1
B1R3,2,Harvest,0.005508225,Cyanindin-3-glucoside,C3G,1
B1R3,3,Harvest,0.004848184,Cyanindin-3-glucoside,C3G,1
B1R3,1,1st point,0.006194737,Cyanindin-3-glucoside,C3G,1
B1R3,2,1st point,0.005380795,Cyanindin-3-glucoside,C3G,1
B1R3,3,1st point,0.005322017,Cyanindin-3-glucoside,C3G,1
B1R3,1,Harvest,0.02868637,Petunidin-3-glucoside,Pet3G,1
B1R3,2,Harvest,0.028077765,Petunidin-3-glucoside,Pet3G,1
B1R3,3,Harvest,0.023565239,Petunidin-3-glucoside,Pet3G,1
B1R3,1,1st point,0.015891821,Petunidin-3-glucoside,Pet3G,1
B1R3,2,1st point,0.013732488,Petunidin-3-glucoside,Pet3G,1
B1R3,3,1st point,0.013563579,Petunidin-3-glucoside,Pet3G,1
B1R3,1,Harvest,0.021342835,Peonidin-3-glucoside,Peo3G,1
B1R3,2,Harvest,0.0223524,Peonidin-3-glucoside,Peo3G,1
B1R3,3,Harvest,0.019247513,Peonidin-3-glucoside,Peo3G,1
B1R3,1,1st point,0.015993899,Peonidin-3-glucoside,Peo3G,1
B1R3,2,1st point,0.013930276,Peonidin-3-glucoside,Peo3G,1
B1R3,3,1st point,0.014109878,Peonidin-3-glucoside,Peo3G,1
B1R3,1,Harvest,0.165505139,Malvidin-3-glucoside,M3G,1
B1R3,2,Harvest,0.174268425,Malvidin-3-glucoside,M3G,1
B1R3,3,Harvest,0.149326225,Malvidin-3-glucoside,M3G,1
B1R3,1,1st point,0.069887221,Malvidin-3-glucoside,M3G,1
B1R3,2,1st point,0.061083123,Malvidin-3-glucoside,M3G,1
B1R3,3,1st point,0.065680019,Malvidin-3-glucoside,M3G,1
B1R3,1,Harvest,0.009595618,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R3,2,Harvest,0.009971361,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R3,3,Harvest,0.008216777,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R3,1,1st point,0.008055353,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R3,2,1st point,0.006253766,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R3,3,1st point,0.006271391,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R3,1,Harvest,0.002906528,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R3,2,Harvest,0.002895346,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R3,3,Harvest,0.002653055,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R3,1,1st point,0.002986914,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R3,2,1st point,0.00276768,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R3,3,1st point,0.002805277,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
