Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Total_tannin_mg_l,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,Total_tannin_mg_g_skin,Total_tannin_mg_g_berry_weight,Total_tannin_mg_berry,treatment
11/20/2019,8/20/2019,B1R4,2,0.943,0.335,0.608,1808,44,58,1.32,2383,5.85,47.95,60,17.92,2.19,1.75,1
11/20/2019,8/20/2019,B1R4,3,1.023,0.339,0.684,2045,44,50.5,1.15,2347,6.55,47.79,60,15.77,2.16,1.72,1
11/20/2019,8/20/2019,B2R1,1,1.9,0.661,1.239,3778,59,52,0.88,3329,7.33,64.78,60,26.8,3.03,3.27,2
11/20/2019,8/20/2019,B2R1,2,1.548,0.591,0.957,2897,59,55.5,0.94,2725,9.18,65.09,60,17.52,2.47,2.68,2
11/20/2019,8/20/2019,B2R1,3,1.941,0.652,1.289,3934,59,51,0.86,3400,8.31,65.02,60,24.14,3.09,3.34,2
11/20/2019,8/20/2019,B2R2,1,1.693,0.65,1.043,3166,59,51.5,0.87,2763,9.69,64.57,60,16.82,2.52,2.72,2
11/20/2019,8/20/2019,B2R2,2,1.827,0.638,1.189,3621,58,50.5,0.87,3153,8.69,64.03,60,21.05,2.86,3.05,2
11/20/2019,8/20/2019,B2R2,3,1.408,0.571,0.837,2523,59,52,0.88,2223,7.37,64.48,60,17.8,2.03,2.19,2
11/20/2019,8/20/2019,B3R1,1,1.098,0.437,0.661,1973,52,52,1,1973,8.68,57.45,60,11.82,1.79,1.71,3
11/20/2019,8/20/2019,B3R1,2,0.954,0.398,0.556,1645,52,55.5,1.07,1756,8.47,57.16,60,10.78,1.6,1.52,3
11/20/2019,8/20/2019,B3R1,3,1.209,0.477,0.732,2195,52,51,0.98,2153,9.02,57.34,60,12.41,1.95,1.87,3
11/20/2019,8/20/2019,B3R2,1,1.408,0.496,0.912,2757,56,52.5,0.94,2584,6.99,61.17,60,20.7,2.37,2.41,3
11/20/2019,8/20/2019,B3R2,2,1.227,0.427,0.8,2407,56,54,0.96,2321,6.19,61,60,21,2.13,2.17,3
11/20/2019,8/20/2019,B3R2,3,1.327,0.426,0.901,2722,56,54.5,0.97,2649,7.97,61.05,60,18.62,2.43,2.47,3
