SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1564688915,414.5,20190801 12:48:34,12:48:34,null,,,,1,B2_R1,3,null,null,null,null,1564688907,0.010567789,17.85390452,373.818129,291.6759218,29.49462702,37.80094779,0.455573198,2.278382373,0.410360021,0.260162293,321.436906,35.9586194,34.94326452,5.630649381,49.72764986,3.139452664,6.313293857,2.491196718,-466.0395151,255.6351018,26.45558422,137.488077,-0.04195225,0.047095076,3.506092911,0,0,1,0,51762.90021,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-926-20190801-12_49_34,908.2399615,1172.45,0.225348662,0.5,1681.18619,17.85390452,189.4265291,1,0.010517717,3.091364237,-,0,1172.45,0.225348662,0.755582749,0.620547516,0.894878004,926,300,300,300,10260.3,1096.05,-0.00684795,-5.77673,1999.987742,1681.18619,0.840598247,0.191196494,6,0.5,0: Broadleaf,1564688907,373.818129,399.9829032,31.04642581,18.75899032,500.0081935,101.0212258,0.100000942,37.02443871,34.94326452,999.9,0,0,10014.71613,0,1544.322903,1999.987742,0.980007323,0.019992577,0,909.7006774,4.99938,18868.93226,16307.28387,50.044,51.23780645,50.19919355,50.62093548,51.679,1955.105484,39.88290323,0,168.9000001,908.2399615,-136.0266326,-2695.473506,18839.75385,15,1564688380,12:39:40,45,13.04,0.168,400,17,0.09,0.02,-26.18772683,0.411769338,0.056175939,1,916.8415882,-142.7287151,14.04528161,0,12.32039024,-0.603974216,0.060738547,0,1,3,3-Jan,1.87396,1.87088,1.87042,1.87243,1.86957,1.87912,1.87605,1.87141,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.04,0.168,2,510.377,478.395,35.8573,37.935,30.0009,37.7139,37.7783,19.6904,94.3877,33.8241,-999.9,400,18.8751,99.9807,100.48
5,1564689041,540.4000001,20190801 12:50:40,12:50:40,null,,,,2,B2_R1,3,null,null,null,null,1564689033,0.009585381,16.66485628,375.7100645,281.2396556,28.43800755,37.99053739,0.360719883,2.276530598,0.331711841,0.209731421,321.4361213,36.61449445,36.20271935,6.03563366,50.5082512,3.247826189,6.430288343,2.787807471,-422.7153157,142.1964754,14.84214484,55.75942588,-0.041901838,0.047038484,3.50276586,36,7,1,0,51647.03657,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-927-20190801-12_51_40,890.4508077,1135.36,0.215710605,0.5,1681.180171,16.66485628,181.3241958,1,0.009810485,3.225021139,-,0,1135.36,0.215710605,0.763314794,0.630106198,0.904035488,927,300,300,300,10261.1,1054.47,-0.00684842,-10.0073,1999.980323,1681.180171,0.840598356,0.191196712,6,0.5,0: Broadleaf,1564689033,375.7100645,400.0282903,32.11960323,20.98714516,500.0244839,101.0165806,0.100054158,37.36130968,36.20271935,999.9,0,0,10003.14194,0,1749.239032,1999.980323,0.980005677,0.019994223,0,891.882,4.99938,18604.72903,16307.22258,50,51.312,50.171,50.687,51.687,1955.090323,39.89,0,125.1999998,890.4508077,-155.641265,-3162.810257,18575.66923,15,1564688380,12:39:40,45,13.04,0.168,400,17,0.09,0.02,-24.27424146,-1.138195819,0.117398797,0,898.7038824,-161.8830232,15.97208577,0,11.07545122,1.208287108,0.121350892,0,0,3,0/3,1.87398,1.87088,1.87042,1.87242,1.86959,1.87908,1.87606,1.87145,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.04,0.168,2,451.418,479.927,36.1737,38.1667,30.0006,37.9503,38.0099,19.7121,77.7646,28.0942,-999.9,400,20.4396,99.9482,100.463
6,1564689227,726.9000001,20190801 12:53:47,12:53:47,null,,,,3,B2_R1,3,null,null,null,null,1564689219,0.011255867,20.78793039,369.9958065,265.9831333,26.89744928,37.41569368,0.406499193,2.274414664,0.370028427,0.234271235,321.4365588,36.62944758,36.79272903,6.233898425,49.82841922,3.302844347,6.628434934,2.931054079,-496.3837146,138.211724,14.52010094,-22.21533086,-0.041844282,0.046973872,3.498965574,2,0,1,0,51486.48653,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-928-20190801-12_54_47,800.6227692,1135.03,0.294624134,0.5,1681.184787,20.78793039,247.658806,1,0.012262939,3.226249526,-,0,1135.03,0.294624134,0.763383588,0.861099248,0.904116965,928,300,300,300,10233.5,1026.21,-0.00683074,-8.39233,1999.986129,1681.184787,0.840598224,0.191196447,6,0.5,0: Broadleaf,1564689219,369.9958065,399.9382258,32.66112258,19.59551935,500.0107742,101.0246129,0.100029658,37.9199,36.79272903,999.9,0,0,9988.607419,0,1659.404839,1999.986129,0.980007355,0.019992248,0,800.826871,4.99938,16723.92903,16307.24839,50.139,51.516,50.312,51,51.921,1955.104839,39.88129032,0,185.8,800.6227692,-29.74988035,-585.4735043,16719.61154,15,1564688380,12:39:40,45,13.04,0.168,400,17,0.09,0.02,-29.98582683,0.160193728,0.137287441,1,802.3328529,-28.95081207,2.844547551,0,13.05557317,-0.045802787,0.068946522,1,2,3,3-Feb,1.87405,1.87088,1.87042,1.87248,1.86962,1.87912,1.87607,1.87148,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.04,0.168,2,493.937,478.56,36.6308,38.4371,30.0006,38.2482,38.3133,19.7178,100,35.6257,-999.9,400,19.3456,99.9058,100.429
8,1564689516,1015.9,20190801 12:58:36,12:58:36,null,,,,2,B2_R1,1,null,null,null,null,1564689508,0.011208562,19.97470545,371.029129,269.1742874,27.21783967,37.51699854,0.400938274,2.277443139,0.365454649,0.231334955,321.4389437,37.34774823,37.28726129,6.404411409,50.17641446,3.454348549,6.88440692,2.95006286,-494.2975725,163.6895427,17.27326401,8.104177913,-0.041926676,0.047066366,3.504405267,37,7,1,0,51467.58176,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-930-20190801-12_59_36,850.7966538,1179.35,0.278588499,0.5,1681.189713,19.97470545,234.1800593,1,0.011779183,3.067426972,-,0,1179.35,0.278588499,0.754144326,0.759363788,0.893174401,930,300,300,300,10248.5,1081.38,-0.00684104,-4.22644,1999.990968,1681.189713,0.840598653,0.191197306,6,0.5,0: Broadleaf,1564689508,371.029129,399.9895161,34.16221935,21.17130323,499.994871,101.0160968,0.09994939,38.62043871,37.28726129,999.9,0,0,10009.11935,0,1199.663871,1999.990968,0.979996161,0.020003439,0,850.9969677,4.99938,17728.09355,16307.26129,50.774,52,50.84451613,51.61687097,52.508,1955.080968,39.91,0,160,850.7966538,-48.6554872,-994.4410258,17724.09231,15,1564688380,12:39:40,45,13.04,0.168,400,17,0.09,0.02,-28.87225366,-1.571690592,0.161331546,0,852.9500294,-44.24895655,4.356728066,0,13.06314634,-1.355372822,0.134980843,0,0,3,0/3,1.87406,1.87088,1.87042,1.87255,1.86965,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.04,0.168,2,450.556,478.858,37.3822,38.9605,30.0009,38.729,38.7906,19.7471,93.5882,49.1669,-999.9,400,21.0296,99.821,100.361
9,1564689616,1115.4,20190801 13:00:15,13:00:15,null,,,,3,B2_R1,1,null,null,null,null,1564689608,0.010848325,20.12797178,371.058871,270.1461282,27.31441493,37.51767992,0.405832924,2.275376828,0.369489796,0.23392459,321.4327234,37.06552954,36.84712903,6.252460309,50.844628,3.425928687,6.738034718,2.826531622,-478.4111416,168.7382839,17.75026701,29.51013263,-0.041870448,0.047003246,3.50069347,185,37,1,0,51466.94225,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-931-20190801-13_01_15,1201.285385,1628.32,0.262254726,0.5,1681.162287,20.12797178,220.4463775,1,0.011870542,1.945932004,-,0,1628.32,0.262254726,0.660548852,0.484364353,0.782324159,931,300,300,300,10252.6,1508.41,-0.00684359,-5.74622,1999.959032,1681.162287,0.840598362,0.191196725,6,0.5,0: Broadleaf,1564689608,371.058871,400.0416774,33.88325806,21.30688065,500.0207097,101.0096452,0.100132429,38.22267419,36.84712903,999.9,0,0,9996.334516,0,1532.959677,1999.959032,0.98000571,0.01999409,0,1205.328065,4.99938,25069.65806,16307.03226,50.683,51.925,50.87093548,51.47154839,52.48767742,1955.069032,39.89,0,99,1201.285385,-326.9907692,-6779.353846,24985.09615,15,1564688380,12:39:40,45,13.04,0.168,400,17,0.09,0.02,-28.79950976,-3.626176307,0.379375944,0,1218.555294,-341.5628196,33.49625003,0,12.4469878,2.816910105,0.282422775,0,0,3,0/3,1.87405,1.87088,1.87042,1.87254,1.86966,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.04,0.168,2,287.197,477.088,37.4394,39.1311,30.0007,38.9313,38.9642,19.7428,100,41.7323,-999.9,400,19.8256,99.7921,100.336
10,1564689713,1212.9,20190801 13:01:53,13:01:53,null,,,,1,B2_R1,1,null,null,null,null,1564689705,0.006901928,15.43831778,378.4555806,260.5816301,26.34665065,38.26454291,0.252056353,2.27609034,0.237512481,0.149682031,321.4293534,38.51870648,36.69831613,6.201797257,50.04504598,3.403261429,6.800396247,2.798535828,-304.3750417,207.9581929,21.87144448,246.8839491,-0.041889858,0.047025036,3.501975022,50,10,1,0,51461.60128,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-932-20190801-13_02_53,1132.358462,1335.49,0.152102628,0.5,1681.144905,15.43831778,127.853279,1,0.009081105,2.591880134,-,0,1335.49,0.152102628,0.721594273,0.344987014,0.854623592,932,300,300,300,10233.3,1290.12,-0.00682997,14.1587,1999.938387,1681.144905,0.840598349,0.191196697,6,0.5,0: Broadleaf,1564689705,378.4555806,400.1159032,33.65996774,25.65649032,500.0033871,101.0070645,0.100026697,38.39304839,36.69831613,999.9,0,0,10001.22419,0,805.5027935,1999.938387,0.980005355,0.019994765,0,1134.414516,4.99938,23586.73548,16306.86129,50.548,51.62093548,50.687,51.187,52.266,1955.051935,39.88870968,0,96.60000014,1132.358462,-504.5538461,-10209.95214,23545.57308,15,1564688380,12:39:40,45,13.04,0.168,400,17,0.09,0.02,-21.63519268,-0.036984669,0.08619965,1,1160.565294,-550.8200275,54.11952949,0,7.852904146,2.977574634,0.294400761,0,1,3,3-Jan,1.87403,1.8709,1.87042,1.87255,1.86965,1.87912,1.87607,1.87148,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.04,0.168,2,433.987,480.166,37.4279,39.224,30.0004,39.0207,39.0766,19.7937,58.398,38.2797,-999.9,400,25.2357,99.7783,100.326
11,1564690031,1530.4,20190801 13:07:10,13:07:10,null,,,,1,B1_R2,6,null,null,null,null,1564690023,0.011308524,22.13500274,368.4498065,265.3496628,26.83168799,37.25699193,0.43520538,2.274606203,0.393686209,0.249453301,321.4344103,37.31532057,36.7806129,6.229770789,50.31839847,3.464409689,6.884976061,2.765361099,-498.7059288,225.8031056,23.79950312,72.33109021,-0.04184949,0.046979718,3.499309524,28,6,1,0,51376.4917,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-933-20190801-13_08_10,855.0507308,1228.37,0.303914349,0.5,1681.170493,22.13500274,255.4659181,1,0.013064314,2.905110024,-,0,1228.37,0.303914349,0.743925269,0.775021,0.881071412,933,300,300,300,10289.5,1116.35,-0.00686884,-3.71497,1999.96871,1681.170493,0.840598398,0.191196795,6,0.5,0: Broadleaf,1564690023,368.4498065,400.0115484,34.26098065,21.15576774,500.0033226,101.0182258,0.100003265,38.62197097,36.7806129,999.9,0,0,9990.482258,0,833.2216452,1999.96871,0.980002677,0.019997623,0,856.3496129,4.99938,17793.35161,16307.10968,50.36687097,50.937,50.381,50.75,52.10874194,1955.078387,39.89258065,0,316.8,855.0507308,-142.2353162,-2853.538462,17767.12308,15,1564688380,12:39:40,45,13.04,0.168,400,17,0.09,0.02,-31.56158537,0.165842509,0.034732585,1,862.7619706,-150.9442519,14.87114255,0,13.12282195,-0.373417422,0.038237407,0,1,3,3-Jan,1.87403,1.87088,1.87042,1.87248,1.86964,1.87912,1.87606,1.87148,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.04,0.168,2,461.696,476.523,37.5365,39.2713,30.0001,39.1248,39.1924,19.7824,100,56.9265,-999.9,400,19.8292,99.777,100.326
12,1564690191,1690.9,20190801 13:09:51,13:09:51,null,,,,2,B1_R2,6,null,null,null,null,1564690183,0.012670668,24.50829801,365.0406774,265.5922774,26.85481586,36.9103359,0.506763932,2.276712512,0.451441736,0.286616662,321.440464,37.06108855,37.20615161,6.376170618,52.90475631,3.679336454,6.954642097,2.696834164,-558.7764613,196.7005903,20.7741777,-19.86122928,-0.041906789,0.047044041,3.503092652,15,3,1,0,51413.04427,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-934-20190801-13_10_51,909.4502308,1350.61,0.326637423,0.5,1681.202942,24.50829801,274.5718979,1,0.014475727,2.551669246,-,0,1350.61,0.326637423,0.71844225,0.730482558,0.850890479,934,300,300,300,10228.1,1220.55,-0.0068278,-5.48596,2000.007419,1681.202942,0.840598353,0.191196706,6,0.5,0: Broadleaf,1564690183,365.0406774,399.9999032,36.38838387,21.73732258,500.0157742,101.0129677,0.099971681,38.80870323,37.20615161,999.9,0,0,10004.68161,0,1871.476452,2000.007419,0.980003419,0.019996961,0,910.9042903,4.99938,18933.36129,16307.41935,50.375,51.33435484,50.437,50.93903226,52.19919355,1955.117097,39.89032258,0,160.2,909.4502308,-118.410188,-2347.835897,18904.08462,15,1564690225,13:10:25,46,13.256,0.226,400,22,0.09,0.03,-35.19497317,0.417294774,0.044173516,1,917.0806471,-126.6471501,12.46057129,0,14.60230244,-0.173377003,0.017498188,0,1,3,3-Jan,1.87405,1.87088,1.87042,1.87249,1.86965,1.87912,1.87605,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.256,0.226,2,477.44,477.532,37.7466,39.3436,30.0003,39.1968,39.2666,19.7951,100,48.0154,-999.9,400,12.2547,99.7665,100.323
13,1564690295,1794.9,20190801 13:11:35,13:11:35,null,,,,3,B1_R2,6,null,null,null,null,1564690287,0.011165024,22.43509419,368.1378065,258.1866831,26.10542971,37.22266197,0.409426878,2.276797342,0.372489394,0.235846231,321.4351229,37.5813476,37.3455871,6.424786358,50.8655041,3.543482628,6.966376703,2.88130373,-492.3775365,183.4338538,19.38825279,31.87969296,-0.041909097,0.047046633,3.503245046,0,0,1,0,51410.55383,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-935-20190801-13_12_35,1063.759231,1474.07,0.278352296,0.5,1681.172091,22.43509419,233.9790558,1,0.013242803,2.254200954,-,0,1474.07,0.278352296,0.692704902,0.564086945,0.820408329,935,300,300,300,10203.6,1340.96,-0.00681124,-4.40698,1999.970323,1681.172091,0.840598519,0.191197037,6,0.5,0: Broadleaf,1564690287,368.1378065,399.9922258,35.04558387,22.11710323,500.0002258,101.0107097,0.099964952,38.83999677,37.3455871,999.9,0,0,10005.45645,0,1341.244194,1999.970323,0.979998968,0.020000932,0,1066.368387,4.99938,22090.2871,16307.09032,50.437,51.3506129,50.528,51.062,52.25,1955.07,39.90064516,0,103.2,1063.759231,-434.9052986,-8748.858108,22037.35,15,1564690225,13:10:25,46,13.256,0.226,400,22,0.09,0.03,-31.74125366,-2.059990244,0.20977762,0,1087.751176,-469.9571404,46.14099739,0,12.83569756,1.751170035,0.174914951,0,0,3,0/3,1.87399,1.87088,1.87042,1.87253,1.86963,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.256,0.226,2,507.3,477.451,37.8672,39.3998,30.0004,39.2586,39.3239,19.7997,100,40.5283,-999.9,400,14.7976,99.7641,100.321
14,1564690478,1977.9,20190801 13:14:38,13:14:38,null,,,,1,B1_R2,3,null,null,null,null,1564690470,0.008725595,17.71280519,374.7836774,252.7598355,25.55395193,37.89052979,0.284000596,2.275561606,0.265676487,0.167595531,321.4357511,38.91172338,38.06092581,6.679290189,49.17737779,3.52647186,7.170922931,3.152818329,-384.7987598,161.610819,17.19441024,115.4422206,-0.041875474,0.047008888,3.501025338,52,10,1,0,51282.24983,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-936-20190801-13_15_38,936.6292692,1252.15,0.251983174,0.5,1681.174374,17.71280519,211.813827,1,0.010433862,2.830946772,-,0,1252.15,0.251983174,0.738967921,0.624213526,0.875200154,936,300,300,300,10242.6,1176.02,-0.00683702,3.77441,1999.972903,1681.174374,0.840598576,0.191197151,6,0.5,0: Broadleaf,1564690470,374.7836774,399.9624194,34.88111935,24.7759871,500.0174194,100.9998065,0.099926748,39.37826129,38.06092581,999.9,0,0,9998.508387,0,838.5214839,1999.972903,0.979997968,0.020002119,0,938.5975484,4.99938,19599.44194,16307.11935,50.637,51.35670968,50.625,51.17706452,52.391,1955.069677,39.90451613,0,182.6000001,936.6292692,-141.1106667,-2840.663248,19560.19231,15,1564690225,13:10:25,46,13.256,0.226,400,22,0.09,0.03,-25.1675122,-0.259925436,0.037127724,1,945.2964412,-144.8252171,14.20535611,0,10.17492878,-1.372146272,0.136136001,0,1,3,3-Jan,1.87405,1.87088,1.87042,1.87254,1.86964,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.256,0.226,2,430.792,479.388,37.9908,39.4697,30.0003,39.3252,39.3953,19.8298,77.6815,50.4742,-999.9,400,25.5497,99.749,100.317
15,1564690604,2103.4,20190801 13:16:43,13:16:43,null,,,,2,B1_R2,3,null,null,null,null,1564690596,0.006941408,12.80933541,381.4239355,263.3243655,26.62047666,38.55961811,0.212896734,2.275732459,0.202418493,0.127409999,321.4345133,39.7974261,38.63834516,6.891060633,49.44347245,3.604268101,7.289674293,3.286792532,-306.1161114,128.3737601,13.71530752,157.4074695,-0.041880122,0.047014105,3.501332205,23,5,1,0,51237.32654,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-937-20190801-13_17_43,1212.873846,1355.46,0.105193922,0.5,1681.171035,12.80933541,88.42448754,1,0.007517184,2.538960943,-,0,1355.46,0.105193922,0.717431185,0.234216522,0.849693019,937,300,300,300,10235.5,1350.99,-0.00683138,27.1309,1999.969355,1681.171035,0.840598397,0.191196795,6,0.5,0: Broadleaf,1564690596,381.4239355,399.9720323,35.65269032,27.62008387,500.0067097,100.993871,0.099989494,39.68467742,38.63834516,999.9,0,0,10000.20581,0,1888.305806,1999.969355,0.980003484,0.019997016,0,1216.852258,4.99938,25250.09677,16307.10645,50.937,51.99387097,50.97154839,51.58435484,52.812,1955.079032,39.89258065,0,124.8,1212.873846,-520.2947009,-10521.90086,25170.26154,15,1564690225,13:10:25,46,13.256,0.226,400,22,0.09,0.03,-18.54376585,-0.12035331,0.031417842,1,1242.591471,-575.7207365,56.77169319,0,8.077365366,-1.013222509,0.100333651,0,1,3,3-Jan,1.87404,1.87091,1.87042,1.87253,1.86964,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.256,0.226,2,467.366,481.043,38.2812,39.6337,30.0008,39.4558,39.5262,19.8599,63.7797,54.848,-999.9,400,28.1375,99.7196,100.286
16,1564690718,2217.5,20190801 13:18:37,13:18:37,null,,,,3,B1_R2,3,null,null,null,null,1564690710,0.007581703,15.52679471,377.8942258,240.6816577,24.33062589,38.20151118,0.217857473,2.274962613,0.206895227,0.130248449,321.4390934,39.84802602,39.3515,7.160631716,49.44182295,3.654314783,7.391140871,3.506316932,-334.3531237,72.55645105,7.7907161,67.43313692,-0.041859182,0.046990599,3.499949568,34,7,1,0,51170.39514,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-938-20190801-13_19_38,1053.975,1411.01,0.25303506,0.5,1681.190524,15.52679471,212.7000725,1,0.009133486,2.399635722,-,0,1411.01,0.25303506,0.705850838,0.537436836,0.83597778,938,300,300,300,10302,1286.87,-0.00687651,-16.3425,1999.991935,1681.190524,0.840598651,0.191197303,6,0.5,0: Broadleaf,1564690710,377.8942258,399.9659032,36.14894839,27.37922258,499.9677097,100.9904516,0.10003501,39.94308387,39.3515,999.9,0,0,9995.544194,0,690.4252258,1999.991935,0.979996742,0.020003658,0,1056.301613,4.99938,21922.2,16307.27419,51.292,52.25,51.30406452,52.09248387,53.07622581,1955.086129,39.91,0,113.8,1053.975,-190.5405126,-3803.47008,21874.93462,15,1564690225,13:10:25,46,13.256,0.226,400,22,0.09,0.03,-22.08766829,0.401724042,0.094833017,1,1063.667941,-193.8786979,19.00081992,0,8.838218049,-1.356580976,0.140357164,0,1,3,3-Jan,1.87399,1.87089,1.87042,1.87252,1.86964,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.256,0.226,2,453.761,481.072,38.55,39.848,30.0007,39.6308,39.6948,19.8568,67.2659,56.3235,-999.9,400,27.7979,99.6823,100.255
17,1564690851,2351,20190801 13:20:51,13:20:51,null,,,,1,B1_R2,2,null,null,null,null,1564690843,0.0083769,15.42299233,377.700871,262.2269443,26.50992946,38.18380858,0.264661197,2.27491966,0.248668142,0.156773901,321.4362665,39.49195589,38.66882258,6.902398317,49.98191275,3.674951967,7.352563687,3.22744635,-369.4212906,144.2777556,15.43414817,111.7268797,-0.041858014,0.046989287,3.499872431,24,5,1,0,51185.13604,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-939-20190801-13_21_51,1016.559538,1234.33,0.176428072,0.5,1681.175623,15.42299233,148.3032865,1,0.009071823,2.886254081,-,0,1234.33,0.176428072,0.742682805,0.446571937,0.879599894,939,300,300,300,10221.6,1194.86,-0.00682233,15.9966,1999.974194,1681.175623,0.840598658,0.191197316,6,0.5,0: Broadleaf,1564690843,377.700871,400.0049677,36.35133871,26.66458065,500.0055806,100.9953548,0.100013245,39.84520323,38.66882258,999.9,0,0,9994.78,0,1737.913871,1999.974194,0.97999629,0.02000391,0,1018.489548,4.99938,21257.96452,16307.12581,51.37093548,52.437,51.46348387,52.046,53.19106452,1955.064194,39.91,0,132.5,1016.559538,-320.3124098,-6514.047854,21218.96538,15,1564690225,13:10:25,46,13.256,0.226,400,22,0.09,0.03,-22.33641463,0.610028571,0.065973914,0,1034.8265,-355.3472603,34.93826441,0,9.787879268,-1.769119443,0.181962013,0,0,3,0/3,1.87403,1.8709,1.87042,1.87255,1.86963,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.256,0.226,2,466.473,479.04,38.7419,40.0227,30.0005,39.8034,39.8651,19.8492,76.31,60.2169,-999.9,400,26.8546,99.6555,100.229
18,1564690975,2474.5,20190801 13:22:54,13:22:54,null,,,,2,B1_R2,2,null,null,null,null,1564690967,0.006698268,14.03075883,380.064,239.3732536,24.19976243,38.42308348,0.190424561,2.275952804,0.181995337,0.114473322,321.4376456,40.02278883,39.32460645,7.150302543,49.3781934,3.627833092,7.34703488,3.522469451,-295.3936114,62.15209948,6.666206114,94.8623398,-0.041886116,0.047020835,3.501727979,0,0,1,0,51220.42183,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-940-20190801-13_23_55,985.1416154,1194.8,0.175475715,0.5,1681.185368,14.03075883,147.5036025,1,0.008243645,3.014830934,-,0,1194.8,0.175475715,0.750923509,0.467862949,0.889359812,940,300,300,300,10219.8,1163.04,-0.00682095,16.2111,1999.986129,1681.185368,0.840598514,0.191197028,6,0.5,0: Broadleaf,1564690967,380.064,399.9554194,35.88490645,28.1355871,500.0104516,100.9964194,0.099931468,39.83113871,39.32460645,999.9,0,0,10001.38484,0,1403.448065,1999.986129,0.979999871,0.020000329,0,985.9743226,4.99938,20624.1871,16307.24516,51.34045161,52.18912903,51.46545161,51.879,53.125,1955.085806,39.90064516,0,122.4000001,985.1416154,-201.8724786,-4168.338461,20607.64231,15,1564690225,13:10:25,46,13.256,0.226,400,22,0.09,0.03,-19.8490561,-1.436995819,0.155003512,0,994.3644706,-218.613225,21.48499191,0,7.817429512,-1.370027875,0.140749646,0,0,3,0/3,1.87405,1.8709,1.87042,1.87256,1.86966,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.256,0.226,2,506.092,479.569,38.7665,40.142,30.0004,39.9336,39.9986,19.8642,67.4756,59.5169,-999.9,400,28.6241,99.6344,100.219
19,1564691063,2562.5,20190801 13:24:22,13:24:22,null,,,,3,B1_R2,2,null,null,null,null,1564691055,0.009259787,16.26152198,376.3128387,272.3957332,27.53788583,38.04340056,0.316127535,2.275186286,0.293596053,0.185387897,321.4309157,39.17698551,38.29956129,6.766115755,50.98993171,3.743385554,7.341420999,3.022730201,-408.3566201,186.1101971,19.8688989,119.0533917,-0.041865265,0.046997428,3.500351262,0,0,1,0,51198.27867,MPF-840-20190801-06_06_46,746.6807692,4796.92,4050.239231,0.844341626,0.171663933,MPF-941-20190801-13_25_22,1317.863846,1508.46,0.12635148,0.5,1681.150122,16.26152198,106.2079032,1,0.009570744,2.180011402,-,0,1508.46,0.12635148,0.685535719,0.250198675,0.811917473,941,300,300,300,10219.3,1476.56,-0.00682073,27.4017,1999.944194,1681.150122,0.840598517,0.191197033,6,0.5,0: Broadleaf,1564691055,376.3128387,400.0079677,37.02834194,26.32813226,500.004,100.9951935,0.09995029,39.81684839,38.29956129,999.9,0,0,9996.527419,0,882.3730645,1999.944194,0.979999774,0.020000426,0,1328.944194,4.99938,27554.51613,16306.89677,51.387,52.11280645,51.46741935,51.875,53.133,1955.045161,39.9,0,87.5,1317.863846,-777.5158964,-15763.92476,27330.21538,15,1564690225,13:10:25,46,13.256,0.226,400,22,0.09,0.03,-23.63368049,-1.700956098,0.184749669,0,1361.867353,-854.630371,84.25737748,0,10.60521707,1.519018118,0.182477414,0,0,3,0/3,1.87407,1.87092,1.87045,1.87256,1.86965,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.256,0.226,2,511.571,476.743,38.7769,40.2177,30.0004,40.0185,40.0817,19.8299,81.8501,54.9141,-999.9,400,25.6074,99.6233,100.204
