SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1565973569,3056.5,20190816 11:39:29,11:39:29,1,B3_R3,1,1565973561,0.009853613,20.64654358,398.1455484,265.3728756,26.82917145,40.25247553,0.306589643,2.274308157,0.285340693,0.180124192,280.8577146,40.30805145,39.87206129,7.363131699,50.84982069,4.069265471,8.002516854,3.293866228,-434.544325,192.0064308,20.82270753,59.14252792,-0.041841386,0.046970621,3.498774322,42,8,1,0,50904.48328,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-845-20190815-13_41_55,729.1964615,997.626,0.269068307,0.5,1433.078761,20.64654358,192.7980377,1,0.014277676,-0.997643205,-,0,997.626,0.269068307,-423.3050357,0.269127448,-466.8335667,-,-,-,-,-,-,-,-,1699.992903,1433.078761,0.842991025,0.195982051,6,0.5,0: Broadleaf,1565973561,398.1455484,427.6290645,40.24994516,28.90159355,500.0024194,100.8999032,0.199997774,41.43802258,39.87206129,999.9,0,0,10000.26097,0,1297.743548,1699.992903,0.900005452,0.099994368,0,730.2925484,4.99911,13156.43548,15332.39032,50.683,52.181,51.375,51.97967742,52.125,1525.502258,169.4906452,0,95.89999986,729.1964615,-101.5837949,-1645.736752,13138.47692,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-31.26643171,37.64216237,4.049289882,0,736.0388571,-104.969514,10.63058384,0,11.35280488,-0.076480139,0.022337827,1,1,3,1/3,1.88782,1.89358,1.89148,1.8914,1.88832,1.89117,1.88426,1.89102,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,450.557,313.605,40.6981,40.4605,30.0002,40.268,40.2446,19.772,45.0414,95.2632,-999.9,426.498,28.4528,98.8835,99.5142
26,1565973650,3137.5,20190816 11:40:50,11:40:50,2,B3_R3,1,1565973642,0.011577202,20.53982178,399.1094194,282.1535711,28.52629553,40.35076784,0.360019316,2.274392464,0.331094175,0.209338666,280.8558102,39.60281738,39.31958387,7.148374922,47.91277396,3.804687135,7.940861738,3.343687786,-510.5545932,241.8320633,26.13779329,38.27107357,-0.041843678,0.046973194,3.49892571,32,6,1,0,50930.8786,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-846-20190815-13_43_16,824.019,1122.17,0.265691473,0.5,1433.06703,20.53982178,190.3768449,1,0.014203322,-0.997904774,-,0,1122.17,0.265691473,-476.2754338,0.265743389,-525.2509201,-,-,-,-,-,-,-,-,1699.97871,1433.06703,0.842991163,0.195982326,6,0.5,0: Broadleaf,1565973642,399.1094194,429.3035806,37.63215806,24.26157742,499.972,100.9019677,0.200050613,41.29183871,39.31958387,999.9,0,0,10000.60419,0,1850.695161,1699.97871,0.900000645,0.099999277,0,825.136,4.99911,14745.87742,15332.24516,50.687,52.25,51.375,51.937,52.137,1525.482258,169.4970968,0,80,824.019,-185.7145984,-3218.174361,14727.12308,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-30.28088537,-0.160567944,0.349305643,1,835.0542857,-198.3485401,20.00203529,0,13.19050244,3.007549129,0.329249594,0,1,3,1/3,1.88781,1.89352,1.89148,1.89137,1.88831,1.89117,1.88418,1.89102,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,463.434,308.279,40.6627,40.4538,29.9999,40.2594,40.2352,19.7828,58.6679,87.0141,-999.9,429.852,23.2443,98.8902,99.5239
27,1565973725,3212.5,20190816 11:42:05,11:42:05,3,B3_R3,1,1565973717,0.010059517,20.84565369,395.9419355,260.9724251,26.38378692,40.02893276,0.304424704,2.274290744,0.283463641,0.178927628,280.8513763,40.19775251,40.2593129,7.516976124,51.80253095,4.135994647,7.984155543,3.380981477,-443.624712,139.1981384,15.12066134,-8.45453601,-0.041840912,0.04697009,3.498743056,35,7,1,0,50910.92376,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-847-20190815-13_44_31,1063.843731,1280.96,0.169494964,0.5,1433.043967,20.84565369,121.4468678,1,0.014416965,-0.998164502,-,0,1280.96,0.169494964,-543.8111603,0.169523977,-599.7313571,-,-,-,-,-,-,-,-,1699.95129,1433.043967,0.842991193,0.195982386,6,0.5,0: Broadleaf,1565973717,395.9419355,425.7346774,40.91075161,29.3338129,500.0272581,100.898,0.19998729,41.39459032,40.2593129,999.9,0,0,10000.33645,0,1261.889032,1699.95129,0.899999839,0.100000474,0,1072.016161,4.99911,19405.54839,15331.97419,50.75,52.375,51.44512903,52.07825806,52.23170968,1525.456452,169.496129,0,74.5,1063.843731,-651.4226671,-10750.24958,19271.43846,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-28.4037439,-15.81102857,2.967189532,0,1113.320229,-752.6990187,76.54209233,0,11.60296585,-0.434276655,0.048586511,0,0,3,0/3,1.88779,1.89346,1.89148,1.89133,1.88828,1.89114,1.88416,1.89102,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,459.822,312.996,40.6823,40.4377,29.9998,40.2555,40.2313,19.7088,47.0827,96.0561,-999.9,425.343,28.5499,98.8878,99.521
28,1565974160,3647,20190816 11:49:19,11:49:19,1,B1_R4,6,1565974152,0.004600766,13.73429294,397.2116774,191.0262993,19.30985829,40.15206927,0.120012612,2.273793938,0.116601386,0.073174275,280.8566331,42.00636873,40.96136452,7.802993999,50.60090693,4.04827764,8.0004053,3.754716359,-202.8937867,57.81928579,6.304345352,142.0864775,-0.041827407,0.046954928,3.497851006,28,6,1,0,50888.6666,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-848-20190815-13_51_45,754.4345,949.943,0.20581077,0.5,1433.072827,13.73429294,147.4709107,1,0.009454358,-0.997524904,-,0,949.943,0.20581077,-403.0247533,0.205858278,-444.4678593,-,-,-,-,-,-,-,-,1699.985806,1433.072827,0.842991054,0.195982108,6,0.5,0: Broadleaf,1565974152,397.2116774,415.8830645,40.04832581,34.7492871,500.0733226,100.8847742,0.200041677,41.43303226,40.96136452,999.9,0,0,9998.419032,0,1906.813548,1699.985806,0.900004452,0.099995458,0,755.274,4.99911,13666.42258,15332.32258,50.75,52.018,51.429,51.72967742,52.10467742,1525.494839,169.4916129,0,433.5999999,754.4345,-138.7107351,-2267.210258,13652.54231,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-18.29784146,-4.696189547,0.801154929,0,763.4128571,-158.6509902,16.06523015,0,5.379536585,-1.535823345,0.163669293,0,0,3,0/3,1.88781,1.89352,1.89148,1.89144,1.88829,1.89117,1.88416,1.89102,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,468.082,319.762,40.367,40.473,30.0007,40.3041,40.2945,19.6098,30.9917,99.2484,-999.9,417.117,34.7586,98.8606,99.4849
29,1565974248,3735,20190816 11:50:47,11:50:47,2,B1_R4,6,1565974240,0.003347027,10.23072934,400.3988387,190.213135,19.22611689,40.47099521,0.086954871,2.27388704,0.085148923,0.05337721,280.8531899,42.57984391,40.94385484,7.795747496,50.24621713,4.055557685,8.071369183,3.740189811,-147.6038869,80.45173,8.77799246,222.4790255,-0.041829937,0.046957769,3.498018173,38,8,1,0,50864.42093,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-849-20190815-13_53_13,1113.706538,1314.53,0.152772064,0.5,1433.053944,10.23072934,109.4653046,1,0.007009659,-0.998211376,-,0,1314.53,0.152772064,-558.0889758,0.152797547,-615.4773629,-,-,-,-,-,-,-,-,1699.963226,1433.053944,0.842991144,0.195982287,6,0.5,0: Broadleaf,1565974240,400.3988387,414.2834194,40.12356452,36.26841613,500.0169032,100.8765484,0.200156387,41.60012258,40.94385484,999.9,0,0,9999.839355,0,1657.699032,1699.963226,0.900001194,0.099999068,0,1117.247097,4.99911,19718.2,15332.10645,50.875,52.34248387,51.518,51.98167742,52.28,1525.47,169.4945161,0,87.0999999,1113.706538,-591.5572654,-10149.33676,19657.61154,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-14.80330488,13.40240697,1.770414248,0,1150.145143,-649.8927593,65.62488907,0,3.665453171,3.38714885,0.375208548,0,0,3,0/3,1.8878,1.89348,1.89148,1.89137,1.88828,1.89116,1.88416,1.89102,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,456.482,323.247,40.4723,40.5677,30.0005,40.3907,40.3757,19.5401,27.7295,99.2199,-999.9,414.561,35.9871,98.8443,99.4734
30,1565974344,3831,20190816 11:52:23,11:52:23,3,B1_R4,6,1565974336,0.003299923,9.75039199,399.8930645,186.7776108,18.87816881,40.41838176,0.081845955,2.273889653,0.08024388,0.050293753,280.85884,42.79843497,41.39194839,7.983039823,49.94133231,4.074472684,8.158518196,3.908567139,-145.5265984,50.46315974,5.523105836,191.3185072,-0.041830008,0.046957849,3.498022863,22,4,1,0,50831.55462,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-850-20190815-13_54_49,784.3183077,941.13,0.16662065,0.5,1433.082038,9.75039199,119.3905304,1,0.006674344,-0.997501727,-,0,941.13,0.16662065,-399.2764546,0.166659472,-440.3341223,-,-,-,-,-,-,-,-,1699.996452,1433.082038,0.842991194,0.195982388,6,0.5,0: Broadleaf,1565974336,399.8930645,413.1752903,40.3121871,36.51242258,500.0671613,100.8729677,0.200007387,41.80359032,41.39194839,999.9,0,0,10000.21129,0,1651.926452,1699.996452,0.899999581,0.100000397,0,784.748871,4.99911,14435.60968,15332.4,51.183,52.81409677,51.897,52.393,52.562,1525.496774,169.5006452,0,95.10000014,784.3183077,-121.6084787,-2106.704275,14428.32692,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-13.33856829,0.48995122,0.135228792,1,790.9683714,-137.9078634,14.01129741,0,3.809037561,-0.197081185,0.022370722,0,1,3,1/3,1.88781,1.89355,1.89148,1.89137,1.88832,1.89117,1.88419,1.89102,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,475.573,321.602,40.6232,40.6902,30.0006,40.4976,40.4922,19.4912,26.2801,100,-999.9,413.318,36.6011,98.8242,99.4517
31,1565974615,4102.5,20190816 11:56:55,11:56:55,1,B1_R4,4,1565974607,0.004836899,12.10086078,399.9915806,209.609125,21.18430148,40.42544538,0.116871895,2.273498218,0.113633875,0.071304623,280.8609956,42.84491501,41.92265806,8.209894089,49.68447275,4.171476711,8.395936356,4.038417378,-213.3072248,52.19455493,5.742940203,125.4912659,-0.041819369,0.046945905,3.49732006,39,8,1,0,50731.19196,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-851-20190815-13_59_21,757.3731154,920.782,0.177467505,0.5,1433.096583,12.10086078,127.1640378,1,0.008314409,-0.997446518,-,0,920.782,0.177467505,-390.6221504,0.177509769,-430.7898945,-,-,-,-,-,-,-,-,1700.014194,1433.096583,0.842990952,0.195981903,6,0.5,0: Broadleaf,1565974607,399.9915806,416.834,41.27488387,35.71026774,500.0081935,100.8657419,0.199998774,42.34849677,41.92265806,999.9,0,0,9998.383871,0,696.7962903,1700.014194,0.900008065,0.099991884,0,757.6996129,4.99911,14124.92258,15332.58387,51.562,53.129,52.33232258,52.87093548,53,1525.526774,169.4887097,0,270.7,757.3731154,-55.89261543,-1012.376072,14114.02308,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-16.79487073,-0.781398606,0.126427217,1,760.6664286,-59.55872397,6.014592756,0,5.563066098,0.173583763,0.041743534,0,1,3,1/3,1.88782,1.89357,1.89149,1.89146,1.88837,1.89117,1.88425,1.89103,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,454.65,318.679,41.0698,40.8956,30.0004,40.705,40.689,19.5937,27.1749,99.6277,-999.9,416.623,35.7142,98.79,99.4178
32,1565974662,4149.5,20190816 11:57:42,11:57:42,2,B1_R4,4,1565974654,0.00188154,20.5147617,393.1834516,-281.2087165,-28.42091882,39.73786838,0.049426657,2.274389864,0.048837593,0.030575836,280.8583284,43.81952217,41.66266452,8.098070825,52.90519352,4.445954867,8.403626508,3.652115959,-82.97591871,86.23132824,9.473330598,293.5870685,-0.041843607,0.046973115,3.498921041,23,5,1,0,50756.61353,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-852-20190815-14_00_08,900.0373846,1219.02,0.261671355,0.5,1433.079087,20.5147617,187.4978734,1,0.014185716,-0.998071238,-,0,1219.02,0.261671355,-517.4671657,0.261718423,-570.6784049,-,-,-,-,-,-,-,-,1699.992903,1433.079087,0.842991217,0.195982435,6,0.5,0: Broadleaf,1565974654,393.1834516,418.6894194,43.99017742,41.83160968,499.9900968,100.8669677,0.20002329,42.36592258,41.66266452,999.9,0,0,10004.05742,0,1532.022581,1699.992903,0.899999387,0.100000913,0,903.3178387,4.99911,16073.25484,15332.37097,51.687,53.276,52.425,52.937,53.125,1525.492258,169.5016129,0,46.29999995,900.0373846,-349.4323414,-5522.505976,16021.35769,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-21.09567541,-64.75709122,8.106667386,0,927.8822571,-422.7438557,43.11125099,0,-0.150463685,43.22136285,4.333131733,0,0,3,0/3,1.88783,1.89361,1.89153,1.89147,1.88841,1.89119,1.88428,1.89105,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,474.664,322.213,41.1499,40.9417,30.0005,40.7559,40.7275,19.5529,26.7037,100,-999.9,414.076,35.7874,98.7843,99.4073
33,1565974762,4249.5,20190816 11:59:22,11:59:22,3,B1_R4,4,1565974754,0.003519241,10.43351759,401.2323226,192.2612874,19.43062309,40.54999391,0.089524196,2.273967658,0.087611278,0.054925513,280.8527516,43.0791231,41.59267419,8.068194257,51.20886321,4.256114379,8.311284634,3.812079878,-155.1985452,69.03078539,7.574978141,202.2599699,-0.041832129,0.046960229,3.498162924,41,8,1,0,50777.03017,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-853-20190815-14_01_48,935.4358462,1081.44,0.135009019,0.5,1433.051275,10.43351759,96.73742363,1,0.00715118,-0.997825862,-,0,1081.44,0.135009019,-458.9523647,0.135036394,-506.1465168,-,-,-,-,-,-,-,-,1699.96,1433.051275,0.842991173,0.195982347,6,0.5,0: Broadleaf,1565974754,401.2323226,415.446871,42.11321613,38.06800645,500.0039677,100.8636452,0.199982129,42.15575806,41.59267419,999.9,0,0,10001.64258,0,1258.186452,1699.96,0.90000029,0.099999787,0,941.6678065,4.99911,17113.94194,15332.06452,51.772,53.5,52.562,53.062,53.23983871,1525.464839,169.4958065,0,99.5,935.4358462,-573.1158292,-9958.064961,17004.17692,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-15.1918561,15.97262927,1.787761561,0,981.7010286,-702.5965445,71.74398212,0,3.562576341,8.438592125,0.875858092,0,0,3,0/3,1.88782,1.89361,1.89148,1.89147,1.88835,1.89117,1.88424,1.89103,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,452.361,322.776,41.19,41.011,30.0001,40.8167,40.7928,19.5251,23.7469,100,-999.9,414.013,37.1032,98.7813,99.3988
34,1565974954,4441.5,20190816 12:02:34,12:02:34,1,B1_R4,1,1565974946,0.009610067,18.64842877,399.7007097,248.9867695,25.16309643,40.39454595,0.242754131,2.273658406,0.229219438,0.144415266,280.8501735,41.36987245,41.24596774,7.921600013,46.66865656,3.933062409,8.427631516,3.988537604,-423.8039455,143.9379804,15.79079722,16.77500556,-0.041823723,0.046950793,3.497607664,21,4,1,0,50724.64275,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-854-20190815-14_05_00,840.0158077,1458.24,0.423952293,0.5,1433.036506,18.64842877,303.7695567,1,0.012883775,-0.998387645,-,0,1458.24,0.423952293,-619.2109561,0.42401604,-682.8845271,-,-,-,-,-,-,-,-,1699.942258,1433.036506,0.842991284,0.195982567,6,0.5,0: Broadleaf,1565974946,399.7007097,426.6881613,38.91732903,27.83406452,500.0008065,100.862,0.199982065,42.42022903,41.24596774,999.9,0,0,9999.795806,0,1501.919355,1699.942258,0.899995935,0.10000409,0,841.6985484,4.99911,15225.98065,15331.90645,52,53.667,52.754,53.264,53.48374194,1525.442903,169.5003226,0,191.3000002,840.0158077,-223.2820854,-3886.547008,15196.45,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-27.19983171,3.078062718,0.407065155,0,856.3410857,-251.352,25.39161012,0,11.10669024,-0.471957491,0.046942668,0,0,3,0/3,1.8878,1.89348,1.89148,1.89136,1.88828,1.89115,1.88417,1.89102,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,476.823,308.201,41.3715,41.1788,30.0006,40.9658,40.9551,19.7573,49.9001,94.0553,-999.9,426.613,27.3499,98.7426,99.3635
35,1565975025,4512.5,20190816 12:03:45,12:03:45,2,B1_R4,1,1565975017,0.007330422,15.24230654,397.9630645,227.0563011,22.94768954,40.22056559,0.169962314,2.273882323,0.163206899,0.102588886,280.8562049,42.40998092,42.01646129,8.250565776,46.55508512,3.985994553,8.561888659,4.264571223,-323.2716233,86.43195558,9.529608388,53.54614553,-0.041829809,0.046957625,3.498009702,29,6,1,0,50683.39459,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-855-20190815-14_06_11,869.9444231,685.992,-0.268155347,0.5,1433.07065,15.24230654,-192.142779,1,0.010506668,-0.996572555,-,0,685.992,-0.268155347,-290.7625043,-0.268241072,-320.6616635,-,-,-,-,-,-,-,-,1699.983226,1433.07065,0.842991053,0.195982107,6,0.5,0: Broadleaf,1565975017,397.9630645,419.752871,39.43949032,30.99055161,500.0377742,100.8660645,0.200012161,42.7215129,42.01646129,999.9,0,0,10000.84806,0,700.355871,1699.983226,0.900004065,0.099995913,0,873.0387097,4.99911,15946.20645,15332.28387,52.21545161,53.903,52.931,53.47358065,53.669,1525.492258,169.4912903,0,70.20000005,869.9444231,-337.1660508,-6127.781188,15891.53077,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-20.2461878,-27.17323693,2.820055829,0,894.5793714,-377.3383762,38.2385303,0,8.402750244,0.45405784,0.11946775,0,0,3,0/3,1.8878,1.89347,1.89148,1.89137,1.8883,1.89114,1.88416,1.89102,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,467.234,311.189,41.5231,41.2802,30.0009,41.0697,41.056,19.6323,43.7972,97.2711,-999.9,421.968,30.2806,98.7131,99.3309
36,1565975103,4590.5,20190816 12:05:03,12:05:03,3,B1_R4,1,1565975095,0.009536187,19.90893263,398.0456774,241.2273006,24.3792476,40.22784363,0.246247317,2.273739221,0.232332748,0.146392574,280.8597731,41.68641135,41.13394516,7.874730501,46.38591654,3.969623067,8.55781962,3.905107434,-420.5458399,193.4950214,21.24501383,75.05396842,-0.041825919,0.046953259,3.497752764,23,5,1,0,50680.27644,RECT-775-20190815-08_30_09,0.219230769,2.3512,2.131969231,0.906757924,0.185509279,RECT-856-20190815-14_07_29,753.9502692,1723.01,0.562422581,0.5,1433.083752,19.90893263,402.9993312,1,0.013762924,-0.998635411,-,0,1723.01,0.562422581,-731.8215379,0.562494151,-807.0748748,-,-,-,-,-,-,-,-,1699.998065,1433.083752,0.842991402,0.195982805,6,0.5,0: Broadleaf,1565975095,398.0456774,426.4896129,39.27854839,28.28529677,500.0314516,100.8634516,0.199933613,42.71244194,41.13394516,999.9,0,0,10000.1771,0,1805.09129,1699.998065,0.899992194,0.100007826,0,754.2795161,4.99911,13526.46774,15332.39032,52.312,54.137,53.062,53.60467742,53.85264516,1525.486129,169.5125806,0,77.30000019,753.9502692,-45.55825641,-772.8923078,13521.75,15,1565953093,05:58:12,1,-1.433,0.172,398,13,0.07,0.14,-29.90479024,31.18356167,3.332583219,0,756.9639143,-46.65142074,4.705891932,0,11.06276098,-1.237294077,0.129352392,0,0,3,0/3,1.88782,1.89348,1.89148,1.89135,1.88829,1.89116,1.88417,1.89102,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-1.433,0.172,2,473.454,309.754,41.642,41.3911,30.0005,41.1655,41.1501,19.7189,53.4381,94.3381,-999.9,425.948,27.676,98.6904,99.3115
