SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1566342706,468.0999999,20190820 16:11:45,16:11:45,1,23293,1_1,23509,31,23522,23316,23388,B2_R2,4,2,13,1,,1566342704,0.008390588,16.4365713,374.7205,259.0616118,26.16292219,37.84344279,0.279563426,2.270853627,0.261753874,0.165101653,289.5041058,38.49973794,38.061125,6.679362259,51.07365512,3.606930655,7.062213673,3.072431604,-370.0249415,126.4357208,13.46143358,59.37631866,-0.041747529,0.046865259,3.492573131,0,0,1,0,51174.21992,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2533-20190820-16_09_37,912.9406923,4469.51,0.795740318,0.5,1513.224374,16.4365713,602.066822,1,0.011294319,0.070269448,-,0,4469.51,0.795740318,0.065655848,0.984618302,0.079993378,2533,300,300,300,10306.6,1359.46,-0.00716985,-663.781,1800.0475,1513.224374,0.840658024,0.191316047,6,0.5,0: Broadleaf,1566342704,374.7205,398.203,35.715325,26.01215,500.30525,100.79125,0.1998695,39.093875,38.061125,999.9,9988.585,0,1131.2525,1800.0475,0.9780055,0.02199425,0,903.06275,4.99935,16847.975,15772.95,48.812,49.812,49.25,49.375,50.312,1755.5675,39.4825,0,129,912.9406923,-99.0705641,-1845.100854,17034.37692,15,1566342274,16:04:33,42,2.775,0.405,400,30,0.17,0.02,-23.91744808,1.338382265,0.405515211,0,924.2263636,-102.9987244,13.09357547,0,9.810663654,-0.693098608,0.099809371,0,0,3,0/3,100,100,2.775,0.405,2,495.74,421.458,38.2255,37.9109,29.999,37.8793,37.8102,19.3385,35.8076,0,-999.9,400,25.8943,99.1788,111.893
7,1566342794,556.5,20190820 16:13:14,16:13:14,1,23293,1_1,23509,31,23522,23316,23388,B2_R2,4,3,13,1,,1566342793,0.002228791,6.694201753,390.95175,186.3119572,18.81607238,39.48311496,0.058064329,2.277074879,0.057254152,0.035855695,289.4973483,40.77981206,39.564425,7.242868872,49.11469498,3.52094492,7.168821718,3.721923951,-98.28969494,-23.52420327,-2.519231377,165.1642187,-0.041916651,0.047055113,3.503743644,0,0,1,0,51327.15045,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2535-20190820-16_13_15,875.0903077,1042.94,0.160938973,0.5,1513.1868,6.694201753,121.7653647,1,0.004856287,3.586630103,-,0,1042.94,0.160938973,0.781975006,0.904557514,0.952738016,2535,300,300,300,10377.4,998.113,-0.00709346,691.342,1800.0025,1513.1868,0.840658166,0.191316332,6,0.5,0: Broadleaf,1566342793,390.95175,400.02925,34.8635,32.282525,500.064,100.7925,0.19979625,39.3728,39.564425,999.9,10028.925,0,938.7415,1800.0025,0.977999,0.0220015,0,861.92125,4.99935,16214.65,15772.525,49.031,50.125,49.3905,49.6715,50.562,1755.5125,39.49,0,217.0999999,875.0903077,-124.5418118,-2361.917946,16470.12692,15,1566342835,16:13:54,43,3.074,0.405,400,30,0.3,0.02,-9.296888846,-1.831658265,0.299356234,0,888.4696591,-133.0496797,16.90867282,0,2.284749038,0.999483013,0.167325872,0,0,3,0/3,100,100,3.074,0.405,2,494.255,411.503,38.1575,37.7012,29.9994,37.6469,37.5814,19.748,17.4864,0,-999.9,400,32.4831,99.2299,111.939
8,1566342875,637.0999999,20190820 16:14:34,16:14:34,1,23293,1_1,23509,31,23522,23316,23388,B2_R2,1,1,13,1,,1566342873,0.007692492,10.96475888,383.442,291.4245296,29.43186032,38.72498791,0.247986339,2.271386746,0.23386687,0.147368337,289.4911271,38.76149195,38.36485,6.790040435,51.4410935,3.6396441,7.075363008,3.150396335,-339.2389046,93.5097011,9.969718108,53.73164167,-0.041762005,0.046881509,3.493529874,0,0,1,0,51185.60456,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2536-20190820-16_14_36,875.7894615,1020.82,0.142072587,0.5,1513.1514,10.96475888,107.4886671,1,0.007678694,3.686017123,-,0,1020.82,0.142072587,0.786599158,0.88736257,0.958371963,2536,300,300,300,10396.5,1007.55,-0.00709327,10.413,1799.96,1513.1514,0.840658348,0.191316696,6,0.5,0: Broadleaf,1566342873,383.442,400.132,36.03855,27.1441,500.2175,100.793,0.20007825,39.128475,38.36485,999.9,9991.875,0,644.1565,1799.96,0.977995,0.022005125,0,861.56825,4.99935,16125.225,15772.1,49.125,50.187,49.562,49.70275,50.687,1755.46,39.5,0,79.9000001,875.7894615,-145.560342,-3071.54872,16412.08462,15,1566342835,16:13:54,43,3.074,0.405,400,30,0.3,0.02,-16.6982,0.987746258,0.220027651,0,891.87125,-160.529588,20.41922573,0,8.617369231,2.802636888,0.409432077,0,0,3,0/3,100,100,3.074,0.405,2,495.637,412.159,38.0669,37.5352,29.9994,37.4605,37.3827,19.4302,30.0344,0,-999.9,400,26.8969,99.2611,111.969
9,1566342946,708.0999999,20190820 16:15:45,16:15:45,1,23293,1_1,23509,31,23522,23316,23388,B2_R2,1,2,13,1,,1566342944,0.009244763,17.53490803,374.86525,266.6287395,26.92670675,37.85745932,0.323436519,2.274435703,0.299885537,0.189401319,289.5093182,38.08903606,37.69105,6.546624346,51.19568594,3.589593999,7.011516564,2.957030346,-407.6940392,155.5917282,16.49946776,53.90647503,-0.041844854,0.046974514,3.499003353,0,0,1,0,51310.62505,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2537-20190820-16_15_47,895.9150769,1288.4,0.304629714,0.5,1513.2498,17.53490803,230.4904267,1,0.012019942,2.712806582,-,0,1288.4,0.304629714,0.730661973,0.910595618,0.890219551,2537,300,300,300,10314.8,1162.33,-0.00703857,-14.0476,1800.0775,1513.2498,0.840658139,0.191316277,6,0.5,0: Broadleaf,1566342944,374.86525,400.05225,35.544225,24.850575,500.26875,100.78975,0.19976375,38.95995,37.69105,999.9,10012.02,0,1018.795,1800.0775,0.978,0.0219996,0,885.863,4.99935,16741.2,15773.175,49.25,50.25,49.625,49.75,50.75,1755.5875,39.49,0,70.20000005,895.9150769,-95.88294003,-1527.962391,16845.53462,15,1566342835,16:13:54,43,3.074,0.405,400,30,0.3,0.02,-23.02984423,-19.82336843,2.893445165,0,907.6016364,-116.954366,14.9569299,0,10.08047519,5.178924378,0.695710112,0,0,3,0/3,100,100,3.074,0.405,2,499.363,419.209,37.9715,37.3977,29.9995,37.3073,37.2268,19.5445,35.3846,0,-999.9,400,24.5875,99.2882,112.004
10,1566343026,788.5999999,20190820 16:17:06,16:17:06,1,23293,1_1,23509,31,23522,23316,23388,B2_R2,1,3,13,1,,1566343025,0.007954415,16.23501031,377.0675,251.6646456,25.41500523,38.07913687,0.251593362,2.270770281,0.237069373,0.149403364,289.4979835,38.65954104,38.23305,6.741818303,49.87426095,3.525623085,7.069023217,3.216195217,-350.7896803,107.5781281,11.46457586,57.75100711,-0.041745267,0.046862719,3.492423565,0,0,1,0,51168.53749,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2538-20190820-16_17_07,959.2082692,285.561,-2.359031062,0.5,1513.1928,16.23501031,-1784.83441,1,0.011161352,15.75151719,-,0,285.561,-2.359031062,0.940303915,1.178077799,1.145641842,2538,300,300,300,10561.3,3.426,-0.00684203,-56.4908,1800.01,1513.1928,0.840657997,0.191315993,6,0.5,0: Broadleaf,1566343025,377.0675,400.136,34.91145,25.704475,500.276,100.78725,0.20033675,39.1118,38.23305,999.9,9988.44,0,548.74425,1800.01,0.978004,0.0219962,0,944.29325,4.99935,17861,15772.625,49.375,50.375,49.687,50,50.812,1755.53,39.48,0,80,959.2082692,-150.3435557,-3086.991454,18043.42692,15,1566342835,16:13:54,43,3.074,0.405,400,30,0.3,0.02,-23.28495385,1.24834703,0.170837904,0,975.1861136,-159.4828157,20.30059968,0,8.881140385,2.423086915,0.321307048,0,0,3,0/3,100,100,3.074,0.405,2,496.323,405.423,37.8816,37.2903,29.9998,37.1824,37.1085,19.6082,31.5683,0,-999.9,400,25.7451,99.3096,112.041
11,1566343266,1028.6,20190820 16:21:06,16:21:06,1,23293,1_1,23509,31,23522,23316,23388,B3_R2,6,1,13,1,,1566343265,0.010074506,19.2838337,371.27875,265.4504083,26.80694476,37.49419337,0.365938851,2.272372348,0.336072699,0.212525294,289.5002817,37.3599018,37.175125,6.365396384,50.95751362,3.485758369,6.840518937,2.879638015,-444.2857006,162.5468603,17.17184051,24.93328183,-0.041788775,0.046911561,3.495298893,0,0,1,0,51319.96106,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2539-20190820-16_21_07,856.8963846,1104.64,0.224275434,0.5,1513.201575,19.2838337,169.68697,1,0.013176104,3.330442497,-,0,1104.64,0.224275434,0.769076717,1.001955898,0.937023076,2539,300,300,300,10315.6,1104.64,-0.00696622,-57.4232,1800.02,1513.201575,0.840658201,0.191316403,6,0.5,0: Broadleaf,1566343265,371.27875,398.90075,34.517025,22.847925,500.12925,100.78675,0.19988975,38.50195,37.175125,999.9,9998.9,0,1806.86,1800.02,0.977997,0.0220031,0,845.13375,4.99935,15775.5,15772.7,49.156,50.187,49.562,49.562,50.625,1755.5275,39.4925,0,239.3999999,856.8963846,-115.5924103,-2067.271795,15983.74231,15,1566342835,16:13:54,43,3.074,0.405,400,30,0.3,0.02,-26.18251923,-11.38592641,1.478235239,0,872.24,-141.260238,18.00667196,0,11.63691154,-0.008002391,0.020726039,1,1,3,3-Jan,100,100,3.074,0.405,2,496.115,404.878,37.5369,36.9353,29.9993,36.798,36.7118,19.4236,40.7733,25.7854,-999.9,400,22.6748,99.3877,112.089
12,1566343356,1118.1,20190820 16:22:35,16:22:35,1,23293,1_1,23509,31,23522,23316,23388,B3_R2,6,2,13,1,,1566343354,0.009272425,14.84493671,377.09125,284.4978899,28.73228651,38.08356483,0.330845876,2.272253114,0.306225735,0.193450205,289.4979835,37.31380035,37.031475,6.315718515,50.60703207,3.404849175,6.728015922,2.91086934,-408.9139385,142.5552398,15.02794016,38.16722498,-0.041785536,0.046907925,3.495084868,0,0,1,0,51366.86288,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2540-20190820-16_22_37,970.5901154,1202.42,0.192802752,0.5,1513.1928,14.84493671,145.8738678,1,0.010242716,2.978293774,-,0,1202.42,0.192802752,0.748635959,0.671892779,0.912118588,2540,300,300,300,10329.4,1165.6,-0.00704753,5.25427,1800.01,1513.1928,0.840657997,0.191315993,6,0.5,0: Broadleaf,1566343354,377.09125,399.1,33.713725,22.96245,500.0235,100.793,0.19996875,38.195175,37.031475,999.9,9997.505,0,53.1961,1800.01,0.97800525,0.021994575,0,959.07825,4.99935,17726.9,15772.65,49,49.937,49.437,49.35925,50.375,1755.53,39.48,0,89.20000005,970.5901154,-115.4244444,-2520.813673,17953.91538,15,1566342835,16:13:54,43,3.074,0.405,400,30,0.3,0.02,-21.85548462,-2.955377785,0.57109567,0,982.0423409,-115.3591416,14.64953987,0,11.18593077,-3.443521557,0.462424528,0,0,3,0/3,100,100,3.074,0.405,2,499.35,402.085,37.343,36.7443,29.9993,36.6174,36.5321,19.4225,38.6644,24.2086,-999.9,400,22.9249,99.4254,112.102
13,1566343450,1212.6,20190820 16:24:10,16:24:10,1,23293,1_1,23509,31,23522,23316,23388,B3_R2,6,3,13,1,,1566343449,0.00815464,16.91585284,375.3935,267.1737301,26.98050193,37.90906032,0.307328862,2.271625567,0.285957815,0.180519744,289.4891321,37.26661137,36.3731,6.092317249,50.86868854,3.347130586,6.579942756,2.745186663,-359.6196441,172.8572858,18.13346206,120.8602359,-0.041768491,0.04688879,3.493958495,0,0,1,0,51414.43883,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2541-20190820-16_24_11,1125.421538,1500.08,0.249758987,0.5,1513.1409,16.91585284,188.9602694,1,0.011611688,2.18888326,-,0,1500.08,0.249758987,0.686410596,0.582944549,0.836304824,2541,300,300,300,10397.5,1428.05,-0.00709517,6.34912,1799.9475,1513.1409,0.840658353,0.191316706,6,0.5,0: Broadleaf,1566343449,375.3935,399.3645,33.144875,23.684225,500.0305,100.785,0.19986075,37.78455,36.3731,999.9,9994.22,0,1262.715,1799.9475,0.977995,0.022005125,0,1101.55,4.99935,20211.775,15772.025,48.875,49.75,49.312,49.1405,50.25,1755.4475,39.5,0,93.60000014,1125.421538,-218.9278632,-3948.218803,20656.81538,15,1566343485,16:24:44,44,3.354,0.367,397,24,0.04,0.03,-23.95145,-4.952182703,0.772783013,0,1149.059318,-236.5551277,30.05254863,0,9.862712692,-3.16912849,0.435116741,0,0,3,0/3,100,100,3.354,0.367,2,487.314,433.239,37.0343,36.5514,29.9994,36.431,36.347,19.3788,36.5005,24.7603,-999.9,400,23.5626,99.4675,112.127
14,1566343533,1295.1,20190820 16:25:32,16:25:32,1,23293,1_1,23509,31,23522,23316,23388,B3_R2,4,1,13,1,,1566343531,0.007244392,15.30444521,378.41,260.7670372,26.33209465,38.21160851,0.252233695,2.273126099,0.237652171,0.149772406,289.4816153,37.53889582,36.7859,6.231571667,50.19801341,3.298655654,6.571287248,2.932916014,-319.4776746,119.4115256,12.54201661,101.9574829,-0.041809255,0.046934552,3.496651985,0,0,1,0,51466.46762,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2542-20190820-16_25_34,842.1236538,817.987,-0.029507381,0.5,1513.106695,15.30444521,-22.32390768,1,0.010546984,4.847990249,-,0,817.987,-0.029507381,0.829001083,0.612714285,1.010033366,2542,300,300,300,10218.7,817.987,-0.00694038,2.01982,1799.9075,1513.106695,0.840658031,0.191316063,6,0.5,0: Broadleaf,1566343531,378.41,400.05925,32.666625,24.25955,500.13175,100.7795,0.1998835,37.7603,36.7859,999.9,10004.52,0,1217.7025,1799.9075,0.978007,0.021993,0,836.483,4.99935,15517.775,15771.75,48.75,49.625,49.187,49.125,50.125,1755.435,39.48,0,81.60000014,842.1236538,-51.53213675,-861.7299142,15605.56154,15,1566343485,16:24:44,44,3.354,0.367,397,24,0.04,0.03,-21.69572692,0.229605396,0.054239767,1,847.3929091,-57.7399032,7.347937125,0,8.175028462,2.049672535,0.281924888,0,1,3,3-Jan,100,100,3.354,0.367,2,482.292,434.158,36.7837,36.4052,29.9993,36.291,36.2069,19.5123,33.4732,22.6119,-999.9,400,24.3404,99.4975,112.159
15,1566343619,1381.1,20190820 16:26:58,16:26:58,1,23293,1_1,23509,31,23522,23316,23388,B3_R2,4,2,13,1,,1566343617,0.006821315,14.93353544,378.56825,251.6987493,25.41516354,38.22575206,0.225556034,2.277306469,0.213839136,0.134651436,289.4932725,37.88147573,37.133575,6.350992577,49.41801146,3.283646358,6.644634742,3.067346219,-300.8200039,102.0682866,10.72933449,101.4708897,-0.041922955,0.04706219,3.504159717,0,0,1,0,51566.58473,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2543-20190820-16_27_00,872.9929615,1167.43,0.252209587,0.5,1513.160094,14.93353544,190.8167414,1,0.01030149,3.097530473,-,0,1167.43,0.252209587,0.755950564,0.94964373,0.921030513,2543,300,300,300,10300.7,1093.56,-0.00702799,-4.68652,1799.97,1513.160094,0.840658508,0.191317015,6,0.5,0: Broadleaf,1566343617,378.56825,399.586,32.51955,24.60065,500.03075,100.77475,0.1997825,37.964925,37.133575,999.9,10032.2,0,1615.6675,1799.97,0.977991,0.022009,0,867.034,4.99935,16212.65,15772.2,48.687,49.625,49.062,49.187,50.062,1755.47,39.51,0,85.39999986,872.9929615,-55.75784616,-972.369231,16327.26154,15,1566343485,16:24:44,44,3.354,0.367,397,24,0.04,0.03,-20.998375,-2.162297447,0.422534757,0,878.6996364,-57.13831517,7.265052684,0,8.061325962,-1.262232647,0.192094191,0,0,3,0/3,100,100,3.354,0.367,2,497.196,432.948,36.7193,36.2546,29.9995,36.1366,36.0569,19.5109,30.4113,21.1036,-999.9,400,24.8538,99.5405,112.201
16,1566343701,1463.6,20190820 16:28:21,16:28:21,1,23293,1_1,23509,31,23522,23316,23388,B3_R2,4,3,13,1,,1566343700,0.006918573,13.82483099,380.37575,269.2145684,27.18580993,38.41108192,0.243064616,2.270811023,0.229480325,0.144582395,289.4922794,37.68572893,36.75805,6.222090543,50.43327544,3.321462693,6.585855595,2.900627851,-305.1090559,127.6943155,13.42649237,125.5040314,-0.041746373,0.046863961,3.492496677,0,0,1,0,51385.52129,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2544-20190820-16_28_22,1228.272692,1394.2,0.119012558,0.5,1513.16145,13.82483099,90.04260708,1,0.009568773,2.431057237,-,0,1394.2,0.119012558,0.708544646,0.309093006,0.863272375,2544,300,300,300,10435.4,1377.74,-0.0071207,23.8827,1799.9725,1513.16145,0.840658094,0.191316187,6,0.5,0: Broadleaf,1566343700,380.37575,400.124,32.89165,24.86225,499.98825,100.782,0.199942,37.8011,36.75805,999.9,9989.225,0,51.22445,1799.9725,0.9780015,0.0219986,0,1150.2825,4.99935,20947.575,15772.275,48.687,49.5935,49.062,49.281,50.062,1755.4875,39.485,0,81.79999995,1228.272692,-790.9644449,-15032.34873,22385.70769,15,1566343485,16:24:44,44,3.354,0.367,397,24,0.04,0.03,-19.23404231,-3.884544352,0.556737066,0,1331.488182,-949.2521695,121.1385124,0,7.475461731,4.003567848,0.532699886,0,0,3,0/3,100,100,3.354,0.367,2,496.751,431.734,36.6528,36.1361,29.9995,36.0126,35.931,19.5586,29.4536,18.0422,-999.9,400,24.701,99.5568,112.213
17,1566343814,1576.1,20190820 16:30:13,16:30:13,1,23293,1_1,23509,31,23522,23316,23388,B3_R2,1,1,13,1,,1566343812,0.00742916,12.44775438,381.81,286.3843161,28.91851791,38.55441343,0.264129599,2.269204485,0.248161131,0.156454897,289.4913571,37.41766876,36.7431,6.217006203,50.94998076,3.337053065,6.549665015,2.879953139,-327.6259401,117.0156774,12.30545589,91.18655033,-0.04170277,0.046815013,3.489614139,0,0,1,0,51350.70562,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2545-20190820-16_30_15,884.6735,1069.26,0.172630137,0.5,1513.155297,12.44775438,130.6081029,1,0.008658742,3.473729495,-,0,1069.26,0.172630137,0.776472851,0.871184161,0.946034333,2545,300,300,300,10340.2,1037.5,-0.00705469,187.967,1799.965,1513.155297,0.840658178,0.191316356,6,0.5,0: Broadleaf,1566343812,381.81,400.153,33.047325,24.426075,499.94925,100.77775,0.2002585,37.6996,36.7431,999.9,9979.2125,0,1040.12025,1799.965,0.97800175,0.02199855,0,884.4635,4.99935,16371.575,15772.2,48.562,49.562,49,49.062,50,1755.48,39.49,0,112,884.6735,-2.533982929,-40.59829075,16370.69615,15,1566343485,16:24:44,44,3.354,0.367,397,24,0.04,0.03,-18.14256538,-5.469826005,0.840333855,0,885.1410909,-4.369932879,0.633722653,0,8.831587115,-1.3768662,0.179565989,0,0,3,0/3,100,100,3.354,0.367,2,494.835,425.048,36.513,35.9478,29.9996,35.8241,35.7438,19.2659,32.8467,24.9887,-999.9,400,24.122,99.598,112.29
18,1566343929,1691.6,20190820 16:32:09,16:32:09,1,23293,1_1,23509,31,23522,23316,23388,B3_R2,1,2,13,1,,1566343928,0.008545646,18.71054057,373.631,259.2177576,26.17477404,37.72776638,0.319399489,2.271488226,0.296382831,0.187168819,289.4987815,36.81100391,36.141975,6.01553581,50.08730277,3.237477582,6.46366924,2.778058228,-376.863008,160.9712305,16.84193027,90.44893424,-0.041764761,0.046884603,3.493712001,0,0,1,0,51464.17909,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2546-20190820-16_32_10,992.1251923,1316.27,0.24626012,0.5,1513.197,18.71054057,186.3200372,1,0.012797282,2.634193593,-,0,1316.27,0.24626012,0.724835792,0.70636712,0.883121084,2546,300,300,300,10293.3,1241.6,-0.00702349,6.8125,1800.015,1513.197,0.840657995,0.19131599,6,0.5,0: Broadleaf,1566343928,373.631,399.903,32.06185,22.14045,500.23125,100.776,0.20000675,37.45645,36.141975,999.9,9994.22,0,1618.4725,1800.015,0.978008,0.0219917,0,969.40575,4.99935,18040.075,15772.7,48.437,49.562,48.875,48.937,49.812,1755.535,39.48,0,114.5999999,992.1251923,-217.7765125,-3867.364097,18439.13846,15,1566343485,16:24:44,44,3.354,0.367,397,24,0.04,0.03,-26.26996731,-0.004669171,0.026725656,1,1017.315841,-251.5877037,32.01821302,0,9.871470192,0.165869086,0.025987896,0,1,3,3-Jan,100,100,3.354,0.367,2,491.639,418.204,36.3393,35.8264,30.0001,35.6972,35.6254,19.521,35.7047,18.8644,-999.9,400,22.0617,99.6274,112.285
19,1566344010,1772.1,20190820 16:33:29,16:33:29,1,23293,1_1,23509,31,23522,23316,23388,B3_R2,1,3,13,1,,1566344008,0.00887245,19.93412302,372.07775,258.0541821,26.05900947,37.57341785,0.341653612,2.270286762,0.315446046,0.199340633,289.4900035,36.606035,35.905575,5.937872866,50.1835623,3.226445408,6.429287319,2.711427458,-391.2750654,177.8256525,18.58509815,94.6256888,-0.041732141,0.046847984,3.491555927,3,1,1,0,51441.98909,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2547-20190820-16_33_31,942.0945385,3.6708,-255.6455646,0.5,1513.1508,19.93412302,-193415.1453,1,0.013606304,1302.143729,-,0,3.6708,-255.6455646,0.999232625,1.099231142,1.21743905,2547,300,300,300,10275.5,3.6708,-0.00697916,3.45357,1799.96,1513.1508,0.840658015,0.19131603,6,0.5,0: Broadleaf,1566344008,372.07775,399.95,31.950475,21.647475,500.18275,100.7825,0.2002055,37.35845,35.905575,999.9,9985.77,0,438.3395,1799.96,0.978006,0.0219935,0,932.20525,4.99935,17255.5,15772.2,48.437,49.60925,48.875,49,49.8435,1755.48,39.48,0,80,942.0945385,-138.210735,62240.77234,20348.11538,15,1566343485,16:24:44,44,3.354,0.367,397,24,0.04,0.03,-27.61832308,-2.722770597,0.386755598,0,955.6421818,-123.9832032,15.78461216,0,10.14161885,1.004559105,0.128092714,0,0,3,0/3,100,100,3.354,0.367,2,468.699,426.127,36.3086,35.8198,30,35.6741,35.5954,19.5255,35.9653,14.274,-999.9,400,21.6055,99.6252,112.271
20,1566344228,1990.1,20190820 16:37:07,16:37:07,1,23293,1_1,23509,31,23522,23316,23388,B1_R3,6,1,13,1,,1566344226,0.005260359,13.38209844,380.47225,233.6753799,23.58928705,38.40827871,0.169247964,2.26869091,0.162533334,0.10216442,289.4861763,38.01491305,37.279975,6.401870036,50.55618259,3.291539331,6.510656388,3.110330704,-231.9818532,37.8762453,3.99221717,99.37278561,-0.041688838,0.046799372,3.488692831,0,0,1,0,51351.81797,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2548-20190820-16_37_09,1111.9,3889.97,0.71416232,0.5,1513.128,13.38209844,540.3095016,1,0.00927639,0.229721566,-,0,3889.97,0.71416232,0.186807788,0.916071741,0.227601752,2548,300,300,300,10369.9,1312.16,-0.0070918,-1503.45,1799.9325,1513.128,0.840658192,0.191316383,6,0.5,0: Broadleaf,1566344226,380.47225,398.93275,32.605975,26.499275,499.9925,100.74875,0.200212,37.58965,37.279975,999.9,9978.75,0,1015.5115,1799.9325,0.977998,0.0220021,0,1079.7125,4.99935,20217.425,15771.925,48.562,49.6715,49,49.062,49.937,1755.4425,39.49,0,217.2,1111.9,-308.633162,-5883.712812,20896.34615,15,1566344258,16:37:38,45,3.418,0.447,396,26,0.09,0.01,-18.02182885,-2.235195903,0.285158519,0,1145.881364,-339.9044035,43.08302284,0,6.136176154,-0.85421219,0.110283489,0,0,3,0/3,100,100,3.418,0.447,2,494.714,426.098,36.1598,35.7075,30.0001,35.5549,35.4748,19.3559,27.6022,33.9237,-999.9,400,26.2331,99.6421,112.277
21,1566344345,2107.6,20190820 16:39:05,16:39:05,1,23293,1_1,23509,31,23522,23316,23388,B1_R3,6,2,13,1,,1566344344,0.005144443,13.30453616,382.0605,229.1618569,23.13325101,38.56794305,0.160915003,2.268956785,0.154833194,0.097298021,289.5038056,38.00197042,37.51445,6.484092805,50.71040947,3.292466571,6.492683861,3.191626234,-226.8699231,2.978589356,0.314189847,65.92666175,-0.04169605,0.046807469,3.489169776,0,0,1,0,51368.72269,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2549-20190820-16_39_06,862.7322308,1172.92,0.264457737,0.5,1513.2261,13.30453616,200.0921753,1,0.009224533,3.078351465,-,0,1172.92,0.264457737,0.754802888,0.983037869,0.919632214,2549,300,300,300,10301.4,1075.24,-0.00702874,-12.7927,1800.05,1513.2261,0.840657815,0.191315631,6,0.5,0: Broadleaf,1566344344,382.0605,400.37875,32.615725,26.645625,500.15775,100.74725,0.199964,37.5388,37.51445,999.9,9980.625,0,961.024,1800.05,0.97801,0.0219905,0,857.13,4.99935,16001.675,15773,48.656,49.656,49.125,49.125,50.062,1755.58,39.47,0,116.6000001,862.7322308,-50.74741881,-992.2222222,16113.95,15,1566344258,16:37:38,45,3.418,0.447,396,26,0.09,0.01,-16.4931,-13.04401844,1.707233084,0,867.9175682,-57.08920604,7.273209609,0,6.1388475,-1.240867156,0.159283654,0,0,3,0/3,100,100,3.418,0.447,2,492.378,434.776,36.1441,35.7163,30.0004,35.5524,35.4683,19.4229,27.9333,38.4363,-999.9,400,26.5239,99.6354,112.28
22,1566344424,2186.1,20190820 16:40:23,16:40:23,1,23293,1_1,23509,31,23522,23316,23388,B1_R3,6,3,13,1,,1566344422,0.005736804,12.76033568,382.00975,256.0772573,25.85121455,38.56420563,0.192841605,2.271029394,0.184184432,0.115860692,289.5006807,37.7379643,36.847725,6.252663926,50.34835215,3.256431857,6.467802256,2.996232069,-252.9930656,75.96831371,7.977561823,120.4534906,-0.041752302,0.046870616,3.492888553,0,0,1,0,51446.97921,MPF-2410-20190820-06_38_21,857.38,4783.58,3926.2,0.820766037,-0.65426748,MPF-2550-20190820-16_40_25,976.673,6081.27,0.839396541,0.5,1513.203675,12.76033568,635.0889651,1,0.008865035,-0.213391282,-,0,6081.27,0.839396541,-0.271280087,0.977163953,-0.330520605,2550,300,300,300,10395.8,1148.99,-0.00747506,-913.359,1800.0225,1513.203675,0.8406582,0.191316401,6,0.5,0: Broadleaf,1566344422,382.00975,399.93925,32.2576,25.600225,500.35475,100.75075,0.20009125,37.4682,36.847725,999.9,9993.7425,0,115.23575,1800.0225,0.97799875,0.022001625,0,957.9625,4.99935,17605.3,15772.7,48.70275,49.625,49.125,49.125,50.062,1755.53,39.4925,0,78,976.673,-190.3961027,-3363.856413,17933.63077,15,1566344258,16:37:38,45,3.418,0.447,396,26,0.09,0.01,-18.02360577,0.265013513,0.047467667,1,999.0795227,-204.4400811,26.0025608,0,6.601215577,0.542154599,0.083330772,0,1,3,3-Jan,100,100,3.418,0.447,2,491.123,417.338,36.1035,35.7687,30.0005,35.5937,35.5148,19.5159,29.1636,36.1628,-999.9,400,25.5056,99.6242,112.267
