SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1565991384,1493,20190816 14:36:24,16:36:24,2,4,B3_R2,1565991376,0.006071125,8.436865596,386.9160323,241.3681086,24.33198645,39.00447209,0.116480806,2.270970988,0.113260626,0.071069797,297.3802245,47.131229,46.19192258,10.24698608,49.46505512,5.258910056,10.63156615,4.988076026,-267.7366048,88.42120992,10.15512856,128.2199582,-0.041750716,0.046868836,3.492783739,5,1,1,0,49923.23298,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3304-20190816-14_36_30,985.8492692,1103.37,0.106510718,0.5,1517.375196,8.436865596,80.8083607,1,0.005875871,2.538794783,-,0,1103.37,0.106510718,0.717417917,0.34665899,0.892043393,3304,300,300,300,10370.1,1103.37,-0.00711106,23.4543,1799.988387,1517.375196,0.842991659,0.195983317,6,0.5,0: Broadleaf,1565991376,386.9160323,399.8587097,52.16726452,45.26217419,500.0146774,100.6086452,0.199976968,46.91412581,46.19192258,999.9,0,0,10007.47806,0,0.00191117,1799.988387,0.900000323,0.099999613,0,990.4366129,4.99961,18633.06452,14834.54194,57.125,57.76,57.48780645,57.417,58.96748387,1615.490645,179.4983871,0,99.60000014,985.8492692,-360.6102221,-6539.962392,18549.15769,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-12.83006585,-0.936840418,0.301612847,1,950.8,0,0,0,6.925357561,0.155529199,0.128217045,0,1,3,3-Jan,100,100,3.144,-1.269,2,497.842,432.37,45.9305,45.0537,29.9996,44.8291,44.7594,19.9105,29.7723,98.3075,-999.9,400,45.4294,98.6462,97.4018
15,1565991448,1556.5,20190816 14:37:27,16:37:27,3,4,B3_R2,1565991440,0.001929312,3.371117768,395.4530645,203.9504012,20.55913854,39.86348785,0.033226263,2.269614067,0.032958382,0.020622876,297.3724398,48.55025834,46.92492581,10.63741054,48.71137153,5.200075836,10.67528109,5.437334704,-85.08263792,8.547793203,0.986051683,221.8236467,-0.041713884,0.046827489,3.490348953,46,9,1,0,49868.33805,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3305-20190816-14_37_33,963.3099231,955.843,-0.007811872,0.5,1517.33671,3.371117768,-5.926620007,1,0.002537441,3.084980483,-,0,955.843,-0.007811872,0.755200789,-0.038995305,0.939022929,3305,300,300,300,10441.8,955.843,-0.00716116,32.8679,1799.942903,1517.33671,0.842991579,0.195983158,6,0.5,0: Broadleaf,1565991440,395.4530645,400.413871,51.5857,49.38999032,500.0078065,100.6045484,0.200051258,46.99478387,46.92492581,999.9,0,0,9999.056774,0,0.00191117,1799.942903,0.90000329,0.099996839,0,975.4654194,4.99961,18214.72581,14834.18065,57.125,57.629,57.49187097,57.375,58.937,1615.454194,179.4890323,0,63,963.3099231,-907.809709,-16828.3282,17989.39231,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-4.865804146,-1.402599303,0.290126953,0,877.68,0,0,0,1.589188276,10.37980887,1.20658984,0,0,3,0/3,100,100,3.144,-1.269,2,449.513,437.808,45.8792,44.9573,29.9995,44.7531,44.6738,20.0469,21.5781,100,-999.9,400,49.8329,98.6626,97.4172
16,1565991577,1685.9,20190816 14:39:37,16:39:37,1,1,B3_R2,1565991569,0.00971321,13.00015489,380.1831935,255.7022972,25.77550498,38.32352665,0.216126242,2.269263698,0.205307244,0.129243925,297.3777795,45.50950343,45.22124516,9.749057924,51.3481986,5.33687918,10.3935081,4.412178744,-428.3525732,152.7480895,17.43992645,39.21322216,-0.041704377,0.046816817,3.489720367,13,3,1,0,49939.33216,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3306-20190816-14_39_43,792.0000769,1124.28,0.295549083,0.5,1517.361472,13.00015489,224.2273959,1,0.008883309,2.472978262,-,0,1124.28,0.295549083,0.712062695,0.92320593,0.885384665,3306,300,300,300,10395.4,1018.22,-0.00712996,-12.8458,1799.971935,1517.361472,0.842991739,0.195983478,6,0.5,0: Broadleaf,1565991569,380.1831935,400.2152258,52.94376452,41.90474839,499.9878387,100.6027742,0.200015871,46.46979355,45.22124516,999.9,0,0,9996.954194,0,0.00191117,1799.971935,0.899998355,0.100001642,0,793.6398065,4.99961,14917.70323,14834.39032,57.004,57.437,57.437,57.062,58.762,1615.47129,179.5016129,0,129,792.0000769,-129.9621196,-2364.239316,14888.4,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-19.96127805,-0.979547038,0.155650184,1,777.504,0,0,0,11.0881878,-1.143633449,0.115823217,0,1,3,3-Jan,100,100,3.144,-1.269,2,488.237,430.566,45.595,44.7708,29.9996,44.5596,44.4863,19.8045,35.8538,97.2861,-999.9,400,41.3452,98.6874,97.4503
17,1565991674,1782.9,20190816 14:41:14,16:41:14,2,1,B3_R2,1565991666,0.007993354,10.71404301,383.613129,255.8262835,25.78709222,38.66790778,0.172123407,2.270115707,0.165187879,0.103842268,297.3804278,45.90187571,45.17876452,9.72775294,50.56397168,5.211584837,10.30691353,4.516168103,-352.5069191,137.9564067,15.72989617,98.55981156,-0.041727498,0.046842772,3.491248999,30,6,1,0,49991.44875,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3307-20190816-14_41_20,917.4675385,1052.8,0.128545271,0.5,1517.376766,10.71404301,97.52580394,1,0.007376598,2.708776596,-,0,1052.8,0.128545271,0.730369308,0.469188192,0.908147259,3307,300,300,300,10364.2,1045.52,-0.00710725,19.4655,1799.990323,1517.376766,0.842991624,0.195983249,6,0.5,0: Broadleaf,1565991666,383.613129,400.1494516,51.70262581,42.60661935,500.0047097,100.5992581,0.19997129,46.30598387,45.17876452,999.9,0,0,10002.84613,0,0.00191117,1799.990323,0.900000871,0.099999129,0,919.238,4.99961,17206,14834.56129,56.879,57.312,57.312,56.94106452,58.657,1615.493871,179.4964516,0,96,917.4675385,-431.1886495,-8056.239315,17173.21538,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-16.70310976,3.572816028,0.362387628,0,869.374,0,0,0,9.05646439,1.011661045,0.109948233,0,0,3,0/3,100,100,3.144,-1.269,2,467.938,432.06,45.4169,44.658,29.9998,44.4468,44.3715,19.8485,33.2624,93.9121,-999.9,400,42.4235,98.7113,97.4677
18,1565991751,1859.4,20190816 14:42:30,16:42:30,3,1,B3_R2,1565991743,0.011380439,16.71986556,375.0909355,255.5707203,25.76070229,37.80795356,0.288213478,2.269633333,0.269315268,0.169916601,297.3787454,44.49670862,44.02878065,9.166097423,51.36003491,5.210489868,10.14502789,3.955607555,-501.8773544,240.7750166,27.27120318,63.54761073,-0.041714407,0.046828076,3.490383519,8,2,1,0,50024.83689,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3308-20190816-14_42_37,918.5570385,1510.73,0.391978025,0.5,1517.367832,16.71986556,297.387423,1,0.011334694,1.584578316,-,0,1510.73,0.391978025,0.613089689,0.793404433,0.762320808,3308,300,300,300,10391.2,1288.48,-0.00712807,-31.936,1799.979677,1517.367832,0.842991647,0.195983294,6,0.5,0: Broadleaf,1565991743,375.0909355,400.278,51.69302581,38.74204194,499.9843871,100.5967742,0.199992613,45.99653226,44.02878065,999.9,0,0,9999.954839,0,0.00191117,1799.979677,0.900000645,0.099999574,0,919.8651935,4.99961,16969.66452,14834.45806,56.74593548,57.127,57.125,56.756,58.506,1615.483226,179.4967742,0,75.79999995,918.5570385,-174.0204103,-3157.411966,16945.89615,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-24.20368049,-16.98627596,1.799777831,0,900.418,0,0,0,12.88230488,1.196673868,0.127160916,0,0,3,0/3,100,100,3.144,-1.269,2,494.521,427.712,45.2661,44.5582,29.9994,44.3401,44.2649,19.7451,39.0797,88.9043,-999.9,400,38.1257,98.7336,97.4977
19,1565992048,2156.4,20190816 14:47:27,16:47:27,1,6,B1_R3,1565992040,0.002703082,5.231332164,392.7388387,198.7863416,20.03152462,39.57594699,0.050274756,2.268756537,0.049663945,0.031094226,297.3808918,47.22681241,46.12752258,10.21328365,50.93163231,5.146678436,10.10507263,5.066605217,-119.2059288,-25.44390801,-2.910551239,149.8205037,-0.041690618,0.046801371,3.488810556,19,4,1,0,50008.98798,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3309-20190816-14_47_33,780.9602308,887.175,0.119722455,0.5,1517.377743,5.231332164,90.83209447,1,0.003763313,3.401160989,-,0,887.175,0.119722455,0.772787225,0.864838186,0.96089005,3309,300,300,300,10415.2,887.175,-0.0071428,23.1566,1799.99129,1517.377743,0.842991714,0.195983428,6,0.5,0: Broadleaf,1565992040,392.7388387,400.2902581,51.07396452,47.99597742,500.007,100.5690968,0.200022774,45.9195,46.12752258,999.9,0,0,9997.002581,0,0.00191117,1799.99129,0.899997226,0.100002955,0,781.3096452,4.99961,14690.54839,14834.53871,56.5863871,57.008,57,56.516,58.24187097,1615.489355,179.5019355,0,296,780.9602308,-58.57654694,-894.1948707,14684.72308,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-7.596992439,0.531050174,0.113987686,1,774.598,0,0,0,3.063976098,0.094669338,0.03877579,1,2,3,3-Feb,100,100,3.144,-1.269,2,480.513,438.031,44.7272,44.4947,30.0001,44.2687,44.2021,20.0139,25.7798,100,-999.9,400,47.3355,98.7284,97.4943
20,1565992149,2257.4,20190816 14:49:08,16:49:08,2,6,B1_R3,1565992141,0.002406211,5.265181135,392.6574516,181.3036737,18.26952058,39.56711548,0.045516252,2.26844895,0.045014906,0.0281789,297.3817171,47.3247623,45.9081871,10.09921629,50.65895643,5.119574517,10.10596127,4.979641774,-106.1139125,1.593406604,0.182109428,193.0433207,-0.041682275,0.046792005,3.488258806,20,4,1,0,49999.08695,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3310-20190816-14_49_15,694.7384615,803.431,0.135285468,0.5,1517.384759,5.265181135,102.6400533,1,0.003785603,3.859907074,-,0,803.431,0.135285468,0.794234749,2.781951024,0.987558078,3310,300,300,300,10398,803.431,-0.00713046,23.1727,1800,1517.384759,0.842991533,0.195983066,6,0.5,0: Broadleaf,1565992141,392.6574516,400.1093548,50.80580323,48.06508387,500.0063226,100.5675161,0.199998452,45.92121613,45.9081871,999.9,0,0,9995.159032,0,0.00191117,1800,0.900004355,0.099995529,0,695.6057097,4.99961,13146.38387,14834.65806,56.625,57.187,57.03,56.625,58.3363871,1615.508065,179.4919355,0,100.4000001,694.7384615,-93.84170944,-1739.03248,13130.18077,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-7.198746829,-4.040416307,0.448505302,0,685.614,0,0,0,2.760979756,-0.263557422,0.04290175,0,0,3,0/3,100,100,3.144,-1.269,2,480.257,439.522,44.7301,44.4976,29.9999,44.2593,44.1834,20.0109,25.7785,100,-999.9,400,47.6964,98.7266,97.4984
21,1565992242,2350.4,20190816 14:50:41,16:50:41,3,6,B1_R3,1565992234,0.003354228,6.776860677,390.3236129,184.4104158,18.582029,39.33077567,0.060914765,2.269901161,0.060020978,0.037592322,297.3825945,47.01197841,46.23066452,10.26730713,50.1283957,5.064560531,10.10317697,5.202746598,-147.9214642,-38.52678017,-4.40695155,106.5273986,-0.041721675,0.046836235,3.49086405,10,2,1,0,50045.1997,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3311-20190816-14_50_47,773.9236154,912.508,0.151871967,0.5,1517.384982,6.776860677,115.2241207,1,0.004781842,3.278976184,-,0,912.508,0.151871967,0.766299237,0.93544796,0.952822831,3311,300,300,300,10351.4,900.642,-0.00709798,16.5173,1799.999677,1517.384982,0.842991808,0.195983615,6,0.5,0: Broadleaf,1565992234,390.3236129,400.0270323,50.26134194,46.43853226,499.9945806,100.5645484,0.19998229,45.91583871,46.23066452,999.9,0,0,10004.90226,0,0.00191117,1799.999677,0.899994935,0.100005139,0,774.3108387,4.99961,14617.86129,14834.60645,56.687,57.187,57.054,56.73374194,58.375,1615.49129,179.5083871,0,92,773.9236154,-63.32246145,-1182.543588,14611.16154,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-9.391658293,-5.55697338,0.581665445,0,766.933,0,0,0,3.86357561,-0.65067784,0.074611001,0,0,3,0/3,100,100,3.144,-1.269,2,491.787,437.461,44.7044,44.4429,29.9997,44.2115,44.1396,19.9736,27.7228,100,-999.9,400,46.6817,98.7423,97.5068
22,1565992369,2477.4,20190816 14:52:48,16:52:48,1,3,B1_R3,1565992361,0.001665487,3.983625488,394.4662581,161.0297514,16.22621885,39.74852954,0.030670674,2.269120643,0.030442214,0.019046768,297.3848282,47.57175275,46.06858387,10.18252324,50.32051152,5.087380726,10.10995432,5.095142517,-73.447957,-17.08476656,-1.953573046,204.8985316,-0.041700496,0.046812459,3.489463727,4,1,1,0,50018.79836,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3312-20190816-14_52_55,847.5265,925.377,0.084128415,0.5,1517.397619,3.983625488,63.82812805,1,0.002940996,3.21946947,-,0,925.377,0.084128415,0.763003381,0.483493581,0.948724736,3312,300,300,300,10358.4,925.377,-0.00710257,19.2471,1800.014839,1517.397619,0.842991728,0.195983455,6,0.5,0: Broadleaf,1565992361,394.4662581,400.0349355,50.48740323,48.58973871,500.0042258,100.5653548,0.199992581,45.92892581,46.06858387,999.9,0,0,9999.743226,0,0.00191117,1800.014839,0.899997516,0.100002352,0,849.2478387,4.99961,15921.39032,14834.74839,56.687,57.21341935,57.062,56.73170968,58.387,1615.510323,179.5051613,0,126.1999998,847.5265,-224.5741197,-4256.475214,15888.78846,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-5.613821707,0.903720627,0.104456717,1,825.67,0,0,0,1.943705854,-0.864113728,0.087542474,0,1,3,3-Jan,100,100,3.144,-1.269,2,498.423,441.438,44.6659,44.3619,29.9999,44.1436,44.0759,20.0524,23.3669,100,-999.9,400,48.3544,98.7556,97.5245
23,1565992479,2587.4,20190816 14:54:38,16:54:38,2,3,B1_R3,1565992471,0.003370236,7.283822691,389.7684839,180.4857999,18.18613516,39.27390594,0.063875721,2.269200497,0.062893388,0.039395368,297.3791416,46.82757371,45.81947742,10.05339561,50.53497543,5.058811917,10.01051623,4.994583696,-148.6273877,-10.19462989,-1.163252681,137.3938713,-0.041702662,0.046814892,3.489606985,22,4,1,0,50051.47952,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3313-20190816-14_54_44,737.3413462,915.779,0.194847942,0.5,1517.36853,7.283822691,147.828068,1,0.005116,3.263692441,-,0,915.779,0.194847942,0.765461507,1.178439344,0.951781191,3313,300,300,300,10345,877.265,-0.00709373,6.05774,1799.980323,1517.36853,0.842991732,0.195983465,6,0.5,0: Broadleaf,1565992471,389.7684839,400.0854516,50.20548387,46.36422903,499.9977419,100.562129,0.200009419,45.73614516,45.81947742,999.9,0,0,10000.58355,0,0.00191117,1799.980323,0.899997161,0.100002806,0,737.8393548,4.99961,13917.04194,14834.46774,56.62093548,57.062,57,56.62296774,58.312,1615.478387,179.5019355,0,109.2,737.3413462,-58.69500858,-1049.770941,13907.72308,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-10.12673561,-3.363960836,0.360012343,0,731.466,0,0,0,3.894241951,-0.873138815,0.100478776,0,0,3,0/3,100,100,3.144,-1.269,2,477.005,439.436,44.5934,44.3092,29.9999,44.0932,44.0199,19.9877,27.3944,100,-999.9,400,46.096,98.7623,97.5399
24,1565992554,2662.9,20190816 14:55:54,16:55:54,3,3,B1_R3,1565992546,0.002207554,5.768489423,392.2960645,150.1417728,15.12846397,39.52821901,0.042444492,2.269633957,0.042008407,0.026294061,297.37988,46.99648414,45.57476774,9.927927133,50.7426398,5.025808981,9.904508321,4.902118152,-97.35312762,-5.62503087,-0.640354429,193.7613671,-0.041714424,0.046828095,3.49038464,19,4,1,0,50097.58901,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3314-20190816-14_56_00,901.8962308,1003.92,0.101625398,0.5,1517.37209,5.768489423,77.10177101,1,0.004117332,2.889353733,-,0,1003.92,0.101625398,0.742887876,0.425880502,0.92371295,3314,300,300,300,10371.5,1003.92,-0.00711176,27.6331,1799.984516,1517.37209,0.842991746,0.195983491,6,0.5,0: Broadleaf,1565992546,392.2960645,400.2573226,49.87841935,47.36153226,500.0092258,100.5611935,0.19999829,45.52879677,45.57476774,999.9,0,0,10003.4971,0,0.00191117,1799.984516,0.899997194,0.100002774,0,905.9830645,4.99961,17084.47742,14834.4871,56.554,56.937,56.933,56.48780645,58.21341935,1615.481935,179.5032258,0,74.9000001,901.8962308,-441.5198635,-8247.039321,17007.95769,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-7.903113902,-0.924138815,0.122375166,1,855.747,0,0,0,2.380923415,2.395253101,0.267317128,0,1,3,3-Jan,100,100,3.144,-1.269,2,480.833,440.782,44.494,44.2674,30.0001,44.0588,43.9874,20.0318,25.3258,100,-999.9,400,46.7563,98.7618,97.548
25,1565992668,2776.9,20190816 14:57:48,16:57:48,1,2,B1_R3,1565992660,0.004565268,8.013753372,388.3917742,216.7999603,21.84379064,39.13261141,0.089241475,2.269158219,0.087336546,0.054753105,297.3781152,46.31727248,45.51824516,9.899139794,50.49108599,5.022424927,9.947151716,4.876714868,-201.3283175,11.52275973,1.31219541,108.8847528,-0.041701515,0.046813604,3.489531138,51,10,1,0,50069.45775,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3315-20190816-14_57_54,747.5792692,925.136,0.191925004,0.5,1517.362869,8.013753372,145.6099376,1,0.005597072,3.220568652,-,0,925.136,0.191925004,0.763065103,1.104375998,0.948801482,3315,300,300,300,10380.6,886.286,-0.00711835,4.0434,1799.973548,1517.362869,0.84299176,0.195983519,6,0.5,0: Broadleaf,1565992660,388.3917742,400.1355806,49.84764516,44.64259677,500.0184194,100.5555161,0.199994194,45.61243548,45.51824516,999.9,0,0,10000.96613,0,0.00191117,1799.973548,0.899997194,0.100002845,0,748.0928065,4.99961,14033.8129,14834.41613,56.437,56.879,56.812,56.437,58.125,1615.470645,179.5029032,0,113.4000001,747.5792692,-55.11285473,-1004.762394,14024.68077,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-11.23801756,-9.677190105,1.024794106,0,741.359,0,0,0,5.22797122,-0.349702369,0.051913551,0,0,3,0/3,100,100,3.144,-1.269,2,443.651,437.559,44.4481,44.297,30.0003,44.0764,43.9967,19.9595,29.9756,99.6262,-999.9,400,44.6526,98.7625,97.5357
26,1565992749,2857.4,20190816 14:59:08,16:59:08,2,2,B1_R3,1565992741,0.003091792,7.100901786,390.1906129,176.8525225,17.81898525,39.31411709,0.060589136,2.268815509,0.059704388,0.037393657,297.3822152,46.82316481,45.47534516,9.877338706,50.65373144,5.046084195,9.961919983,4.831254511,-136.3480234,20.30254652,2.312221825,183.6489601,-0.041692218,0.046803167,3.488916343,2,0,1,0,50054.2254,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3316-20190816-14_59_15,838.4136923,975.579,0.140598873,0.5,1517.384537,7.100901786,106.6712777,1,0.004995396,3.002341174,-,0,975.579,0.140598873,0.750146238,0.649399711,0.932738058,3316,300,300,300,10391.6,975.579,-0.0071256,24.3158,1799.999355,1517.384537,0.842991711,0.195983423,6,0.5,0: Broadleaf,1565992741,390.1906129,400.1592258,50.08212903,46.55783871,500.0067742,100.5561935,0.199990194,45.64132903,45.47534516,999.9,0,0,9998.669032,0,0.00191117,1799.999355,0.899997903,0.100002229,0,838.7129032,4.99961,15803.71613,14834.63226,56.437,56.937,56.812,56.4756129,58.127,1615.496774,179.5025806,0,79.5999999,838.4136923,-49.27829053,-878.9196569,15798.23077,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-10.04006024,1.235983902,0.140263495,0,833.075,0,0,0,3.424517805,1.791859861,0.18774564,0,0,3,0/3,100,100,3.144,-1.269,2,500.661,440.725,44.4833,44.3052,30,44.0671,43.992,20.0311,25.6658,100,-999.9,400,46.0836,98.7655,97.5463
27,1565992845,2953.4,20190816 15:00:44,17:00:44,3,2,B1_R3,1565992837,0.005461576,9.193702594,386.4842581,225.9877854,22.76924712,38.93996113,0.110838892,2.268937594,0.107916352,0.06770388,297.3822919,46.01998201,45.1846,9.730677178,50.32908036,5.004433597,9.943423485,4.726243581,-240.8555103,51.44114667,5.849216051,113.8171444,-0.04169553,0.046806885,3.48913535,28,6,1,0,50063.68767,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3317-20190816-15_00_51,792.5212692,975.016,0.187171011,0.5,1517.382872,9.193702594,142.0050434,1,0.006374619,3.004652231,-,0,975.016,0.187171011,0.750290427,0.866317902,0.932917344,3317,300,300,300,10390.4,951.216,-0.00712544,11.3489,1799.997097,1517.382872,0.842991844,0.195983688,6,0.5,0: Broadleaf,1565992837,386.4842581,400.0497742,49.66966452,43.44125806,499.9964194,100.5543226,0.200003935,45.60513548,45.1846,999.9,0,0,9999.649355,0,0.00191117,1799.997097,0.899992839,0.100007284,0,793.2820323,4.99961,14935.32903,14834.58065,56.437,56.937,56.812,56.5,58.125,1615.486774,179.5103226,0,95.4000001,792.5212692,-57.85603416,-1087.582906,14921.69231,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-13.6411122,1.720444599,0.17608088,0,786.598,0,0,0,6.239688537,-0.239009895,0.037439809,0,0,3,0/3,100,100,3.144,-1.269,2,470.722,437.372,44.4834,44.291,30,44.0624,43.9874,19.9495,31.0047,98.8653,-999.9,400,43.1435,98.7655,97.5405
28,1565993186,3295,20190816 15:06:26,17:06:26,1,6,B2_R3,1565993178,0.011950551,16.79523255,374.6111935,264.3240971,26.63622563,37.74997581,0.318942127,2.268767512,0.2959634,0.186903525,297.3824298,42.77471251,42.8477,8.618667357,51.4281626,4.821021581,9.37428315,3.797645776,-527.0193126,197.4472122,22.08683096,-10.10283963,-0.041690916,0.046801705,3.488830243,4,1,1,0,50238.97425,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3318-20190816-15_06_32,929.5669615,1358.19,0.315584004,0.5,1517.386356,16.79523255,239.431431,1,0.011384225,1.874855506,-,0,1358.19,0.315584004,0.652156431,0.721794648,0.810896719,3318,300,300,300,10360,1230.75,-0.00710501,-6.67175,1800.001613,1517.386356,0.842991665,0.195983329,6,0.5,0: Broadleaf,1565993178,374.6111935,400.1379677,47.84131935,34.18656129,499.9936774,100.5710968,0.199986581,44.46196774,42.8477,999.9,0,0,9996.875161,0,0.00191117,1800.001613,0.899999452,0.100000277,0,930.2409355,4.99961,17230.40645,14834.63871,55.687,56.125,56.11483871,55.57012903,57.312,1615.501613,179.5,0,340.7,929.5669615,-86.81131629,-1580.680343,17218.37308,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-25.43940488,-1.671472474,0.18895147,0,919.836,0,0,0,13.66675854,-0.352618118,0.040549969,0,0,3,0/3,100,100,3.144,-1.269,2,498.898,429.093,43.6226,44.2298,29.9999,44.0298,43.9642,19.6964,46.5483,92.0847,-999.9,400,33.6256,98.7711,97.5509
29,1565993373,3481.5,20190816 15:09:32,17:09:32,2,6,B2_R3,1565993365,0.010612831,14.77677606,377.5927097,265.06915,26.71086579,38.04980019,0.273359216,2.269290952,0.256294549,0.161628434,297.3792018,43.45520846,43.09840323,8.732440343,50.98420807,4.840730751,9.494568876,3.891709592,-468.0258307,196.9797192,22.08137965,48.41446992,-0.041705116,0.046817647,3.489769261,1,0,1,0,50216.36037,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3319-20190816-15_09_39,854.4343077,1141.1,0.25121873,0.5,1517.369537,14.77677606,190.5958236,1,0.010054117,2.421785996,-,0,1141.1,0.25121873,0.707754956,0.760911995,0.880028386,3319,300,300,300,10361.4,1091.34,-0.00710558,13.2874,1799.981613,1517.369537,0.842991687,0.195983374,6,0.5,0: Broadleaf,1565993365,377.5927097,400.133871,48.03769355,35.91394839,499.9947419,100.5694194,0.200005516,44.70847742,43.09840323,999.9,0,0,10000.4471,0,0.00191117,1799.981613,0.9,0.0999996,0,855.5834516,4.99961,15888.9,14834.47419,55.625,56.32825806,56.004,55.778,57.312,1615.482258,179.4993548,0,185.8,854.4343077,-153.3718975,-2775.883762,15867.85385,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-22.54299512,-0.082935889,0.110597501,1,839.13,0,0,0,12.1372122,-0.27504878,0.033799987,0,1,3,3-Jan,100,100,3.144,-1.269,2,502.662,432.08,43.8135,44.1969,29.9998,43.9879,43.9178,19.7776,42.3683,93.6884,-999.9,400,35.4057,98.7812,97.5694
30,1565993466,3575,20190816 15:11:06,17:11:06,3,6,B2_R3,1565993458,0.004148503,8.31077198,388.0176774,203.3405957,20.48986389,39.09907596,0.084083873,2.269852152,0.082391023,0.051643646,297.3801706,45.80024249,44.65395484,9.467849989,49.4046568,4.752127294,9.618784143,4.715722696,-182.9490035,37.47867857,4.236319906,156.1461656,-0.041720345,0.046834742,3.490776117,18,4,1,0,50194.10881,MPF-3173-20190816-04_41_30,764.3603846,3904.6,3140.239615,0.804241053,-0.479035262,MPF-3320-20190816-15_11_12,874.4227308,994.779,0.120987947,0.5,1517.373706,8.31077198,91.79196497,1,0.005792777,2.92509291,-,0,994.779,0.120987947,0.745228961,0.522337438,0.926623875,3320,300,300,300,10393.1,993.759,-0.00712714,20.0795,1799.986452,1517.373706,0.842991737,0.195983474,6,0.5,0: Broadleaf,1565993458,388.0176774,399.9220645,47.15992258,42.41655806,500.0071613,100.5662581,0.199965323,44.96022258,44.65395484,999.9,0,0,10004.41323,0,0.00191117,1799.986452,0.899997516,0.100002587,0,875.6824516,4.99961,16384.46774,14834.5,55.637,56.34045161,56.062,55.875,57.379,1615.484194,179.5029032,0,92.5,874.4227308,-292.9741876,-5530.605121,16360.2,15,1565989792,14:09:51,24,3.144,-1.269,398,57,0.29,0.01,-11.58889829,-5.004637631,0.604378729,0,843.113,0,0,0,4.712361707,0.897493589,0.1080355,0,0,3,0/3,100,100,3.144,-1.269,2,482.731,440.591,43.9127,44.1312,29.9996,43.9319,43.8623,19.9851,29.5147,98.6451,-999.9,400,42.5456,98.8033,97.5927
