SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1563988732,240,20190724 10:18:52,10:18:52,3,B3_R2,5,null,null,null,null,1563988724,0.008367077,23.81541831,393.9415806,261.2320727,26.37970259,39.78095656,0.34303449,2.273046164,0.31665284,0.200108966,297.3725899,36.63289675,36.23638065,6.046795913,55.09851575,3.504693312,6.360776264,2.542102602,-368.9880815,113.4058102,11.84565362,53.63597223,-0.041807083,0.046932113,3.496508482,36,7,1,0,51563.25789,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-346-20190724-10_19_49,1615.878077,1978.6,0.183322512,0.5,1517.336546,23.81541831,139.0809739,1,0.015930412,0.553057718,-,0,1978.6,0.183322512,0.356108927,0.277847848,0.455997573,346,300,300,300,10282.3,1918.52,-0.00705185,21.7794,1799.942581,1517.336546,0.842991639,0.195983278,6,0.5,0: Broadleaf,1563988724,393.9415806,426.476871,34.70616452,25.01371613,499.9781613,100.7818387,0.200028935,37.16180645,36.23638065,999.9,0,0,10003.76806,0,109.6558387,1799.942581,0.900000484,0.099999542,0,1624.49,4.99938,30143.72581,14365.10645,49.776,50.75993548,50.01793548,50.74374194,51.70529032,1615.450323,179.4925806,0,93,1615.878077,-791.7206827,-14272.44443,29988.34615,15,1563988147,10:09:06,12,12.344,0.431,399,27,0.33,0.1,0,0,0/0,1.87397,1.87087,1.87032,1.87242,1.86954,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.344,0.431,2,450.268,474.394,35.5843,37.1781,30.0006,36.9388,36.942,20.7936,39.9279,49.5341,-999.9,428.745,23.1345,100.228,100.582
4,1563988850,358,20190724 10:20:50,10:20:50,1,B3_R2,3,null,null,null,null,1563988842,0.006616007,18.53578336,393.9889355,261.6658255,26.42416656,39.78673651,0.264143049,2.271509983,0.248188167,0.156470714,297.3779513,37.314162,36.00816452,5.971468284,53.2004513,3.404473091,6.399331224,2.566995193,-291.7658976,154.8563069,16.17708429,176.645445,-0.041765352,0.046885266,3.493751049,0,0,1,0,51495.5317,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-347-20190724-10_21_48,1470.313846,1726.46,0.148364951,0.5,1517.364,18.53578336,112.561818,1,0.012450645,0.779873267,-,0,1726.46,0.148364951,0.438162245,0.243177587,0.561066868,347,300,300,300,10330.4,1703.4,-0.00708529,29.1307,1799.975161,1517.364,0.842991633,0.195983265,6,0.5,0: Broadleaf,1563988842,393.9889355,419.3581613,33.71286129,26.0418129,500.033,100.7843871,0.200013548,37.27269355,36.00816452,999.9,0,0,9993.529677,0,1052.238387,1799.975161,0.900000968,0.099999003,0,1478.485806,4.99938,27442.30323,14365.36774,49.903,50.84451613,50.10264516,50.516,51.653,1615.480323,179.4954839,0,117.5999999,1470.313846,-755.7777768,-13777.84614,27293.54615,15,1563988891,10:21:30,13,12.884,0.33,420,25,0.09,0.1,0,0,0/0,1.87394,1.87086,1.87033,1.87241,1.86953,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.884,0.33,2,501.034,474.193,35.8522,37.3373,30.0005,37.1133,37.1287,20.5392,34.1418,50.5255,-999.9,420.582,24.9643,100.211,100.574
5,1563988960,467.5,20190724 10:22:39,10:22:39,2,B3_R2,3,null,null,null,null,1563988952,0.009215992,23.64822196,395.0752903,281.4336634,28.42175456,39.89832915,0.408897522,2.271973889,0.371980221,0.235526128,297.3591781,36.21672978,35.96792903,5.958272574,56.62096172,3.574303491,6.312685943,2.383969083,-406.4252269,129.1922081,13.47434414,33.60050341,-0.041777951,0.04689941,3.494583676,31,6,1,0,51552.07391,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-348-20190724-10_23_37,903.2117308,1375.4,0.343309778,0.5,1517.267785,23.64822196,260.4464335,1,0.015820938,1.234171877,-,0,1375.4,0.343309778,0.552406863,0.672374625,0.70735713,348,300,300,300,10373.4,1256.87,-0.00711656,-5.86133,1799.860968,1517.267785,0.84299166,0.19598332,6,0.5,0: Broadleaf,1563988952,395.0752903,427.8220968,35.39293548,24.72525161,500.0041613,100.7891613,0.200017548,37.02267419,35.96792903,999.9,0,0,9996.070968,0,932.9333871,1799.860968,0.900000129,0.09999989,0,904.1665484,4.99938,16382.13871,14364.45806,49.45935484,50.516,49.71748387,50.129,51.274,1615.376452,179.4858065,0,108.3,903.2117308,-228.729333,-3479.494012,16367.41538,15,1563988891,10:21:30,13,12.884,0.33,420,25,0.09,0.1,0,0,0/0,1.87395,1.87082,1.87031,1.87242,1.86956,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.884,0.33,2,456.707,477.934,35.9746,37.4539,30.0004,37.2662,37.2711,20.8487,41.2645,51.2375,-999.9,429.117,22.1688,100.191,100.569
6,1563989086,593.5,20190724 10:24:45,10:24:45,3,B3_R2,3,null,null,null,null,1563989078,0.00722662,19.39393383,395.7655161,252.5128466,25.50102523,39.96797211,0.25573143,2.270104443,0.240736903,0.151734446,297.3802243,37.03842605,36.35081613,6.084877494,50.09788266,3.192562345,6.372649252,2.892315149,-318.6939322,103.4405379,10.82653248,92.95336262,-0.041727192,0.046842429,3.491228789,6,1,1,0,51463.20443,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-349-20190724-10_25_43,1190.849615,1487.36,0.199353475,0.5,1517.378119,19.39393383,151.2473005,1,0.013016078,1.065996127,-,0,1487.36,0.199353475,0.515971987,0.364160648,0.660702262,349,300,300,300,10324.5,1451.59,-0.00708152,22.0415,1799.992258,1517.378119,0.84299147,0.19598294,6,0.5,0: Broadleaf,1563989078,395.7655161,422.4713871,31.61296452,23.21482258,499.9795161,100.7889677,0.200053484,37.19601613,36.35081613,999.9,0,0,9983.945161,0,1382.901613,1799.992258,0.900006323,0.099993332,0,1196.914516,4.99938,22183.5871,14365.53871,49.125,50.433,49.387,49.95529032,50.96545161,1615.505484,179.4874194,0,125.5999999,1190.849615,-560.8666659,-10345.98631,22071.36538,15,1563988891,10:21:30,13,12.884,0.33,420,25,0.09,0.1,0,0,0/0,1.87402,1.87086,1.87034,1.87244,1.86958,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.884,0.33,2,487.321,486.382,36.0674,37.532,30.0002,37.3687,37.3915,20.7379,36.753,51.357,-999.9,424.434,23.4013,100.184,100.567
7,1563989256,764,20190724 10:27:36,10:27:36,1,B3_R2,2,null,null,null,null,1563989248,0.008798915,17.64733435,398.3123226,296.1763826,29.90984722,40.22420899,0.34780188,2.272097015,0.320702485,0.202697581,297.3715876,36.78994221,36.64920968,6.185157474,54.88164322,3.547971498,6.464769073,2.637185976,-388.0321676,99.26461427,10.40862128,19.01265552,-0.041781296,0.046903165,3.494804676,354,71,1,0,51483.43172,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-350-20190724-10_28_33,1181.081154,1538.12,0.232126782,0.5,1517.330167,17.64733435,176.1064845,1,0.011865389,0.997815515,-,0,1538.12,0.232126782,0.499453282,0.412766627,0.639550056,350,300,300,300,10295.8,1471.71,-0.00706105,15.0171,1799.934839,1517.330167,0.842991721,0.195983441,6,0.5,0: Broadleaf,1563989248,398.3123226,423.695129,35.13309032,24.9452129,499.9931935,100.7869032,0.19970129,37.45957742,36.64920968,999.9,0,0,9997.095161,0,1089.127097,1799.934839,0.899998645,0.1000012,0,1183.359355,4.99938,22158.94839,14365.05161,49.125,50.437,49.33435484,50.125,50.99593548,1615.439032,179.4967742,0,169.8,1181.081154,-384.8605131,-6693.063252,22120.07308,15,1563988891,10:21:30,13,12.884,0.33,420,25,0.09,0.1,0,0,0/0,1.87399,1.87087,1.87031,1.87245,1.86958,1.87912,1.87607,1.87148,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.884,0.33,2,118.194,472.9,36.3074,37.6386,30.0003,37.5387,37.5243,20.7623,38.2428,56.2508,-999.9,424.79,23.193,100.174,100.558
8,1563989367,875,20190724 10:29:27,10:29:27,2,B3_R2,2,null,null,null,null,1563989359,0.005976754,17.44787158,396.9668387,234.3594919,23.66517878,40.0849615,0.198108989,2.272483771,0.188989999,0.11890307,297.3769745,38.03659016,36.89424516,6.268575617,49.01041524,3.225292332,6.580830454,3.043283285,-263.574866,109.3794431,11.49907693,154.6806285,-0.041791802,0.046914959,3.495498902,42,8,1,0,51441.40747,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-351-20190724-10_30_24,1635.478846,2057.58,0.205144468,0.5,1517.357634,17.44787158,155.6387621,1,0.01173372,0.493443754,-,0,2057.58,0.205144468,0.330406654,0.304887335,0.423085806,351,300,300,300,10352.2,1996.73,-0.00710116,15.403,1799.967419,1517.357634,0.842991722,0.195983444,6,0.5,0: Broadleaf,1563989359,396.9668387,420.7481613,31.94050968,24.99842258,500.0675161,100.7780968,0.200014226,37.78703548,36.89424516,999.9,0,0,10000.4829,0,12.32497,1799.967419,0.899997613,0.100002435,0,1636.922258,4.99938,29986.24839,14365.3129,49.129,50.34654839,49.32216129,50.20325806,51.062,1615.467419,179.5,0,110.1999998,1635.478846,-358.2854701,-6679.329915,29958.33846,15,1563989314,10:28:34,14,13.196,0.261,427,23,0.03,0.07,0,0,0/0,1.87404,1.87088,1.8704,1.87251,1.86958,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.196,0.261,2,442.632,475.112,36.5001,37.761,30.0004,37.6164,37.6422,20.6695,28.7583,54.2311,-999.9,420.265,25.7675,100.152,100.542
9,1563989459,967,20190724 10:30:59,10:30:59,3,B3_R2,2,null,null,null,null,1563989451,0.005440934,14.81857463,395.1846452,247.4021777,24.98196499,39.9046163,0.186342372,2.271185513,0.178246264,0.112102004,297.383086,38.34412065,37.39922903,6.443574735,53.00242532,3.513231276,6.628434934,2.930343459,-239.945174,63.75311584,6.726892786,127.9179206,-0.041756541,0.046875375,3.493168727,0,0,1,0,51377.7887,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-352-20190724-10_31_57,1570.308462,1897.85,0.172585578,0.5,1517.388166,14.81857463,130.9396566,1,0.010000706,0.619137445,-,0,1897.85,0.172585578,0.382387207,0.267442061,0.489646917,352,300,300,300,10425.1,1858.59,-0.00715183,14.684,1800.003548,1517.388166,0.842991764,0.195983528,6,0.5,0: Broadleaf,1563989451,395.1846452,415.5480323,34.79234194,28.49010968,499.9781613,100.777129,0.200013645,37.9199,37.39922903,999.9,0,0,9992.140968,0,261.9937677,1800.003548,0.899996806,0.100003216,0,1572.993871,4.99938,28831.35806,14365.5871,49.133,50.127,49.312,50.10874194,51.07012903,1615.497419,179.506129,0,91.39999986,1570.308462,-354.3747011,-6219.794876,28784.13077,15,1563989314,10:28:34,14,13.196,0.261,427,23,0.03,0.07,0,0,0/0,1.87403,1.87088,1.8704,1.87249,1.86962,1.87912,1.87607,1.87148,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.196,0.261,2,494.41,491.34,36.6405,37.8351,30.0004,37.6845,37.7059,20.5876,27.6228,59.6456,-999.9,416.692,27.2643,100.141,100.533
10,1563989683,1191.1,20190724 10:34:43,10:34:43,1,B1_R3,5,null,null,null,null,1563989675,0.003053323,13.43742394,395.7881935,157.3827735,15.88832846,39.95616979,0.097810125,2.271170169,0.095528839,0.059906057,297.3779312,39.19811366,37.61325806,6.519015136,51.85809701,3.451652949,6.6559576,3.067362186,-134.6515442,46.90566839,4.956215385,214.5882708,-0.041756124,0.046874907,3.493141191,34,7,1,0,51364.17572,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-353-20190724-10_35_41,1174.042692,1490.02,0.212062461,0.5,1517.363015,13.43742394,160.8878673,1,0.009090641,1.062307888,-,0,1490.02,0.212062461,0.51510635,0.386805392,0.659593813,353,300,300,300,10346.6,1444.4,-0.00709668,13.1305,1799.973871,1517.363015,0.84299169,0.195983379,6,0.5,0: Broadleaf,1563989675,395.7881935,413.3636452,34.19055161,30.65176129,499.9891935,100.7533548,0.200060258,37.99633871,37.61325806,999.9,0,0,9994.399032,0,1199.618387,1799.973871,0.899999484,0.100000235,0,1177.764516,4.99938,21515.7871,14365.35806,48.98780645,49.79,49.125,49.687,50.907,1615.475161,179.4987097,0,223.5999999,1174.042692,-343.1907692,-5912.181196,21450.88846,15,1563989314,10:28:34,14,13.196,0.261,427,23,0.03,0.07,0,0,0/0,1.87402,1.87088,1.87033,1.87245,1.86955,1.87912,1.87607,1.87147,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.196,0.261,2,452.149,477.767,36.7209,37.9163,30.0003,37.7766,37.7985,20.5175,26.5404,74.8454,-999.9,413.018,29.644,100.125,100.525
11,1563989852,1359.6,20190724 10:37:31,10:37:31,2,B1_R3,5,null,null,null,null,1563989844,0.003709068,13.47267741,396.9244194,194.7136059,19.65802006,40.07294797,0.118131676,2.271158546,0.114821232,0.072052973,297.3739761,39.15114166,37.87420645,6.612029636,52.32484527,3.514320291,6.716351043,3.097709345,-163.569907,35.37448584,3.745530359,172.9240853,-0.041755808,0.046874553,3.49312033,0,0,1,0,51336.38293,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-354-20190724-10_38_29,1712.808077,2033.42,0.157671275,0.5,1517.342886,13.47267741,119.6206934,1,0.009113995,0.511188048,-,0,2033.42,0.157671275,0.338268985,0.235693869,0.433153523,354,300,300,300,10292.4,2005.07,-0.0070586,31.4607,1799.95,1517.342886,0.842991686,0.195983373,6,0.5,0: Broadleaf,1563989844,396.9244194,414.859129,34.80950645,30.51335806,499.9767742,100.7586129,0.200023097,38.1631129,37.87420645,999.9,0,0,9993.801935,0,584.9332903,1799.95,0.899999516,0.100000419,0,1721.836774,4.99938,31891.69032,14365.18065,48.96545161,49.98374194,49.125,49.875,50.921,1615.453871,179.496129,0,168,1712.808077,-833.2167522,-15195.79487,31727.3,15,1563989314,10:28:34,14,13.196,0.261,427,23,0.03,0.07,0,0,0/0,1.87397,1.87087,1.87039,1.87248,1.86961,1.87912,1.87607,1.87147,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.196,0.261,2,499.48,476.914,36.9189,38.0652,30.0006,37.9181,37.9429,20.6424,28.503,80.7894,-999.9,415.587,29.2981,100.092,100.51
12,1563989967,1474.6,20190724 10:39:26,10:39:26,3,B1_R3,5,null,null,null,null,1563989959,0.003379058,13.39923599,396.4917097,173.1511564,17.48162196,40.03044694,0.105148559,2.270785267,0.10251664,0.06430388,297.3750136,39.54743557,38.18539677,6.724456532,52.27484383,3.566249534,6.822114181,3.158206998,-149.0164728,32.64615173,3.46723252,184.4719251,-0.041745673,0.046863176,3.492450457,34,7,1,0,51276.87375,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-355-20190724-10_40_24,1408.047692,1713.06,0.178051153,0.5,1517.345873,13.39923599,135.0825909,1,0.009065576,0.793795897,-,0,1713.06,0.178051153,0.442522975,0.293300915,0.566650784,355,300,300,300,10305.4,1653.18,-0.00706795,13.2676,1799.953226,1517.345873,0.842991835,0.19598367,6,0.5,0: Broadleaf,1563989959,396.4917097,414.1784194,35.32282258,31.41120323,500.0027097,100.7615484,0.200075677,38.45206452,38.18539677,999.9,0,0,9991.085161,0,1322.314839,1799.953226,0.899994871,0.100005135,0,1416.640645,4.99938,26531.13871,14365.17742,49.147,50.33841935,49.389,50.09248387,51.06403226,1615.44871,179.5054839,0,114.5999999,1408.047692,-801.0762393,-14886.09231,26372.23846,15,1563989995,10:39:54,15,12.943,0.471,414,30,0.12,0.05,0,0,0/0,1.87403,1.87088,1.8704,1.87247,1.86964,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.943,0.471,2,452.87,478.361,37.1065,38.2614,30.0012,38.0951,38.1176,20.6365,26.3648,84.8821,-999.9,414.399,30.2811,100.063,100.467
13,1563990106,1614.1,20190724 10:41:46,10:41:46,1,B1_R3,4,null,null,null,null,1563990098,0.004327592,10.53731736,395.0341613,240.6615409,24.29480267,39.8787316,0.126738064,2.273693458,0.122940149,0.07716934,297.3782545,39.81779586,38.90450645,6.990621053,51.48362213,3.623916847,7.038970252,3.366704206,-190.8468245,15.69885748,1.675636339,123.9059238,-0.041824675,0.046951862,3.497670599,22,4,1,0,51274.13244,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-356-20190724-10_42_44,947.7301154,1202.91,0.212135475,0.5,1517.367328,10.53731736,160.9437197,1,0.007179339,1.554538577,-,0,1202.91,0.212135475,0.608539871,0.481671769,0.779235462,356,300,300,300,10307.3,1175.21,-0.00706716,16.5446,1799.979355,1517.367328,0.842991518,0.195983035,6,0.5,0: Broadleaf,1563990098,395.0341613,409.7318065,35.89810645,30.89093871,499.9520968,100.7500968,0.199986806,39.03257742,38.90450645,999.9,0,0,10011.13065,0,43.62718065,1799.979355,0.900004806,0.099995542,0,949.5143548,4.99938,17633.13871,14365.44516,49.637,50.937,49.875,50.71951613,51.59045161,1615.49129,179.4890323,0,139,947.7301154,-146.053436,-2313.333336,17605.4,15,1563989995,10:39:54,15,12.943,0.471,414,30,0.12,0.05,0,0,0/0,1.87406,1.87088,1.87042,1.87255,1.86965,1.87912,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.943,0.471,2,466.842,487.206,37.5218,38.6704,30.001,38.4247,38.442,20.5402,29.0547,99.2373,-999.9,412.751,30.7776,99.9906,100.402
14,1563990211,1718.6,20190724 10:43:30,10:43:30,2,B1_R3,4,null,null,null,null,1563990203,0.003799363,8.95874522,393.4394194,235.3357026,23.75764613,39.71855692,0.105005254,2.271766243,0.10238151,0.064218716,297.3778449,40.14344279,39.34709032,7.158937177,50.89975337,3.612480026,7.097244656,3.546457151,-167.5519187,-19.73830344,-2.114626367,107.9729964,-0.041772311,0.046893079,3.49421098,16,3,1,0,51187.45322,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-357-20190724-10_44_28,813.0263077,1035.86,0.215119507,0.5,1517.360776,8.95874522,163.2069509,1,0.00613903,1.966501265,-,0,1035.86,0.215119507,0.662902554,0.614324507,0.848846891,357,300,300,300,10301.1,1005.03,-0.00706515,11.2996,1799.970968,1517.360776,0.842991806,0.195983611,6,0.5,0: Broadleaf,1563990203,393.4394194,405.9827742,35.78408065,31.38831613,500.0367742,100.752129,0.200025129,39.18592903,39.34709032,999.9,0,0,9998.395161,0,211.3397032,1799.970968,0.899995548,0.100004387,0,813.7974516,4.99938,15497.55806,14365.32258,49.97764516,51.157,50.183,51.02,51.879,1615.466452,179.5054839,0,103.8,813.0263077,-86.16615373,-1545.917947,15482.48077,15,1563989995,10:39:54,15,12.943,0.471,414,30,0.12,0.05,0,0,0/0,1.87405,1.87088,1.87042,1.87256,1.86966,1.87912,1.8761,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.943,0.471,2,474.498,477.77,37.7868,38.9233,30.0009,38.6521,38.669,20.5066,26.5515,99.243,-999.9,411.337,31.5255,99.955,100.379
15,1563990376,1884.1,20190724 10:46:16,10:46:16,3,B1_R3,4,null,null,null,null,1563990368,0.002695736,9.605177753,397.9482258,176.0200863,17.76885514,40.17203108,0.076017553,2.268851628,0.074630435,0.046766541,297.3747615,40.66330719,39.33192581,7.153112453,51.72744537,3.702824371,7.158336053,3.450288082,-118.8819698,1.663529274,0.178571877,180.3348928,-0.041693197,0.046804267,3.488981137,19,4,1,0,51068.24609,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-358-20190724-10_47_14,1348.024615,1517.84,0.111879635,0.5,1517.347201,9.605177753,84.88012522,1,0.006565113,1.024508512,-,0,1517.84,0.111879635,0.506052954,0.201034038,0.648000937,358,300,300,300,10298.2,1517.84,-0.00706179,35.7079,1799.955161,1517.347201,0.842991666,0.195983333,6,0.5,0: Broadleaf,1563990368,397.9482258,410.7606129,36.68055484,33.56460645,500.0445806,100.747871,0.200012387,39.34552581,39.33192581,999.9,0,0,9979.880645,0,152.6411742,1799.955161,0.900000194,0.09999969,0,1356.116452,4.99938,25322.72581,14365.20968,50.23374194,51.375,50.44512903,51.19106452,52.127,1615.46,179.4954839,0,165,1348.024615,-746.8676924,-13940.49573,25175.66538,15,1563989995,10:39:54,15,12.943,0.471,414,30,0.12,0.05,0,0,0/0,1.87407,1.8709,1.87042,1.87256,1.86966,1.87912,1.87611,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.943,0.471,2,470.731,482.703,38.0855,39.2814,30.0009,39.0034,39.0125,20.5567,22.5076,100,-999.9,411.086,32.4766,99.8968,100.334
16,1563990496,2004.1,20190724 10:48:16,10:48:16,1,B1_R3,1,null,null,null,null,1563990488,0.004477041,12.24165763,398.2919677,238.4409705,24.07065303,40.20763606,0.140820774,2.272358811,0.136146042,0.085498355,297.3794234,39.79744959,38.41374839,6.808007007,51.92514085,3.660474781,7.049523065,3.147532227,-197.4375,79.2231698,8.442137221,187.6072304,-0.041788408,0.046911148,3.495274594,40,8,1,0,51226.92401,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-359-20190724-10_49_14,823.9718846,1103.71,0.253452551,0.5,1517.373309,12.24165763,192.2910682,1,0.008302529,1.784137137,-,0,1103.71,0.253452551,0.64082229,0.649678028,0.820573108,359,300,300,300,10306.2,1048.22,-0.00706841,6.32556,1799.986452,1517.373309,0.842991517,0.195983033,6,0.5,0: Broadleaf,1563990488,398.2919677,415.1210968,36.26021935,31.08278065,500.0197097,100.7501935,0.199961903,39.06042903,38.41374839,999.9,0,0,10002.44,0,588.7483548,1799.986452,0.900005484,0.099994419,0,825.3572581,4.99938,15621.9871,14365.47419,50.22358065,51.262,50.415,51.125,52.125,1615.497742,179.4896774,0,119.4000001,823.9718846,-151.2456408,-3087.866663,15593.41154,15,1563989995,10:39:54,15,12.943,0.471,414,30,0.12,0.05,0,0,0/0,1.87408,1.87091,1.87043,1.87256,1.86966,1.87915,1.87616,1.87151,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.943,0.471,2,445.255,476.087,38.1109,39.4424,30.0002,39.1869,39.1925,20.7203,28.095,98.8596,-999.9,416.055,30.3651,99.8713,100.317
17,1563990612,2119.6,20190724 10:50:11,10:50:11,2,B1_R3,1,null,null,null,null,1563990604,0.004333942,12.2968871,398.5550645,227.7398209,22.99027904,40.23403598,0.131405738,2.27252738,0.127325745,0.07993461,297.376422,39.67487465,38.37756774,6.79470931,50.59452043,3.534350883,6.985639656,3.260358427,-191.1268235,62.93672406,6.699505698,175.8858283,-0.041792987,0.046916289,3.495577183,28,6,1,0,51260.08436,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-360-20190724-10_51_09,1310.711538,1506.34,0.129870057,0.5,1517.356123,12.2968871,98.529563,1,0.008339021,1.039964417,-,0,1506.34,0.129870057,0.509795371,0.234789011,0.652793104,360,300,300,300,10320,1500.96,-0.00707739,32.6487,1799.965806,1517.356123,0.842991637,0.195983275,6,0.5,0: Broadleaf,1563990604,398.5550645,415.3854516,35.01099032,29.99194194,499.9600323,100.7496774,0.200077226,38.89126774,38.37756774,999.9,0,0,10003.58742,0,681.5131613,1799.965806,0.90000071,0.099999287,0,1313.810968,4.99938,24475.46452,14365.3,50.06606452,51.08841935,50.278,50.875,51.95935484,1615.471613,179.4948387,0,114.6000001,1310.711538,-773.4393168,-14445.10086,24418.14615,15,1563990636,10:50:36,16,13.031,0.427,416,30,0.11,0.02,0,0,0/0,1.87408,1.87088,1.87042,1.87256,1.86966,1.87913,1.8761,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.031,0.427,2,459.911,476.028,38.0379,39.5028,30.0003,39.2879,39.3002,20.712,28.3102,98.4915,-999.9,415.854,30.1428,99.8596,100.301
18,1563990710,2218.1,20190724 10:51:50,10:51:50,3,B1_R3,1,null,null,null,null,1563990702,0.004950839,13.60101596,398.0347742,263.959846,26.64725483,40.18237704,0.189037084,2.273314996,0.18071818,0.113665774,297.3768665,39.40185011,36.86749032,6.259420139,52.15566776,3.629257885,6.958511012,2.630162255,-218.3320135,239.1781556,25.25816174,343.4811704,-0.041814389,0.046940315,3.496991112,12,2,1,0,51297.18474,MPF-315-20190724-06_03_38,673.1303846,3072.88,2399.749615,0.780944786,-0.356377786,MPF-361-20190724-10_52_48,923.5992692,1269.46,0.272447128,0.5,1517.357333,13.60101596,206.6998236,1,0.009198488,1.420619791,-,0,1269.46,0.272447128,0.586882664,0.579982483,0.751503402,361,300,300,300,10360,1188.99,-0.00710638,-0.306274,1799.967097,1517.357333,0.842991706,0.195983411,6,0.5,0: Broadleaf,1563990702,398.0347742,416.7197419,35.95035806,30.22323226,500.0261935,100.751871,0.200054968,38.81902581,36.86749032,999.9,0,0,10008.49226,0,816.0067419,1799.967097,0.899998968,0.100001174,0,925.6802903,4.99938,16975.49032,14365.3,49.94512903,50.937,50.167,50.74593548,51.87093548,1615.468387,179.4990323,0,97.70000005,923.5992692,-224.4020171,-3890.758975,16940.07308,15,1563990636,10:50:36,16,13.031,0.427,416,30,0.11,0.02,0,0,0/0,1.87408,1.87088,1.87042,1.87256,1.86966,1.87916,1.87609,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.031,0.427,2,479.923,487.954,37.9894,39.5155,30,39.3345,39.3469,20.8034,29.8761,98.8591,-999.9,417.905,29.3721,99.8616,100.311
