SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1562024231,360.5,20190701 18:37:10,16:37:10,1,B2_R1,3,1562024223,0.002256117,9.778290624,399.8824839,175.5306911,17.72621856,40.38270608,0.075539286,2.271910649,0.074171206,0.046477856,231.2921113,37.14934084,35.68856774,5.867349157,48.60933735,2.929362356,6.026336741,2.937986801,-99.49476786,59.53594547,6.175704477,197.5089934,-0.041776234,0.046897482,3.494470168,81,16,1,0,51691.38021,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-448-20190701-18_35_55,773.4024231,987.908,0.217131127,0.5,1180.189017,9.778290624,128.1278854,1,0.008803376,2.118438154,-,0,987.908,0.217131127,0.679326653,0.715556358,0.874707443,-,-,-,-,-,-,-,-,1400.004516,1180.189017,0.842989436,0.195978871,6,0.5,0: Broadleaf,1562024223,399.8824839,412.6976774,29.00748387,26.37895806,500.0535806,100.7864516,0.199982419,36.17464194,35.68856774,999.9,0,0,9995.92871,0,499.0603548,1400.004516,0.899994226,0.10000571,0,773.9793226,4.99911,11760.94194,12618.75161,45.60670968,47.36483871,46.59045161,47.08032258,46.125,1255.497742,139.5074194,0,138.5,773.4024231,-139.7006838,-773.0632494,11763.01154,15,1562023900,18:31:40,63,-0.352,0.121,417,24,0.12,0.03,-12.72082683,-1.405275261,0.175255775,0,782.0706286,-153.9122856,15.59974947,0,2.612365122,0.403866481,0.04416605,0,0,3,0/3,1.88763,1.89346,1.8913,1.89133,1.88816,1.89102,1.88416,1.89101,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.352,0.121,2,398.397,372.99,35.5205,36.3147,29.9994,36.3697,36.3809,19.7595,25.6222,52.0986,-999.9,412.588,26.4665,99.0907,99.6483
5,1562024397,526.5,20190701 18:39:56,16:39:56,2,B2_R1,3,1562024389,0.00277901,12.56081857,398.2242903,153.0592993,15.4555129,40.21160875,0.088584065,2.272669632,0.086709615,0.054358618,231.287002,37.4798358,36.38897742,6.097622947,48.54823529,3.007242717,6.194339915,3.09038023,-122.5543608,35.20672601,3.672146767,147.611514,-0.041796852,0.046920628,3.495832539,95,19,1,0,51631.87772,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-449-20190701-18_38_41,680.4690769,1031.23,0.340138401,0.5,1180.164864,12.56081857,200.7096948,1,0.011161301,1.987432484,-,0,1031.23,0.340138401,0.665264402,1.022338857,0.856600754,-,-,-,-,-,-,-,-,1399.976129,1180.164864,0.842989276,0.195978553,6,0.5,0: Broadleaf,1562024389,398.2242903,414.624129,29.78137742,26.54610645,500.0349677,100.7772903,0.199997419,36.67632258,36.38897742,999.9,0,0,10001.77129,0,414.5899032,1399.976129,0.89999871,0.10000129,0,680.5158387,4.99911,10245.1129,12618.50968,46.33232258,48.161,47.286,47.73970968,47.66512903,1255.479032,139.4970968,0,165.0999999,680.4690769,-12.1997265,165.1965807,10243.67692,15,1562023900,18:31:40,63,-0.352,0.121,417,24,0.12,0.03,-16.09403659,-3.555514286,0.670701018,0,681.2506571,-13.95914301,1.429598504,0,3.279342195,-0.82676885,0.082625841,0,0,3,0/3,1.88766,1.89346,1.89131,1.89133,1.88826,1.89104,1.88416,1.89098,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.352,0.121,2,381.638,370.512,35.6326,36.1398,29.9998,36.163,36.1784,19.8878,23.0139,51.5943,-999.9,415.445,26.725,99.137,99.6751
6,1562024543,673,20190701 18:42:23,16:42:23,3,B2_R1,3,1562024535,0.003063872,12.4299998,399.6460323,177.4782912,17.92119075,40.35497937,0.097845856,2.272528583,0.095564255,0.059928221,231.2893112,37.82038925,36.71197419,6.206432213,49.16608678,3.118511612,6.34281029,3.087920601,-135.1167751,48.75684869,5.104444014,150.0338287,-0.04179302,0.046916326,3.495579342,79,16,1,0,51555.13841,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-450-20190701-18_41_08,743.52,1148.83,0.352802416,0.5,1180.176079,12.4299998,208.1844862,1,0.011050348,1.681623913,-,0,1148.83,0.352802416,0.627091631,0.879776526,0.807449133,-,-,-,-,-,-,-,-,1399.989355,1180.176079,0.842989323,0.195978647,6,0.5,0: Broadleaf,1562024535,399.6460323,416.0307097,30.88344516,27.32049355,500.0207419,100.7767742,0.200030548,37.10993548,36.71197419,999.9,0,0,10000.90548,0,487.601,1399.989355,0.899999,0.100001,0,744.2717097,4.99911,12499.29032,12618.63871,47.11464516,48.93506452,48.08235484,48.536,48.56012903,1255.489032,139.5006452,0,145.9000001,743.52,-78.77470086,-1696.864956,12485.12692,15,1562024572,18:42:52,64,-0.001,0.18,416,27,0.13,0.03,-16.59599756,-1.13265993,0.323623149,0,748.2637714,-84.37485001,8.561054488,0,3.501668537,0.04282453,0.015106568,1,1,3,3-Jan,1.88763,1.89345,1.89123,1.89133,1.88816,1.89102,1.8841,1.8909,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.001,0.18,2,401.043,372.748,35.8942,36.1554,30.0002,36.1155,36.1284,19.9503,23.918,54.4518,-999.9,416.511,27.2194,99.164,99.6832
7,1562024683,813,20190701 18:44:43,16:44:43,1,B2_R1,5,1562024675,0.005175553,17.73849029,398.8833871,221.8118361,22.3977317,40.27775632,0.181416523,2.272033656,0.17373604,0.109247989,231.2885951,36.98328525,36.07112258,5.992167076,49.58889337,3.11983122,6.291391092,2.872335855,-228.2419052,108.9729228,11.36750182,123.3871145,-0.041779575,0.046901233,3.494690951,99,20,1,0,51564.02276,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-451-20190701-18_43_27,1009.279846,1481.23,0.31862044,0.5,1180.172775,17.73849029,188.0135843,1,0.015548442,1.079845804,-,0,1481.23,0.31862044,0.519195126,0.59507277,0.668520569,-,-,-,-,-,-,-,-,1399.985484,1180.172775,0.842989294,0.195978589,6,0.5,0: Broadleaf,1562024675,398.8833871,422.643871,30.89667742,24.87867097,500.063871,100.7762903,0.199979,36.96077097,36.07112258,999.9,0,0,9997.736129,0,389.4044839,1399.985484,0.899999645,0.100000365,0,1013.131,4.99911,14345.35161,12618.59355,47.687,49.375,48.637,49.016,49.10264516,1255.488065,139.4990323,0,139.5,1009.279846,-304.1120684,-4462.605129,14286.80769,15,1562024572,18:42:52,64,-0.001,0.18,416,27,0.13,0.03,-23.39600488,-5.73254007,0.732231215,0,1027.942029,-330.9633595,33.51799812,0,6.004205366,0.280145017,0.031039642,0,0,3,0/3,1.88764,1.89343,1.89129,1.89133,1.88815,1.89102,1.88411,1.8909,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.001,0.18,2,376.866,367.379,35.9919,36.1969,29.9998,36.1225,36.1181,20.2468,30.0698,52.7832,-999.9,423.306,24.4986,99.1688,99.6744
8,1562024761,891,20190701 18:46:01,16:46:01,2,B2_R1,5,1562024753,0.004631519,15.95343701,400.3562581,219.564711,22.17018917,40.42532125,0.159001226,2.272449095,0.153069111,0.096182732,231.2881258,37.11655756,36.07316774,5.992840509,48.99071234,3.074801702,6.276295149,2.918038807,-204.2499857,103.3525413,10.77704775,141.1677292,-0.04179086,0.046913902,3.495436657,101,20,1,0,51584.64303,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-452-20190701-18_44_45,874.5753077,1358.06,0.35601129,0.5,1180.17009,15.95343701,210.076938,1,0.014035938,1.268478565,-,0,1358.06,0.35601129,0.55917591,0.721698074,0.720000206,-,-,-,-,-,-,-,-,1399.982258,1180.17009,0.842989319,0.195978637,6,0.5,0: Broadleaf,1562024753,400.3562581,421.7238387,30.45160968,25.06344839,500.0386774,100.7733871,0.199984581,36.91677742,36.07316774,999.9,0,0,10000.72484,0,422.9015484,1399.982258,0.89999871,0.10000121,0,875.9722258,4.99911,12667.56452,12618.56129,47.94512903,49.5,48.907,49.177,49.375,1255.482581,139.4996774,0,77.5,874.5753077,-128.2717948,-2215.883761,12638.31538,15,1562024572,18:42:52,64,-0.001,0.18,416,27,0.13,0.03,-21.39269268,0.332195122,0.156410101,1,882.0770571,-134.701772,13.65009878,0,5.33864122,1.026443624,0.106865134,0,1,3,3-Jan,1.88763,1.89344,1.89126,1.89133,1.88818,1.89102,1.88414,1.89088,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.001,0.18,2,374.765,374.128,36.0216,36.1468,29.9998,36.0754,36.0708,20.2073,26.7327,51.3438,-999.9,421.876,24.9667,99.1843,99.6876
9,1562024864,993.5,20190701 18:47:43,16:47:43,3,B2_R1,5,1562024856,0.002626021,10.43286519,400.150871,181.8940994,18.36664759,40.40499418,0.083517137,2.272093194,0.081848398,0.051302401,231.2934681,37.84349485,36.55325806,6.152756,48.57432087,3.060901812,6.301481436,3.091854188,-115.8075476,53.51327888,5.595926846,174.5951262,-0.041781192,0.046903048,3.494797818,88,18,1,0,51561.01376,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-453-20190701-18_46_28,834.3506923,1080.71,0.227960607,0.5,1180.197046,10.43286519,134.5192176,1,0.009357948,1.850653737,-,0,1080.71,0.227960607,0.649203273,0.627544653,0.835920293,-,-,-,-,-,-,-,-,1400.014194,1180.197046,0.842989344,0.195978687,6,0.5,0: Broadleaf,1562024856,400.150871,413.9322903,30.31364194,27.25771613,499.9631613,100.7743548,0.200045355,36.99012581,36.55325806,999.9,0,0,9998.315161,0,384.2933548,1400.014194,0.899997452,0.100002613,0,836.7238065,4.99911,12065.39032,12618.85484,48.07419355,49.562,49.062,49.25,49.562,1255.511613,139.5041935,0,101.8999999,834.3506923,-267.3571284,-3861.076926,12031.51923,15,1562024572,18:42:52,64,-0.001,0.18,416,27,0.13,0.03,-13.86403902,2.223321951,0.261968753,0,853.9551714,-300.5608544,30.46068394,0,3.03487122,0.388740836,0.041215436,0,0,3,0/3,1.88763,1.89346,1.89131,1.89133,1.88816,1.89103,1.88415,1.8909,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.001,0.18,2,389.481,374.306,36.0396,36.0224,29.9995,35.9593,35.9571,19.9189,18.9658,51.7143,-999.9,413.785,27.159,99.2211,99.7057
10,1562025454,1584.1,20190701 18:57:34,16:57:34,1,B3_R1,4,1562025446,0.001944756,8.898537757,399.0196774,154.3898874,15.58453408,40.27812875,0.062527799,2.27149602,0.061587095,0.038575274,231.2915369,37.78607251,36.39059355,6.098163228,49.23086189,3.055180342,6.205823389,3.042982886,-85.76375748,39.1369214,4.084887099,188.7495879,-0.041764973,0.046884841,3.49372599,75,15,1,0,51587.74096,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-454-20190701-18_56_19,937.2035769,1216.78,0.229767438,0.5,1180.186519,8.898537757,135.5842164,1,0.008057959,1.531871004,-,0,1216.78,0.229767438,0.60503517,0.528853218,0.779049025,-,-,-,-,-,-,-,-,1400.001613,1180.186519,0.8429894,0.195978799,6,0.5,0: Broadleaf,1562025446,399.0196774,410.6283548,30.26647742,28.00355161,500.032871,100.7426774,0.200035516,36.71018065,36.39059355,999.9,0,0,9997.576452,0,395.2487419,1400.001613,0.899995742,0.100004374,0,940.7379032,4.99911,13469.60323,12618.73226,48.179,49.629,49.19106452,49.25,49.59654839,1255.497097,139.5054839,0,590.0999999,937.2035769,-323.6688889,-4453.305983,13420.88462,15,1562025483,18:58:03,65,0.145,0.187,411,28,0.26,0.05,-11.63935122,-1.313703136,0.244122474,0,957.2856857,-355.5514472,36.08695807,0,2.24436561,0.366134634,0.040302663,0,0,3,0/3,1.88761,1.89345,1.89128,1.89133,1.88821,1.89102,1.88413,1.89092,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.145,0.187,2,405.212,371.267,35.7801,35.9655,29.9996,35.8425,35.8291,19.8842,27.108,64.7808,-999.9,411.236,27.8285,99.2263,99.6958
11,1562026925,3055.1,20190701 19:22:05,17:22:05,2,B3_R1,4,1562026917,0.003565097,12.67166698,401.2247419,209.0408775,21.10129814,40.50099197,0.117361964,2.272164601,0.114095281,0.071595475,231.2915218,37.22001269,36.18320323,6.029170213,48.70529958,3.016346244,6.193055519,3.01282397,-157.2207939,59.9413081,6.247067235,140.2591033,-0.041783132,0.046905226,3.494925989,102,20,1,0,51615.54411,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-455-20190701-19_20_50,778.8415,1124.91,0.307641056,0.5,1180.186268,12.67166698,181.5368746,1,0.011255023,1.738645758,-,0,1124.91,0.307641056,0.634856024,0.792323922,0.817446639,-,-,-,-,-,-,-,-,1400.00129,1180.186268,0.842989414,0.195978828,6,0.5,0: Broadleaf,1562026917,401.2247419,418.1466129,29.88155806,25.73142903,500.0181935,100.7434194,0.199986516,36.67253226,36.18320323,999.9,0,0,10001.84968,0,655.8326452,1400.00129,0.89999629,0.10000371,0,779.2089677,4.99911,11880,12618.72581,45.75587097,48.47154839,46.913,48.135,47.05635484,1255.496129,139.506129,0,1470.1,778.8415,-85.51107697,-1105.042736,11875.13462,15,1562026950,19:22:30,66,-0.148,0.139,418,26,0.18,0.02,-16.77528293,3.195752613,0.33916645,0,782.8497714,-88.06208219,8.876106074,0,4.195283415,-0.001973519,0.019843879,1,1,3,3-Jan,1.88754,1.89343,1.89119,1.89133,1.88816,1.89102,1.88413,1.89095,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.148,0.139,2,374.144,366.127,35.7268,36.549,29.9979,36.2804,36.2272,20.0301,33.4627,64.8787,-999.9,417.561,25.9414,99.0228,99.5157
12,1562027010,3140.1,20190701 19:23:30,17:23:30,3,B3_R1,4,1562027002,0.003606312,11.31795722,400.0100968,239.5431865,24.17862372,40.37557384,0.127666812,2.271250496,0.123809932,0.077718027,231.3050618,37.12195015,35.70008387,5.871073336,49.65839217,3.061104639,6.164324912,2.809968697,-159.0383781,108.6703204,11.29899318,192.2359973,-0.041758305,0.046877356,3.493285348,69,14,1,0,51600.13563,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-456-20190701-19_22_15,990.4590385,1272.43,0.221600372,0.5,1180.256315,11.31795722,130.7726193,1,0.010107393,1.42113908,-,0,1272.43,0.221600372,0.58697127,0.482581948,0.755789775,-,-,-,-,-,-,-,-,1400.084516,1180.256315,0.842989335,0.195978669,6,0.5,0: Broadleaf,1562027002,400.0100968,415.3242258,30.32706774,26.13032258,499.9508065,100.7362581,0.20012871,36.58756774,35.70008387,999.9,0,0,9996.617419,0,380.7366129,1400.084516,0.899998871,0.100001055,0,991.9889032,4.99911,14551.59032,12619.49032,46.284,48.562,47.33029032,48.187,47.72967742,1255.574194,139.5106452,0,84.10000014,990.4590385,-381.9953848,-6120.639319,14527.61154,15,1562026950,19:22:30,66,-0.148,0.139,418,26,0.18,0.02,-15.22930976,-1.289487805,0.182210638,0,1009.888429,-413.7375734,41.79752698,0,4.190489268,0.23417561,0.034282807,0,0,3,0/3,1.88757,1.89342,1.89119,1.89133,1.88816,1.89102,1.88414,1.8909,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.148,0.139,2,412.324,367.812,35.7899,36.2946,29.999,36.1555,36.1313,19.9282,32.2911,63.9961,-999.9,415.153,25.9122,99.1185,99.6074
13,1562027189,3319.1,20190701 19:26:29,17:26:29,1,B3_R1,6,1562027181,0.001481198,7.284739345,400.2507419,145.701685,14.70404889,40.39285116,0.048824469,2.271127217,0.048248765,0.030206637,231.2876196,38.04835039,36.12433548,6.00971051,48.86022962,3.05065688,6.243640081,2.95905363,-65.32081371,85.33664467,8.901708742,260.2051593,-0.041754958,0.046873598,3.493064107,81,16,1,0,51556.88005,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-457-20190701-19_25_14,695.3770385,931.607,0.253572549,0.5,1180.166167,7.284739345,149.6288715,1,0.006690665,2.306898724,-,0,931.607,0.253572549,0.697601867,0.970249018,0.898238782,-,-,-,-,-,-,-,-,1399.977419,1180.166167,0.84298943,0.19597886,6,0.5,0: Broadleaf,1562027181,400.2507419,409.7032258,30.22880645,28.5052129,500.033,100.7188387,0.20002771,36.82129677,36.12433548,999.9,0,0,9997.544839,0,657.0424839,1399.977419,0.899995742,0.100004142,0,695.497871,4.99911,11571.81935,12618.5129,47.032,48.97358065,48.036,48.544,48.46951613,1255.474194,139.5045161,0,178.3000002,695.3770385,-16.63326494,3097.825637,11594.20769,15,1562027211,19:26:50,67,-0.115,0.199,409,28,0.23,0.06,-9.41838122,-1.643188432,0.211965252,0,696.3856571,-17.964082,1.835549275,0,1.639253171,0.698150174,0.071373892,0,0,3,0/3,1.88752,1.89339,1.89117,1.89133,1.88812,1.89101,1.8841,1.89087,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.115,0.199,2,398.124,372.295,35.7602,35.9106,29.9996,35.8583,35.8621,19.7335,21.5379,61.9232,-999.9,409.236,28.4201,99.2288,99.6943
14,1562027460,3589.6,20190701 19:30:59,17:30:59,2,B3_R1,6,1562027452,0.002530221,8.000271506,400.0326129,190.0716152,19.18086374,40.36884218,0.067597382,2.271363487,0.066499336,0.041659254,231.2895725,38.40974526,37.35751613,6.428960449,42.60520815,2.764201362,6.487942394,3.664759087,-111.5827449,20.55366415,2.163978415,142.4244701,-0.041761373,0.0468808,3.493488131,79,16,1,0,51447.46032,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-458-20190701-19_29_44,872.4242308,1165.74,0.251613369,0.5,1180.175731,8.000271506,148.473996,1,0.007296904,1.642724793,-,0,1165.74,0.251613369,0.621602672,0.614136838,0.800381497,-,-,-,-,-,-,-,-,1399.98871,1180.175731,0.842989463,0.195978926,6,0.5,0: Broadleaf,1562027452,400.0326129,410.8465161,27.3916871,24.43887097,500.0475161,100.713871,0.200006742,37.52536452,37.35751613,999.9,0,0,9999.574194,0,422.3293548,1399.98871,0.899994065,0.10000581,0,873.7022581,4.99911,14476.11613,12618.60323,48.06809677,49.875,49.125,49.542,49.56809677,1255.481935,139.5070968,0,269.7,872.4242308,-216.0048549,-2955.562395,14456.14615,15,1562027211,19:26:50,67,-0.115,0.199,409,28,0.23,0.06,-11.14399024,5.604712892,0.592881243,0,884.9573429,-225.948681,22.7728944,0,2.962880244,-0.305756446,0.034710849,0,0,3,0/3,1.88751,1.89341,1.89118,1.8913,1.88813,1.89097,1.88408,1.89089,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.115,0.199,2,401.008,368.985,36.2618,36.0026,30.0001,35.8736,35.8739,19.7387,37.5832,64.6871,-999.9,410.384,24.3501,99.2373,99.6895
15,1562027537,3667.1,20190701 19:32:17,17:32:17,3,B3_R1,6,1562027529,0.003120491,9.93875023,399.5350645,181.6692605,18.33256083,40.31777779,0.080998529,2.271976219,0.07942782,0.049780973,231.2855764,38.65044417,37.64630968,6.530733144,41.37748393,2.748477672,6.64244756,3.782255472,-137.6136457,38.28225589,4.043513587,135.9977002,-0.041778015,0.046899481,3.494587858,96,19,1,0,51395.33097,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-459-20190701-19_31_02,887.1530769,1156.39,0.232825364,0.5,1180.159721,9.93875023,137.3855586,1,0.008939559,1.664092564,-,0,1156.39,0.232825364,0.624637667,0.574977392,0.804289386,-,-,-,-,-,-,-,-,1399.970323,1180.159721,0.842989099,0.195978199,6,0.5,0: Broadleaf,1562027529,399.5350645,412.9569355,27.23645161,23.59404839,500.0269677,100.7117419,0.199996161,37.95885161,37.64630968,999.9,0,0,10003.77032,0,433.8795161,1399.970323,0.900006129,0.099993926,0,890.7553226,4.99911,14259.61935,12618.47419,48.391,49.99390323,49.411,49.74390323,49.887,1255.483226,139.4883871,0,76.9000001,887.1530769,-389.9130251,-8274.741863,14178.37692,15,1562027211,19:26:50,67,-0.115,0.199,409,28,0.23,0.06,-13.28437561,-3.027746341,0.364153694,0,912.3464,-443.8718534,45.04663558,0,3.627750976,0.352451289,0.037359492,0,0,3,0/3,1.88752,1.89338,1.89117,1.89129,1.88814,1.89096,1.88408,1.89087,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.115,0.199,2,380.437,368.035,36.4704,36.0493,30.0005,35.9033,35.9029,19.8286,36.7279,60.8245,-999.9,413.165,23.4775,99.2341,99.6889
16,1562027665,3795.1,20190701 19:34:25,17:34:25,1,B3_R1,2,1562027657,0.002252242,7.582976691,397.9130323,169.1157707,17.06601651,40.15468427,0.058193788,2.271623571,0.057378099,0.035933646,231.2881154,38.63841834,37.36979677,6.433260032,40.54560002,2.650428684,6.536908277,3.782831347,-99.32388079,35.99446276,3.791977374,171.7506747,-0.041768437,0.046888729,3.493954912,69,14,1,0,51432.87452,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-460-20190701-19_33_10,1146.057308,1419.54,0.192655855,0.5,1180.170328,7.582976691,113.6833617,1,0.006943348,1.170231202,-,0,1419.54,0.192655855,0.539219601,0.373913382,0.694304273,-,-,-,-,-,-,-,-,1399.982581,1180.170328,0.842989294,0.195978589,6,0.5,0: Broadleaf,1562027657,397.9130323,408.09,26.26443548,23.63222258,499.9037097,100.7130323,0.200185,37.66370645,37.36979677,999.9,0,0,10001.34871,0,393.2056774,1399.982581,0.900000742,0.099999416,0,1155.002258,4.99911,17165.95806,12618.57419,48.643,50.151,49.647,49.812,50.125,1255.485161,139.4987097,0,127.5,1146.057308,-711.7418808,-10862.75214,17025.02692,15,1562027211,19:26:50,67,-0.115,0.199,409,28,0.23,0.06,-9.924375854,-11.0895899,1.530608104,0,1191.525143,-802.1798896,81.41389079,0,2.608085854,0.403877561,0.051622846,0,0,3,0/3,1.8876,1.89343,1.89124,1.89133,1.88822,1.89102,1.88416,1.89094,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.115,0.199,2,413.053,369.976,36.5343,36.0995,30,35.9396,35.9364,19.7355,31.6643,55.8606,-999.9,410.125,23.5095,99.2222,99.6778
17,1562027750,3880.1,20190701 19:35:50,17:35:50,2,B3_R1,2,1562027742,0.001596421,6.521187471,400.4857097,145.2751854,14.66005656,40.41394365,0.044016375,2.271432864,0.043547952,0.02725914,231.288472,38.68803801,37.15815806,6.35951117,43.6591305,2.828587413,6.478799235,3.530923757,-70.4021574,41.79158066,4.395076689,207.0729719,-0.041763257,0.046882915,3.493612642,80,16,1,0,51453.95041,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-461-20190701-19_34_35,799.5629231,1050.75,0.239055034,0.5,1180.171248,6.521187471,141.0629389,1,0.006043652,1.931934333,-,0,1050.75,0.239055034,0.658928241,0.692707172,0.848442254,-,-,-,-,-,-,-,-,1399.983548,1180.171248,0.842989369,0.195978738,6,0.5,0: Broadleaf,1562027742,400.4857097,409.0781935,28.03014839,26.16817419,500.0089355,100.7122903,0.200033581,37.49943226,37.15815806,999.9,0,0,10000.18226,0,372.216871,1399.983548,0.899998065,0.100001945,0,802.4672581,4.99911,12342.01613,12618.56129,48.687,50.141,49.687,49.687,50.129,1255.482258,139.5022581,0,84.60000014,799.5629231,-231.9019489,2501.637614,12378.33462,15,1562027772,19:36:12,68,0.053,0.17,409,26,0.36,0.05,-8.660314878,-1.792228223,0.218545827,0,813.9026286,-254.5561148,25.79205711,0,1.862050244,0.512780906,0.056907153,0,0,3,0/3,1.88763,1.89345,1.89128,1.89133,1.88822,1.89102,1.88416,1.89096,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.053,0.17,2,398.915,371.044,36.4622,36.0782,30,35.9368,35.9364,19.6949,22.5609,55.3488,-999.9,408.646,26.0434,99.2388,99.6793
18,1562027841,3971.1,20190701 19:37:21,17:37:21,3,B3_R1,2,1562027833,0.002481587,10.57094925,398.5485484,159.8187204,16.1276674,40.21843258,0.076702598,2.271108264,0.075291991,0.047182071,231.290827,38.51305423,37.13735806,6.35230285,48.83422145,3.183431043,6.518852863,3.168871807,-109.4379896,58.21310522,6.12568867,186.1916313,-0.041754443,0.04687302,3.493030094,64,13,1,0,51424.75709,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-462-20190701-19_36_06,758.1156923,1079.88,0.297963022,0.5,1180.181757,10.57094925,175.8252611,1,0.009475071,1.852844761,-,0,1079.88,0.297963022,0.64947269,0.821358394,0.836267197,-,-,-,-,-,-,-,-,1399.995806,1180.181757,0.842989494,0.195978989,6,0.5,0: Broadleaf,1562027833,398.5485484,412.4199032,31.54652581,28.66269355,500.0224839,100.7122258,0.200028774,37.6128,37.13735806,999.9,0,0,9998.078065,0,686.8728065,1399.995806,0.89999329,0.10000671,0,759.2831935,4.99911,11444.00968,12618.66452,48.76206452,50.268,49.73787097,49.683,50.23564516,1255.487742,139.5093548,0,90.5,758.1156923,-95.69237613,-1703.200001,11418.79231,15,1562027772,19:36:12,68,0.053,0.17,409,26,0.36,0.05,-14.1406561,5.809963066,0.585418602,0,763.5526857,-98.45490007,9.955594668,0,2.857091707,0.539427805,0.060049551,0,0,3,0/3,1.88752,1.89338,1.8912,1.89131,1.88815,1.89102,1.88414,1.89087,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.053,0.17,2,419.227,371.129,36.4376,36.0673,30,35.9363,35.9364,19.8784,20.3389,60.4579,-999.9,413.182,28.534,99.2444,99.6803
19,1562028419,4548.5,20190701 19:46:58,17:46:58,1,B2_R3,1,1562028411,0.000872419,4.308286772,399.7432581,131.4519597,13.25937711,40.32154878,0.027229349,2.271727029,0.027049323,0.016921902,231.2895149,37.94482853,36.41580968,6.106598504,48.85214349,3.000154738,6.141296008,3.106443767,-38.47365777,12.66453429,1.320655343,206.8010468,-0.041771246,0.046891883,3.494140598,93,19,1,0,51625.45221,RECT-371-20190701-10_52_10,688.1334615,3080.73,2392.596538,0.776632986,-0.611357105,RECT-463-20190701-19_45_43,1189.35,1343.3,0.114605821,0.5,1180.177893,4.308286772,67.62762844,1,0.004168561,1.293404303,-,0,1343.3,0.114605821,0.563966982,0.234978423,0.726169236,-,-,-,-,-,-,-,-,1399.991613,1180.177893,0.842989259,0.195978518,6,0.5,0: Broadleaf,1562028411,399.7432581,405.331129,29.74319355,28.72753226,500.0505806,100.6686129,0.200002065,36.51921613,36.41580968,999.9,0,0,10006.43484,0,495.3865806,1399.991613,0.900002355,0.099997748,0,1191.361613,4.99911,16987.95161,12618.65484,47.687,48.87093548,48.649,48.5,49,1255.495806,139.4980645,0,576.5,1189.35,-504.2673508,-6944.536757,16959.89615,15,1562028443,19:47:22,69,0.186,0.217,406,29,0.43,0.14,-5.697265366,-0.189460139,0.059434544,1,1214.614857,-540.9517808,54.60306383,0,0.980687488,-0.383321624,0.042338066,0,1,3,3-Jan,1.88751,1.89332,1.89117,1.89119,1.88812,1.89097,1.88405,1.89087,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.186,0.217,2,384.301,374.478,35.5295,35.348,29.9991,35.3512,35.3563,19.6928,25.199,69.5342,-999.9,405.821,28.8344,99.3712,99.7914
