SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1562017568,3877.6,20190701 14:46:08,14:46:08,3,B1_R3,1,null,null,null,null,1562017560,0.002732918,8.63935243,388.0225806,199.8322732,20.1198581,39.0675597,0.081652577,2.27134903,0.080056238,0.050175974,231.291666,39.03667303,38.01490645,6.662658086,50.42992352,3.397280071,6.736635382,3.265378015,-120.5216847,24.97171545,2.646344885,138.3880417,-0.041760981,0.04688036,3.493462185,0,0,1,0,51331.25567,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3251-20190701-14_47_00,637.14488,1026.56,0.379339853,0.5,1180.186344,8.63935243,223.8458574,1,0.008032866,1.561029068,-,0,1026.56,0.379339853,0.60953196,0.895291968,0.786517924,3251,300,300,300,10366.9,910.718,-0.00744742,-22.2634,1400.00129,1180.186344,0.842989469,0.195978938,6,0.5,0: Broadleaf,1562017560,388.0225806,399.6621613,33.74209677,30.57329677,500.007,100.6609355,0.022791839,38.21883548,38.01490645,999.9,0,0,10004.73871,0,1057.214387,1400.00129,0.899995,0.100005,0,637.5169677,4.99938,9231.718065,11164.33226,49.437,51.125,50.036,50.94919355,51.687,1255.493548,139.5087097,0,116,637.14488,-24.73838458,-411.978461,9225.9692,15,1562017215,14:40:15,35,12.793,0.553,400,33,1.11,0.22,-11.54170732,-1.772324739,0.183374272,0,638.9733714,-25.84865697,2.617409189,0,3.170382683,-0.089810592,0.032299344,1,1,3,1/3,1.87408,1.871,1.87047,1.87256,1.86966,1.87918,1.8761,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.793,0.553,2,495.586,479.862,37.2819,38.6452,29.9996,38.5198,38.5499,19.9428,28.3991,60.923,-999.9,400,30.473,100.09,100.258
25,1562017661,3970.6,20190701 14:47:41,14:47:41,1,B1_R3,5,null,null,null,null,1562017653,0.003162486,9.100560217,387.8745161,222.2627234,22.37885326,39.05372321,0.099260974,2.271281117,0.096912495,0.060776683,231.2845955,38.72905792,37.74487097,6.565785336,51.58192966,3.443457787,6.675705639,3.122327549,-139.4656263,37.48726302,3.964402162,133.2706343,-0.041759137,0.046878289,3.493340303,9,2,1,0,51356.82557,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3252-20190701-14_48_33,864.5262,1213.8,0.287752348,0.5,1180.151161,9.100560217,169.7956338,1,0.008423909,1.165966387,-,0,1213.8,0.287752348,0.538312318,0.561354024,0.694618682,3252,300,300,300,10327.6,1158.77,-0.00741796,10.2415,1399.959677,1180.151161,0.842989395,0.195978789,6,0.5,0: Broadleaf,1562017653,387.8745161,400.2672903,34.1998,30.53456774,499.9949677,100.6633548,0.023134181,38.05101613,37.74487097,999.9,0,0,10004.05645,0,986.7239032,1399.959677,0.899996774,0.100003055,0,868.9954194,4.99938,12514.00968,11163.98387,49.562,51.062,50.12296774,51.054,51.794,1255.458387,139.5009677,0,92.20000005,864.5262,-338.8706928,-4722.869238,12453.068,15,1562017215,14:40:15,35,12.793,0.553,400,33,1.11,0.22,-12.17102439,-3.778258537,0.412187122,0,892.1483714,-394.6544031,39.92671932,0,3.55271561,1.712431986,0.213808866,0,0,3,0/3,1.87408,1.87094,1.87048,1.87256,1.86966,1.87919,1.87609,1.8715,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.793,0.553,2,472.614,480.564,37.1655,38.5085,29.9995,38.3986,38.4275,19.8928,29.0848,60.3235,-999.9,400,30.011,100.107,100.283
26,1562017751,4060.6,20190701 14:49:11,14:49:11,2,B1_R3,5,null,null,null,null,1562017743,0.001694815,6.252104185,391.2833548,180.3735962,18.15992854,39.3942235,0.051656923,2.27150705,0.051013067,0.031940346,231.283203,39.20797312,37.53138387,6.490066291,49.54895614,3.307934369,6.676092951,3.182131922,-74.74135697,63.76609188,6.735899656,227.0438376,-0.041765272,0.046885177,3.493745786,1,0,1,0,51363.7324,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3253-20190701-14_50_03,943.78232,1192.75,0.208734169,0.5,1180.145305,6.252104185,123.1683247,1,0.006010302,1.204191993,-,0,1192.75,0.208734169,0.546319013,0.414153168,0.70495023,3253,300,300,300,10307.4,1147.71,-0.00738081,67.1815,1399.952903,1180.145305,0.842989291,0.195978582,6,0.5,0: Broadleaf,1562017743,391.2833548,399.5818065,32.85607742,30.8890871,499.9913871,100.6560645,0.023463548,38.0520871,37.53138387,999.9,0,0,10006.25097,0,1597.835484,1399.952903,0.899999548,0.100000503,0,948.7747097,4.99938,13763.38387,11163.96452,49.7256129,51.35264516,50.312,51.062,51.921,1255.457419,139.4954839,0,89.19999981,943.78232,-428.5042314,-5901.500009,13693.768,15,1562017783,14:49:42,36,12.915,0.517,400,31,1.08,0.24,-8.365045122,-1.321800836,0.139552328,0,974.2246857,-495.2828571,50.14158969,0,2.052424878,-0.70284439,0.093271796,0,0,3,0/3,1.87408,1.87094,1.87046,1.87256,1.86966,1.87914,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.915,0.517,2,483.093,473.504,37.1375,38.4126,29.9998,38.299,38.3333,19.9729,25.1559,59.8303,-999.9,400,31.0246,100.12,100.284
27,1562017826,4135.1,20190701 14:50:25,14:50:25,3,B1_R3,5,null,null,null,null,1562017818,0.002166383,7.976508261,390.1161613,184.4804641,18.57384742,39.27764434,0.067856448,2.269557799,0.066749178,0.041816215,231.2883755,39.04924868,37.65013548,6.532090712,51.33406932,3.42599822,6.673926819,3.106092492,-95.53750771,48.44839804,5.125004809,189.3242706,-0.041712357,0.046825775,3.490248002,0,0,1,0,51302.32522,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3254-20190701-14_51_17,824.2422,1181.47,0.302358756,0.5,1180.172902,7.976508261,178.4178056,1,0.007471307,1.225236358,-,0,1181.47,0.302358756,0.550609536,0.605605518,0.710486565,3254,300,300,300,10341.8,1126.53,-0.00742812,10.267,1399.985806,1180.172902,0.842989191,0.195978382,6,0.5,0: Broadleaf,1562017818,390.1161613,400.7017097,34.02793871,31.51684194,500.0203548,100.6571613,0.024759206,38.04609677,37.65013548,999.9,0,0,9993.464516,0,1889.96,1399.985806,0.900003226,0.099996774,0,827.2668065,4.99938,11900.03548,11164.22581,49.71345161,51.41906452,50.26790323,50.90096774,51.76377419,1255.492581,139.4941935,0,73.80000019,824.2422,-209.3354612,-3010.084611,11858.74,15,1562017783,14:49:42,36,12.915,0.517,400,31,1.08,0.24,-10.41271488,-2.639724042,0.329117363,0,838.066,-226.47556,22.96982217,0,2.284588293,4.168907875,0.444947863,0,0,3,0/3,1.87408,1.87098,1.87048,1.87256,1.86968,1.87918,1.87612,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.915,0.517,2,497.343,472.571,37.0972,38.3698,29.9999,38.2426,38.2732,19.9356,26.2192,60.1054,-999.9,400,30.7615,100.118,100.288
28,1562018292,4601,20190701 14:58:11,14:58:11,1,B3_R3,2,null,null,null,null,1562018284,0.001928846,7.714598146,389.5598065,162.9958888,16.41342181,39.22804109,0.058962536,2.271397313,0.058125239,0.036402511,231.2888632,38.58573483,37.30103548,6.409218081,49.800188,3.227505514,6.480910301,3.181712568,-85.0621153,25.02833883,2.634079415,173.8891662,-0.041762292,0.046881831,3.493548838,4,1,1,0,51450.99678,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3255-20190701-14_59_03,591.7964,1034.78,0.428094474,0.5,1180.173892,7.714598146,252.6129609,1,0.007249376,1.540684977,-,0,1034.78,0.428094474,0.606405356,0.999559546,0.782483467,3255,300,300,300,10390.9,859.596,-0.00744658,223.012,1399.986774,1180.173892,0.842989315,0.195978631,6,0.5,0: Broadleaf,1562018284,389.5598065,399.7185806,32.05121613,29.81088065,500.0209032,100.6730645,0.025314623,37.50542258,37.30103548,999.9,0,0,10003.84742,0,1680.13,1399.986774,0.899998968,0.100000942,0,591.9127419,4.99938,8387.67129,11164.22258,45.69919355,48.5,46.437,47.875,48.036,1255.486774,139.5,0,465.1999998,591.7964,-12.41607695,-160.2884613,8385.5424,15,1562018315,14:58:34,37,12.511,0.468,400,30,0.41,0.03,-9.878911951,2.57399101,0.259812321,0,592.4786286,-12.04055577,1.230980819,0,2.292527805,0.079215889,0.031127791,1,1,3,1/3,1.87407,1.87091,1.87043,1.87256,1.86966,1.87915,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.511,0.468,2,479.482,466.546,36.7617,39.0481,29.9954,38.4812,38.4422,19.9206,27.8975,57.4616,-999.9,400,29.9265,99.8558,100.021
29,1562018406,4715.5,20190701 15:00:06,15:00:06,2,B3_R3,2,null,null,null,null,1562018398,0.00280711,8.615302428,388.2365484,215.872079,21.73665123,39.09242216,0.089488261,2.270374821,0.087573907,0.054902278,231.294045,38.25418862,37.11897097,6.345936639,50.62013959,3.272483744,6.464786091,3.073452895,-123.7935327,41.69630464,4.385425487,153.5822425,-0.041734531,0.046850667,3.491713936,0,0,1,0,51425.63957,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3256-20190701-15_00_58,649.1218,866.263,0.25066429,0.5,1180.199789,8.615302428,147.9169712,1,0.008012396,2.034932809,-,0,866.263,0.25066429,0.670503414,0.790576629,0.865193275,3256,300,300,300,10405.1,830.1,-0.00747229,-1.72443,1400.017419,1180.199789,0.84298936,0.195978721,6,0.5,0: Broadleaf,1562018398,388.2365484,399.8817419,32.49984839,29.24106129,500.0410645,100.6664194,0.025857877,37.45962581,37.11897097,999.9,0,0,9997.857419,0,848.5482903,1400.017419,0.899996484,0.1000034,0,649.9947097,4.99938,9303.627419,11164.46452,46.062,48.308,46.633,47.891,48.44725806,1255.512258,139.5051613,0,113.5999999,649.1218,-93.52630756,-1280.300768,9291.9384,15,1562018315,14:58:34,37,12.511,0.468,400,30,0.41,0.03,-11.58072927,-0.917301742,0.122149112,0,655.3270571,-101.7796392,10.30530135,0,3.234833902,0.368883972,0.052121928,0,0,3,0/3,1.87408,1.87096,1.8705,1.87256,1.86966,1.87913,1.87609,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.511,0.468,2,491.99,469.435,36.8274,38.8496,29.9991,38.5092,38.508,19.9314,28.7711,55.96,-999.9,400,29.1957,99.9998,100.175
30,1562018530,4839,20190701 15:02:09,15:02:09,3,B3_R3,2,null,null,null,null,1562018522,0.002065913,8.002760759,389.2850323,172.4339776,17.3633418,39.19928756,0.064179061,2.269857447,0.063187736,0.039580126,231.2859839,38.61711312,37.16034516,6.360269529,49.55359149,3.224732871,6.507566403,3.135536657,-91.1067713,51.46634376,5.418486508,197.0640428,-0.041720489,0.046834903,3.490785619,0,0,1,0,51389.02431,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3257-20190701-15_03_02,611.6192,1094.54,0.44120891,0.5,1180.156771,8.002760759,260.3478411,1,0.007493654,1.40196795,-,0,1094.54,0.44120891,0.583674711,0.960197941,0.753152668,3257,300,300,300,10392.8,917.133,-0.00746665,-39.7625,1399.966129,1180.156771,0.842989517,0.195979034,6,0.5,0: Broadleaf,1562018522,389.2850323,399.8528065,32.02456774,29.62500323,500.0290323,100.6692581,0.026335939,37.58091613,37.16034516,999.9,0,0,9994.211613,0,985.276,1399.966129,0.899992194,0.100007935,0,612.3093226,4.99938,9034.35129,11164.04839,46.312,48.25,46.86280645,47.937,48.528,1255.459355,139.5074194,0,123,611.6192,-40.84869224,-782.3699993,9022.7172,15,1562018315,14:58:34,37,12.511,0.468,400,30,0.41,0.03,-10.70779756,2.813847387,0.289445777,0,613.9893429,-40.07655183,4.055332813,0,2.473839512,-1.570725993,0.160299155,0,0,3,0/3,1.87408,1.87096,1.87048,1.87256,1.86966,1.87913,1.87608,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.511,0.468,2,486.168,470.979,36.8453,38.6852,29.9996,38.4634,38.4811,19.9594,23.9596,54.0962,-999.9,400,29.8938,100.049,100.224
31,1562018652,4961,20190701 15:04:11,15:04:11,1,B3_R3,3,null,null,null,null,1562018644,0.001582783,5.753910962,392.5538065,170.8661899,17.20675172,39.53137766,0.045169079,2.271780416,0.044676023,0.027966365,231.2877545,38.8337585,38.16002581,6.715228818,50.93349328,3.3253775,6.528862024,3.389851317,-69.80073077,-63.56397593,-6.720794301,91.20225348,-0.041772696,0.046893511,3.494236419,0,0,1,0,51440.8551,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3258-20190701-15_05_03,849.21992,1077.5,0.211860863,0.5,1180.168918,5.753910962,125.0158028,1,0.005588045,1.439953596,-,0,1077.5,0.211860863,0.59015614,0.469809927,0.761516069,3258,300,300,300,10314.3,1052.58,-0.00740809,13.6633,1399.980968,1180.168918,0.842989259,0.195978517,6,0.5,0: Broadleaf,1562018644,392.5538065,400.203,33.02160645,31.18524839,500.0714194,100.6746129,0.028467829,37.64103548,38.16002581,999.9,0,0,10006.18581,0,1229.515129,1399.980968,0.900001323,0.099998387,0,853.5120323,4.99938,12329.96129,11164.19032,46.70935484,48.58841935,47.20529032,48.25,48.901,1255.484194,139.4967742,0,121.2,849.21992,-327.08,-5151.061538,12269.276,15,1562018679,15:04:38,38,12.931,0.507,399,31,0.42,0.17,-8.037831951,-0.239504111,0.089857724,1,871.4207714,-363.103781,36.79941655,0,1.75135122,1.032116655,0.102597498,0,1,3,1/3,1.87408,1.87098,1.8705,1.87256,1.86966,1.87914,1.87608,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.931,0.507,2,491.742,472.855,36.8694,38.5533,29.9998,38.3931,38.4172,19.8993,22.98,55.8871,-999.9,400,30.7335,100.065,100.228
32,1562018815,5124,20190701 15:06:54,15:06:54,2,B3_R3,3,null,null,null,null,1562018807,0.001870847,6.533153482,391.2767419,181.3351594,18.25951687,39.39955327,0.054487164,2.269344493,0.053770678,0.033670262,231.291788,39.01299987,38.05819355,6.678301704,50.54685204,3.349263414,6.626057369,3.32903829,-82.50435528,-17.72896004,-1.878086041,129.1803866,-0.041706569,0.046819278,3.489865316,13,3,1,0,51317.74525,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3259-20190701-15_07_47,724.52596,1041.37,0.304256931,0.5,1180.190063,6.533153482,179.5405032,1,0.006248213,1.524607008,-,0,1041.37,0.304256931,0.603898747,0.704459802,0.779249029,3259,300,300,300,10322,980.938,-0.0074141,-1.2309,1400.006129,1180.190063,0.842989212,0.195978423,6,0.5,0: Broadleaf,1562018807,391.2767419,399.9950968,33.26151613,31.09113548,499.9915161,100.6734194,0.021431752,37.91328387,38.05819355,999.9,0,0,9990.464194,0,1392.795484,1400.006129,0.900003323,0.09999629,0,725.9794194,4.99938,10356.8,11164.39677,46.937,48.812,47.43903226,48.558,49.179,1255.509032,139.4970968,0,162.3999999,724.52596,-113.4906925,-1460.038464,10337.58,15,1562018843,15:07:23,39,12.787,0.511,399,31,0.2,0.06,-8.573701951,0.139345505,0.039449707,1,731.892,-121.1967105,12.26320604,0,2.150879512,0.186569686,0.036151822,0,1,3,1/3,1.87408,1.871,1.87053,1.87256,1.86966,1.87915,1.8761,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.787,0.511,2,468.337,481.412,36.971,38.5187,30.0002,38.3562,38.3821,19.9193,24.9544,58.8133,-999.9,400,31.0512,100.082,100.257
33,1562018925,5234.5,20190701 15:08:45,15:08:45,3,B3_R3,3,null,null,null,null,1562018917,0.001299027,4.586645419,393.853,178.2047881,17.94579683,39.66226718,0.037072611,2.2728804,0.036739929,0.022992097,231.2892474,39.54003462,38.27337419,6.756540211,49.99890633,3.375053635,6.750254922,3.381486576,-57.28707977,-2.108401636,-0.22360313,171.6701629,-0.041802579,0.046927057,3.4962109,0,0,1,0,51374.46041,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3260-20190701-15_09_37,709.99872,912.743,0.22212636,0.5,1180.173122,4.586645419,131.0737797,1,0.004598962,1.880383635,-,0,912.743,0.22212636,0.652824024,0.631323235,0.842380432,3260,300,300,300,10333.9,880.635,-0.0074222,155.131,1399.985484,1180.173122,0.842989542,0.195979084,6,0.5,0: Broadleaf,1562018917,393.853,399.9705806,33.51485161,32.00834839,500.0281613,100.6770645,0.026160252,38.25616774,38.27337419,999.9,0,0,10013.1,0,166.7520871,1399.985484,0.89999229,0.100007706,0,711.3013871,4.99938,10209.85806,11164.18387,47.19106452,48.937,47.687,48.802,49.407,1255.476774,139.5106452,0,110,709.99872,-73.40230759,-694.5076912,10200.164,15,1562018953,15:09:13,40,12.795,0.533,399,32,0.41,0.16,-6.156599024,0.458146411,0.056042822,1,715.4444857,-78.40381056,7.943458039,0,1.492422683,-0.153945575,0.015624643,0,1,3,1/3,1.87408,1.87097,1.8705,1.87256,1.86966,1.87914,1.87608,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.795,0.533,2,484.527,466.271,37.1242,38.5511,30.0003,38.3673,38.3936,19.961,22.2303,59.1926,-999.9,400,31.9877,100.072,100.237
34,1562019061,5370,20190701 15:11:00,15:11:00,1,B3_R3,6,null,null,null,null,1562019053,0.001923032,7.222412275,390.1412581,182.4382438,18.3709801,39.28604628,0.060637573,2.269978231,0.059751868,0.037423417,231.289416,39.00210265,37.34309355,6.423914137,50.39320701,3.340243546,6.628360733,3.083670591,-84.80569204,70.56376967,7.447451752,224.4949454,-0.041723767,0.046838583,3.491002331,16,3,1,0,51336.86903,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3261-20190701-15_11_53,716.13808,1072.72,0.332409128,0.5,1180.174673,7.222412275,196.1504171,1,0.006832326,1.450825938,-,0,1072.72,0.332409128,0.591974287,0.741151499,0.76386214,3261,300,300,300,10327.4,994.11,-0.00741833,-1.67419,1399.987419,1180.174673,0.842989485,0.195978969,6,0.5,0: Broadleaf,1562019053,390.1412581,399.7087742,33.17123871,30.94007419,499.9834516,100.6677742,0.029205352,37.91969355,37.34309355,999.9,0,0,9995.144194,0,509.7286129,1399.987419,0.899993226,0.100006739,0,718.9330645,4.99938,10232.69677,11164.20645,47.20935484,48.788,47.71341935,48.675,49.45548387,1255.480323,139.5080645,0,135,716.13808,-154.0371541,-2080.896927,10191.7088,15,1562019087,15:11:27,41,12.804,0.502,400,31,0.57,0.11,-9.594023659,0.096971498,0.05546725,1,726.7592,-172.9776483,17.54226895,0,2.281430244,-0.330358328,0.042618452,0,1,3,1/3,1.87408,1.87102,1.87055,1.87258,1.86966,1.87919,1.87612,1.87152,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.804,0.502,2,464.603,475.085,37.1173,38.5614,29.9999,38.3783,38.3969,19.9551,26.7486,59.8136,-999.9,400,30.9665,100.073,100.244
35,1562019245,5554,20190701 15:14:04,15:14:04,2,B3_R3,6,null,null,null,null,1562019237,0.001640482,6.156487274,391.719,179.6035703,18.08325566,39.43994437,0.050502242,2.269172065,0.049886038,0.031233511,231.2913921,38.80442502,37.23234194,6.385277731,49.54196067,3.232453129,6.524677436,3.152824602,-72.34527552,48.5542121,5.11640875,212.6167374,-0.041701891,0.046814026,3.489555977,15,3,1,0,51358.93473,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3262-20190701-15_14_57,621.57516,926.82,0.32934641,0.5,1180.184006,6.156487274,194.3446829,1,0.005929087,1.836634945,-,0,926.82,0.32934641,0.647469618,0.910583893,0.835471301,3262,300,300,300,10331.5,847.672,-0.00742084,-8.78424,1399.998387,1180.184006,0.842989547,0.195979094,6,0.5,0: Broadleaf,1562019237,391.719,399.8773871,32.10484516,30.19959032,500.0323226,100.6633226,0.020954603,37.62923548,37.23234194,999.9,0,0,9990.345484,0,202.0721935,1399.998387,0.89999129,0.100008613,0,621.7913871,4.99938,8982.713226,11164.30645,46.812,48.33435484,47.32622581,48.125,49.05,1255.486129,139.5119355,0,183,621.57516,-22.4854615,-708.4330794,8984.37,15,1562019269,15:14:28,42,12.879,0.499,400,30,0.31,0.15,-8.369142439,3.089309895,0.306692781,0,622.8775429,-24.82493119,2.52492372,0,1.964488049,-1.162214425,0.120443212,0,0,3,0/3,1.87408,1.87099,1.8705,1.87256,1.86966,1.87918,1.87607,1.87149,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.879,0.499,2,465.733,480.293,36.7522,38.3146,29.9995,38.1933,38.221,19.9734,27.05,58.7039,-999.9,400,30.5208,100.115,100.305
36,1562019362,5671,20190701 15:16:01,15:16:01,3,B3_R3,6,null,null,null,null,1562019354,0.003554052,10.38326148,385.8056774,229.3910285,23.0967849,38.84576831,0.120351844,2.268885337,0.116914411,0.073372169,231.291637,38.43455244,36.99299355,6.302467938,51.2296295,3.389001272,6.615314818,2.913466666,-156.7336918,108.910307,11.47873201,194.9469842,-0.041694112,0.046805293,3.489041606,0,0,1,0,51307.7248,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3263-20190701-15_16_54,696.72372,1161.22,0.40000713,0.5,1180.187303,10.38326148,236.0416683,1,0.009510514,1.264041267,-,0,1161.22,0.40000713,0.558311938,0.815451105,0.720425465,3263,300,300,300,10313.8,1033.09,-0.00740856,-18.3465,1400.002581,1180.187303,0.842989377,0.195978754,6,0.5,0: Broadleaf,1562019354,385.8056774,399.9143226,33.65864516,29.53636129,499.8822258,100.6612258,0.026168345,37.88336452,36.99299355,999.9,0,0,9988.69,0,76.74779677,1400.002581,0.899996516,0.100003445,0,697.0934194,4.99938,10243.87097,11164.32903,47,48.637,47.49187097,48.403,49.187,1255.49871,139.5045161,0,116.4000001,696.72372,-26.14653842,-550.2430797,10221.4068,15,1562019269,15:14:28,42,12.879,0.499,400,30,0.31,0.15,-14.12950976,-0.101262021,0.107123143,1,698.4592857,-28.34945353,2.88205581,0,4.105333171,0.180451359,0.064623812,0,1,3,1/3,1.8741,1.87101,1.87056,1.87258,1.86968,1.8792,1.87611,1.8715,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,12.879,0.499,2,488.298,466.494,36.8505,38.2653,30,38.1334,38.1652,19.8972,30.6048,57.8391,-999.9,400,29.1682,100.123,100.296
37,1562020438,6747.6,20190701 15:33:58,15:33:58,1,B2_R2,1,null,null,null,null,1562020430,0.001050124,6.903536469,390.0453226,17.91991897,1.803686851,39.25908488,0.03080104,2.270292503,0.03057076,0.019127271,231.2921682,38.59885834,37.4550129,6.463163904,49.66646958,3.171158624,6.384908471,3.29200528,-46.31046128,-27.38393557,-2.881720073,154.7160512,-0.041732297,0.046848159,3.491566229,2,0,1,0,51460.05537,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3264-20190701-15_34_50,790.46716,965.53,0.181312688,0.5,1180.190022,6.903536469,106.9917128,1,0.006562047,1.722908662,-,0,965.53,0.181312688,0.632745669,0.468171588,0.816472051,3264,300,300,300,10344.4,953.625,-0.00743033,13.1172,1400.005806,1180.190022,0.842989376,0.195978753,6,0.5,0: Broadleaf,1562020430,390.0453226,398.8212581,31.50597097,30.2855,499.9899355,100.6284516,0.024171565,37.23128065,37.4550129,999.9,0,0,10001.09419,0,104.5192452,1400.005806,0.899996742,0.100003258,0,791.4216129,4.99938,11208.1,11164.36774,44.60058065,47.61883871,45.43125806,47.52590323,47.14690323,1255.501935,139.5048387,0,1075.6,790.46716,-105.7657694,-1553.553848,11194.228,15,1562020458,15:34:17,43,13.007,0.486,399,30,0.85,0.41,-9.93960561,19.52283659,1.947458279,0,797.5733714,-118.0412256,11.99448102,0,1.225116829,0.141871568,0.023989336,0,0,3,0/3,1.87408,1.87095,1.87047,1.87256,1.86966,1.87921,1.87607,1.87151,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.007,0.486,2,481.419,473.921,36.3682,39.2959,29.9931,38.5238,38.4466,19.8203,27.5512,56.3474,-999.9,400,30.564,99.6552,99.7879
38,1562020550,6859.6,20190701 15:35:50,15:35:50,2,B2_R2,1,null,null,null,null,1562020542,0.001085377,4.021028554,394.81,188.8234923,19.00489221,39.73722445,0.033932733,2.272513518,0.033653744,0.021058465,231.2928833,39.04456628,37.19454194,6.372137215,50.13111511,3.281752904,6.546339328,3.090384311,-47.86511125,60.73184709,6.390937579,250.5505567,-0.041792611,0.046915867,3.495552299,0,0,1,0,51455.17534,MPF-3181-20190701-08_31_41,591.6012,2629.05,2037.4488,0.774975295,-0.840925993,MPF-3265-20190701-15_36_42,562.4588,735.785,0.235566368,0.5,1180.196492,4.021028554,139.0073005,1,0.004119614,2.573122583,-,0,735.785,0.235566368,0.720132748,1.202119794,0.929233166,3265,300,300,300,10421.6,692.372,-0.00748651,-7.08398,1400.013871,1180.196492,0.842989142,0.195978284,6,0.5,0: Broadleaf,1562020542,394.81,400.1491935,32.60592258,31.346,500.0245161,100.6250645,0.023917148,37.69024839,37.19454194,999.9,0,0,10015.88548,0,748.5230323,1400.013871,0.900005032,0.099995355,0,562.3167097,4.99938,7999.533226,11164.46774,45.98964516,48.40503226,46.56032258,48.48158065,48.49370968,1255.52129,139.4948387,0,111.5999999,562.4588,6.558461546,144.3069233,8002.5924,15,1562020574,15:36:14,44,13.246,0.515,400,31,1.28,0.27,-5.590301951,0.302415889,0.050516832,1,561.8662286,7.687873808,0.80545863,0,1.189669512,0.538262927,0.073650238,0,1,3,1/3,1.87408,1.87098,1.87051,1.87256,1.86966,1.87916,1.87607,1.87153,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,13.246,0.515,2,489.322,478.579,36.6466,39.0161,29.999,38.6009,38.586,19.9167,23.823,55.6046,-999.9,400,31.4558,99.8781,100.016
