Sample,Rep,Set,percentage_antho,Antho_type,Antho_short_name,treatment,Concentration_mg_berry
B2R1,2,1st point,5.55,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.012381957
B2R1,3,1st point,5.29,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.012469833
B2R2,1,Harvest,7.6,Delphinidin-3-glucoside,D3G,2,0.042405145
B2R2,2,Harvest,7.34,Delphinidin-3-glucoside,D3G,2,0.037070009
B2R2,3,Harvest,7.9,Delphinidin-3-glucoside,D3G,2,0.040508105
B2R2,1,1st point,9.25,Delphinidin-3-glucoside,D3G,2,0.032135115
B2R2,2,1st point,9.38,Delphinidin-3-glucoside,D3G,2,0.02950375
B2R2,3,1st point,8.06,Delphinidin-3-glucoside,D3G,2,0.023859031
B2R2,1,Harvest,1.47,Cyanindin-3-glucoside,C3G,2,0.008231076
B2R2,2,Harvest,1.3,Cyanindin-3-glucoside,C3G,2,0.006585333
B2R2,3,Harvest,1.59,Cyanindin-3-glucoside,C3G,2,0.008175413
B2R2,1,1st point,2.69,Cyanindin-3-glucoside,C3G,2,0.009334414
B2R2,2,1st point,2.6,Cyanindin-3-glucoside,C3G,2,0.008162212
B2R2,3,1st point,2.41,Cyanindin-3-glucoside,C3G,2,0.007143074
B2R2,1,Harvest,5.96,Petunidin-3-glucoside,Pet3G,2,0.033297226
B2R2,2,Harvest,5.84,Petunidin-3-glucoside,Pet3G,2,0.029482097
B2R2,3,Harvest,6.14,Petunidin-3-glucoside,Pet3G,2,0.031476196
B2R2,1,1st point,6.69,Petunidin-3-glucoside,Pet3G,2,0.023232652
B2R2,2,1st point,6.81,Petunidin-3-glucoside,Pet3G,2,0.021411376
B2R2,3,1st point,6.26,Petunidin-3-glucoside,Pet3G,2,0.018551163
B2R2,1,Harvest,6.48,Peonidin-3-glucoside,Peo3G,2,0.036192932
B2R2,2,Harvest,6.13,Peonidin-3-glucoside,Peo3G,2,0.030975542
B2R2,3,Harvest,6.56,Peonidin-3-glucoside,Peo3G,2,0.033640053
B2R2,1,1st point,8.2,Peonidin-3-glucoside,Peo3G,2,0.028498194
B2R2,2,1st point,7.48,Peonidin-3-glucoside,Peo3G,2,0.023533251
B2R2,3,1st point,7.36,Peonidin-3-glucoside,Peo3G,2,0.021788128
B2R2,1,Harvest,41.51,Malvidin-3-glucoside,M3G,2,0.231720247
B2R2,2,Harvest,42.17,Malvidin-3-glucoside,M3G,2,0.213059464
B2R2,3,Harvest,41.09,Malvidin-3-glucoside,M3G,2,0.210762758
B2R2,1,1st point,31.27,Malvidin-3-glucoside,M3G,2,0.108662351
B2R2,2,1st point,31.83,Malvidin-3-glucoside,M3G,2,0.100113905
B2R2,3,1st point,33.53,Malvidin-3-glucoside,M3G,2,0.099294587
B2R2,1,Harvest,1.81,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.010109728
B2R2,2,Harvest,1.74,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.008789118
B2R2,3,Harvest,1.78,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.009124729
B2R2,1,1st point,3.02,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.010503032
B2R2,2,1st point,3.01,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.009462193
B2R2,3,1st point,2.55,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.00753761
B2R2,1,Harvest,0.59,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.003274449
B2R2,2,Harvest,0.56,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002837776
B2R2,3,Harvest,0.62,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.003159966
B2R2,1,1st point,1.11,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.003854617
B2R2,2,1st point,1.12,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.003506649
B2R2,3,1st point,1.13,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.003335622
B2R2,1,Harvest,2.16,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.012048516
B2R2,2,Harvest,2.17,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.010946262
B2R2,3,Harvest,2.24,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.011515733
B2R2,1,1st point,3.55,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.012324913
B2R2,2,1st point,3.65,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.011466317
B2R2,3,1st point,3.28,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.009707557
B2R2,1,Harvest,2.84,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.015871536
B2R2,2,Harvest,2.83,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.014278385
B2R2,3,Harvest,2.89,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.014831881
B2R2,1,1st point,4.62,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.016043749
B2R2,2,1st point,4.27,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.013437226
B2R2,3,1st point,4.37,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.012932388
B2R2,1,Harvest,22.31,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.124568136
B2R2,2,Harvest,22.82,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.115306938
B2R2,3,Harvest,21.91,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.112406434
B2R2,1,1st point,21.47,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.07461527
B2R2,2,1st point,21.9,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.06885895
B2R2,3,1st point,23,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.068112806
B2R2,1,Harvest,1.5,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.008355224
B2R2,2,Harvest,1.46,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.007373887
B2R2,3,Harvest,1.59,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.008145612
B2R2,1,1st point,3.18,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.011034772
B2R2,2,1st point,2.95,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.009264315
B2R2,3,1st point,2.88,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.00853756
B2R2,1,Harvest,5.76,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.032170128
B2R2,2,Harvest,5.64,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.028484864
B2R2,3,Harvest,5.7,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.029229228
B2R2,1,1st point,4.97,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.017283945
B2R2,2,1st point,5.01,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.015761386
B2R2,3,1st point,5.17,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.015320757
B2R3,1,Harvest,6.38,Delphinidin-3-glucoside,D3G,2,0.031645071
B2R3,2,Harvest,6.95,Delphinidin-3-glucoside,D3G,2,0.03298231
B2R3,3,Harvest,6.47,Delphinidin-3-glucoside,D3G,2,0.028800538
B2R3,1,1st point,7.98,Delphinidin-3-glucoside,D3G,2,0.015010792
B2R3,2,1st point,7.01,Delphinidin-3-glucoside,D3G,2,0.01078859
B2R3,3,1st point,6.8,Delphinidin-3-glucoside,D3G,2,0.009450573
B2R3,1,Harvest,1.04,Cyanindin-3-glucoside,C3G,2,0.00514453
B2R3,2,Harvest,1.24,Cyanindin-3-glucoside,C3G,2,0.005908439
B2R3,3,Harvest,1.14,Cyanindin-3-glucoside,C3G,2,0.005090852
B2R3,1,1st point,2.57,Cyanindin-3-glucoside,C3G,2,0.004839116
B2R3,2,1st point,2.52,Cyanindin-3-glucoside,C3G,2,0.003884341
B2R3,3,1st point,2.61,Cyanindin-3-glucoside,C3G,2,0.003625963
B2R3,1,Harvest,5.34,Petunidin-3-glucoside,Pet3G,2,0.026502272
B2R3,2,Harvest,5.64,Petunidin-3-glucoside,Pet3G,2,0.026754053
B2R3,3,Harvest,5.49,Petunidin-3-glucoside,Pet3G,2,0.024418413
B2R3,1,1st point,6.29,Petunidin-3-glucoside,Pet3G,2,0.011827719
B2R3,2,1st point,5.82,Petunidin-3-glucoside,Pet3G,2,0.008961861
B2R3,3,1st point,5.94,Petunidin-3-glucoside,Pet3G,2,0.008244505
B2R3,1,Harvest,4.86,Peonidin-3-glucoside,Peo3G,2,0.024086522
B2R3,2,Harvest,5.28,Peonidin-3-glucoside,Peo3G,2,0.025064992
B2R3,3,Harvest,5.17,Peonidin-3-glucoside,Peo3G,2,0.023026788
B2R3,1,1st point,6.92,Peonidin-3-glucoside,Peo3G,2,0.013007832
B2R3,2,1st point,6.92,Peonidin-3-glucoside,Peo3G,2,0.010658088
B2R3,3,1st point,7.13,Peonidin-3-glucoside,Peo3G,2,0.009907675
B2R3,1,Harvest,42.06,Malvidin-3-glucoside,M3G,2,0.208647626
B2R3,2,Harvest,41.4,Malvidin-3-glucoside,M3G,2,0.19655182
B2R3,3,Harvest,41.78,Malvidin-3-glucoside,M3G,2,0.185981428
B2R3,1,1st point,32.28,Malvidin-3-glucoside,M3G,2,0.060702846
B2R3,2,1st point,32.57,Malvidin-3-glucoside,M3G,2,0.050133019
B2R3,3,1st point,32.84,Malvidin-3-glucoside,M3G,2,0.045609146
B2R3,1,Harvest,1.62,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.008031133
B2R3,2,Harvest,1.79,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.008479502
B2R3,3,Harvest,1.66,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.007377821
B2R3,1,1st point,3,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.005637526
B2R3,2,1st point,2.83,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.004351795
B2R3,3,1st point,2.75,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.00381762
B2R3,1,Harvest,0.57,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002838402
B2R3,2,Harvest,0.6,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002867379
B2R3,3,Harvest,0.58,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002592529
B2R3,1,1st point,1.37,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.00258421
B2R3,2,1st point,1.53,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002359999
B2R3,3,1st point,1.6,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002220421
B2R3,1,Harvest,2.13,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.010573745
B2R3,2,Harvest,2.25,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.010704045
B2R3,3,Harvest,2.23,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.009938056
B2R3,1,1st point,3.7,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.006965685
B2R3,2,1st point,3.66,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.00562567
B2R3,3,1st point,3.6,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.004995236
B2R3,1,Harvest,2.62,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.013002831
B2R3,2,Harvest,2.77,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.013170903
B2R3,3,Harvest,2.7,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.012012028
B2R3,1,1st point,4.39,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.008265149
B2R3,2,1st point,4.74,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.007297563
B2R3,3,1st point,4.66,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.00647816
B2R3,1,Harvest,25.49,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.126434892
B2R3,2,Harvest,24.82,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.117809017
B2R3,3,Harvest,25.18,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.112060416
B2R3,1,1st point,24.01,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.045153575
B2R3,2,1st point,24.89,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.0383143
B2R3,3,1st point,24.21,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.033623978
B2R3,1,Harvest,1.47,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.007301513
B2R3,2,Harvest,1.45,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.006880372
B2R3,3,Harvest,1.44,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.006405621
B2R3,1,1st point,2.66,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.00499473
B2R3,2,1st point,2.7,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.004157435
B2R3,3,1st point,2.91,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.004039762
B2R3,1,Harvest,6.42,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.031847562
B2R3,2,Harvest,5.8,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.027556652
B2R3,3,Harvest,6.15,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.027388385
B2R3,1,1st point,4.83,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.009083266
B2R3,2,1st point,4.79,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.007375523
B2R3,3,1st point,4.96,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.006887269
B3R1,1,Harvest,6.81,Delphinidin-3-glucoside,D3G,3,0.034302454
B3R1,2,Harvest,6.79,Delphinidin-3-glucoside,D3G,3,0.027719902
B3R1,3,Harvest,6.65,Delphinidin-3-glucoside,D3G,3,0.027561782
B3R1,1,1st point,9.33,Delphinidin-3-glucoside,D3G,3,0.022598618
B3R1,2,1st point,8.21,Delphinidin-3-glucoside,D3G,3,0.017165733
B3R1,3,1st point,9.95,Delphinidin-3-glucoside,D3G,3,0.028304747
B3R1,1,Harvest,1.31,Cyanindin-3-glucoside,C3G,3,0.006579807
B3R1,2,Harvest,1.35,Cyanindin-3-glucoside,C3G,3,0.005507096
B3R1,3,Harvest,1.38,Cyanindin-3-glucoside,C3G,3,0.005705793
B3R1,1,1st point,3.41,Cyanindin-3-glucoside,C3G,3,0.008254112
B3R1,2,1st point,3.56,Cyanindin-3-glucoside,C3G,3,0.007444828
B3R1,3,1st point,3.61,Cyanindin-3-glucoside,C3G,3,0.010277284
B3R1,1,Harvest,5.59,Petunidin-3-glucoside,Pet3G,3,0.028151714
B3R1,2,Harvest,5.73,Petunidin-3-glucoside,Pet3G,3,0.023391046
B3R1,3,Harvest,5.59,Petunidin-3-glucoside,Pet3G,3,0.023162067
B3R1,1,1st point,6.94,Petunidin-3-glucoside,Pet3G,3,0.016800557
B3R1,2,1st point,6.34,Petunidin-3-glucoside,Pet3G,3,0.013263284
B3R1,3,1st point,6.95,Petunidin-3-glucoside,Pet3G,3,0.019765067
B3R1,1,Harvest,5.56,Peonidin-3-glucoside,Peo3G,3,0.027993023
B3R1,2,Harvest,5.76,Peonidin-3-glucoside,Peo3G,3,0.023503337
B3R1,3,Harvest,5.81,Peonidin-3-glucoside,Peo3G,3,0.024067458
B3R1,1,1st point,8.08,Peonidin-3-glucoside,Peo3G,3,0.0195734
B3R1,2,1st point,8.5,Peonidin-3-glucoside,Peo3G,3,0.01778496
B3R1,3,1st point,8.32,Peonidin-3-glucoside,Peo3G,3,0.023665015
B3R1,1,Harvest,41.53,Malvidin-3-glucoside,M3G,3,0.209112683
B3R1,2,Harvest,41.56,Malvidin-3-glucoside,M3G,3,0.169552927
B3R1,3,Harvest,41.4,Malvidin-3-glucoside,M3G,3,0.17158947
B3R1,1,1st point,31.99,Malvidin-3-glucoside,M3G,3,0.077447848
B3R1,2,1st point,32.14,Malvidin-3-glucoside,M3G,3,0.067202786
B3R1,3,1st point,30.67,Malvidin-3-glucoside,M3G,3,0.087199801
B3R1,1,Harvest,1.71,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.008586557
B3R1,2,Harvest,1.74,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.007105269
B3R1,3,Harvest,1.74,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.007193998
B3R1,1,1st point,3.18,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.007698711
B3R1,2,1st point,2.96,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.006189147
B3R1,3,1st point,3.51,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.009982585
B3R1,1,Harvest,0.6,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003040452
B3R1,2,Harvest,0.69,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.002817155
B3R1,3,Harvest,0.69,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.002843836
B3R1,1,1st point,1.43,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003461567
B3R1,2,1st point,1.6,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003338414
B3R1,3,1st point,1.47,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.004185566
B3R1,1,Harvest,2.21,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.011133836
B3R1,2,Harvest,2.3,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.009369278
B3R1,3,Harvest,2.22,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.009212266
B3R1,1,1st point,3.7,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.008961459
B3R1,2,1st point,3.59,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.00750247
B3R1,3,1st point,3.88,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.01102071
B3R1,1,Harvest,2.84,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.014276115
B3R1,2,Harvest,2.87,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.011727059
B3R1,3,Harvest,2.91,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.012052962
B3R1,1,1st point,4.4,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.010663394
B3R1,2,1st point,4.57,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.009557979
B3R1,3,1st point,4.6,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.013085338
B3R1,1,Harvest,24.67,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.124202476
B3R1,2,Harvest,24.33,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.099263107
B3R1,3,Harvest,24.91,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.103211657
B3R1,1,1st point,21.2,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.051342267
B3R1,2,1st point,22.02,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.046053879
B3R1,3,1st point,21.05,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.059849511
B3R1,1,Harvest,1.41,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.007090909
B3R1,2,Harvest,1.42,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.005788582
B3R1,3,Harvest,1.36,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.005637377
B3R1,1,1st point,2.35,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.005679182
B3R1,2,1st point,2.41,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.005039372
B3R1,3,1st point,2.27,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.006449666
B3R1,1,Harvest,5.77,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.029054637
B3R1,2,Harvest,5.45,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.022241028
B3R1,3,Harvest,5.35,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.022180268
B3R1,1,1st point,3.99,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.009650594
B3R1,2,1st point,4.1,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.008569875
B3R1,3,1st point,3.72,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.010565566
B3R2,1,Harvest,7.45,Delphinidin-3-glucoside,D3G,3,0.035721551
B3R2,2,Harvest,7.73,Delphinidin-3-glucoside,D3G,3,0.038068478
B3R2,3,Harvest,7.43,Delphinidin-3-glucoside,D3G,3,0.037426717
B3R2,1,1st point,8.72,Delphinidin-3-glucoside,D3G,3,0.021259247
B3R2,2,1st point,8.66,Delphinidin-3-glucoside,D3G,3,0.018566198
B3R2,3,1st point,8.69,Delphinidin-3-glucoside,D3G,3,0.019923839
B3R2,1,Harvest,1.5,Cyanindin-3-glucoside,C3G,3,0.007203576
B3R2,2,Harvest,1.59,Cyanindin-3-glucoside,C3G,3,0.007830737
B3R2,3,Harvest,1.41,Cyanindin-3-glucoside,C3G,3,0.007110006
B3R2,1,1st point,3.21,Cyanindin-3-glucoside,C3G,3,0.007835665
B3R2,2,1st point,3.32,Cyanindin-3-glucoside,C3G,3,0.007114074
B3R2,3,1st point,3.14,Cyanindin-3-glucoside,C3G,3,0.007189972
B3R2,1,Harvest,5.88,Petunidin-3-glucoside,Pet3G,3,0.028205685
B3R2,2,Harvest,6.08,Petunidin-3-glucoside,Pet3G,3,0.029942883
B3R2,3,Harvest,5.88,Petunidin-3-glucoside,Pet3G,3,0.029593774
B3R2,1,1st point,6.53,Petunidin-3-glucoside,Pet3G,3,0.015919306
B3R2,2,1st point,6.69,Petunidin-3-glucoside,Pet3G,3,0.0143403
B3R2,3,1st point,6.64,Petunidin-3-glucoside,Pet3G,3,0.015236471
B3R2,1,Harvest,6.19,Peonidin-3-glucoside,Peo3G,3,0.029657766
B3R2,2,Harvest,6.21,Peonidin-3-glucoside,Peo3G,3,0.030564536
B3R2,3,Harvest,5.99,Peonidin-3-glucoside,Peo3G,3,0.030140263
B3R2,1,1st point,7.95,Peonidin-3-glucoside,Peo3G,3,0.019376718
B3R2,2,1st point,8.15,Peonidin-3-glucoside,Peo3G,3,0.017476731
B3R2,3,1st point,7.76,Peonidin-3-glucoside,Peo3G,3,0.017791279
B3R2,1,Harvest,40.7,Malvidin-3-glucoside,M3G,3,0.19514446
B3R2,2,Harvest,40.11,Malvidin-3-glucoside,M3G,3,0.19751225
B3R2,3,Harvest,40.46,Malvidin-3-glucoside,M3G,3,0.203709531
B3R2,1,1st point,31.86,Malvidin-3-glucoside,M3G,3,0.077666394
B3R2,2,1st point,31.88,Malvidin-3-glucoside,M3G,3,0.068355894
B3R2,3,1st point,31.99,Malvidin-3-glucoside,M3G,3,0.073360494
B3R2,1,Harvest,1.85,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.00886381
B3R2,2,Harvest,1.93,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.009500694
B3R2,3,Harvest,1.86,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.009344211
B3R2,1,1st point,3.1,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.007546854
B3R2,2,1st point,3.04,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.006514803
B3R2,3,1st point,2.98,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.006834136
B3R2,1,Harvest,0.67,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.00321633
B3R2,2,Harvest,0.65,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003176274
B3R2,3,Harvest,0.64,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003236692
B3R2,1,1st point,1.47,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003595817
B3R2,2,1st point,1.51,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003230343
B3R2,3,1st point,1.46,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003342673
B3R2,1,Harvest,2.23,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.010712242
B3R2,2,Harvest,2.3,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.011340107
B3R2,3,Harvest,2.25,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.011321613
B3R2,1,1st point,3.85,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.009384246
B3R2,2,1st point,3.76,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.008067755
B3R2,3,1st point,3.74,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.008573799
B3R2,1,Harvest,2.92,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.013984543
B3R2,2,Harvest,2.95,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.014528497
B3R2,3,Harvest,2.92,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.01471188
B3R2,1,1st point,4.43,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.010804033
B3R2,2,1st point,4.48,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.009608464
B3R2,3,1st point,4.43,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.010153091
B3R2,1,Harvest,22.84,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.109524646
B3R2,2,Harvest,22.84,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.112436741
B3R2,3,Harvest,23.16,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.116614124
B3R2,1,1st point,22.07,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.053815427
B3R2,2,1st point,21.91,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.046968663
B3R2,3,1st point,22.37,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.051282882
B3R2,1,Harvest,1.68,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.008042036
B3R2,2,Harvest,1.64,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.008063658
B3R2,3,Harvest,1.66,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.008334154
B3R2,1,1st point,2.54,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.006203597
B3R2,2,1st point,2.5,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.005353468
B3R2,3,1st point,2.49,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.005703002
B3R2,1,Harvest,6.08,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.029166628
B3R2,2,Harvest,5.97,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.029402309
B3R2,3,Harvest,6.34,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.03192341
B3R2,1,1st point,4.27,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.010402549
B3R2,2,1st point,4.11,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.008820779
